Year,Type of residence,Sex of the head of household,Value
2015,,,1.5
2016,,,1.4
2017,,,1.6
2018,,,1.5
2019,,,1.2
2020,,,1.4
2021,,,1.2
2022,,,
2023,,,
2015,urban,,1.4
2016,urban,,1.4
2017,urban,,1.6
2018,urban,,1.5
2019,urban,,1.2
2020,urban,,1.3
2021,urban,,1.2
2022,urban,,
2023,urban,,
2015,rural,,1.5
2016,rural,,1.5
2017,rural,,1.6
2018,rural,,1.6
2019,rural,,1.3
2020,rural,,1.5
2021,rural,,1.2
2022,rural,,
2023,rural,,
2015,,men,
2016,,men,
2017,,men,
2018,,men,
2019,,men,
2020,,men,
2021,,men,
2022,,men,
2023,,men,
2015,,women,
2016,,women,
2017,,women,
2018,,women,
2019,,women,
2020,,women,
2021,,women,
2022,,women,
2023,,women,
