Year,Unit,Group,Value
2015,Victims of criminal offenses (per 100 thousand population),all,0.26
2016,Victims of criminal offenses (per 100 thousand population),all,0.2
2017,Victims of criminal offenses (per 100 thousand population),all,0.73
2018,Victims of criminal offenses (per 100 thousand population),all,0.55
2019,Victims of criminal offenses (per 100 thousand population),all,0.63
2020,Victims of criminal offenses (per 100 thousand population),all,0.37
2021,Victims of criminal offenses (per 100 thousand population),all,0.39
2022,Victims of criminal offenses (per 100 thousand population),all,0.16
2023,Victims of criminal offenses (per 100 thousand population),all,0.22
2015,"Victims of criminal offenses (Art. 149), total",all,113.0
2016,"Victims of criminal offenses (Art. 149), total",all,86.0
2017,"Victims of criminal offenses (Art. 149), total",all,309.0
2018,"Victims of criminal offenses (Art. 149), total",all,231.0
2019,"Victims of criminal offenses (Art. 149), total",all,262.0
2020,"Victims of criminal offenses (Art. 149), total",all,152.0
2021,"Victims of criminal offenses (Art. 149), total",all,163.0
2022,"Victims of criminal offenses (Art. 149), total",all,66.0
2023,"Victims of criminal offenses (Art. 149), total",all,91.0
2015,"Victims of criminal offenses (Art. 149), total",females,78.0
2016,"Victims of criminal offenses (Art. 149), total",females,66.0
2017,"Victims of criminal offenses (Art. 149), total",females,130.0
2018,"Victims of criminal offenses (Art. 149), total",females,127.0
2019,"Victims of criminal offenses (Art. 149), total",females,107.0
2020,"Victims of criminal offenses (Art. 149), total",females,64.0
2021,"Victims of criminal offenses (Art. 149), total",females,49.0
2022,"Victims of criminal offenses (Art. 149), total",females,36.0
2023,"Victims of criminal offenses (Art. 149), total",females,30.0
2015,"Victims of criminal offenses (Art. 149), total",adolescents,6.0
2016,"Victims of criminal offenses (Art. 149), total",adolescents,2.0
2017,"Victims of criminal offenses (Art. 149), total",adolescents,8.0
2018,"Victims of criminal offenses (Art. 149), total",adolescents,11.0
2019,"Victims of criminal offenses (Art. 149), total",adolescents,8.0
2020,"Victims of criminal offenses (Art. 149), total",adolescents,
2021,"Victims of criminal offenses (Art. 149), total",adolescents,9.0
2022,"Victims of criminal offenses (Art. 149), total",adolescents,5.0
2023,"Victims of criminal offenses (Art. 149), total",adolescents,6.0
2015,"Victims of criminal offenses (Art. 149), total",young (under 14),1.0
2016,"Victims of criminal offenses (Art. 149), total",young (under 14),2.0
2017,"Victims of criminal offenses (Art. 149), total",young (under 14),11.0
2018,"Victims of criminal offenses (Art. 149), total",young (under 14),12.0
2019,"Victims of criminal offenses (Art. 149), total",young (under 14),2.0
2020,"Victims of criminal offenses (Art. 149), total",young (under 14),1.0
2021,"Victims of criminal offenses (Art. 149), total",young (under 14),17.0
2022,"Victims of criminal offenses (Art. 149), total",young (under 14),7.0
2023,"Victims of criminal offenses (Art. 149), total",young (under 14),10.0
