Year,Type of weapons,Value
2015,,3063
2016,,1890
2017,,3292
2018,,2985
2019,,2630
2020,,2332
2021,,2319
2022,,2832
2023,,5123
2015,smooth-bore,98
2016,smooth-bore,61
2017,smooth-bore,85
2018,smooth-bore,84
2019,smooth-bore,60
2020,smooth-bore,40
2021,smooth-bore,64
2022,smooth-bore,60
2023,smooth-bore,60
2015,rifled,1066
2016,rifled,764
2017,rifled,1130
2018,rifled,1100
2019,rifled,854
2020,rifled,941
2021,rifled,895
2022,rifled,1291
2023,rifled,1300
2015,other firearms,805
2016,other firearms,467
2017,other firearms,995
2018,other firearms,978
2019,other firearms,920
2020,other firearms,643
2021,other firearms,613
2022,other firearms,588
2023,other firearms,3024
2015,grenade launchers and rocket systems,112
2016,grenade launchers and rocket systems,20
2017,grenade launchers and rocket systems,62
2018,grenade launchers and rocket systems,59
2019,grenade launchers and rocket systems,64
2020,grenade launchers and rocket systems,53
2021,grenade launchers and rocket systems,18
2022,grenade launchers and rocket systems,25
2023,grenade launchers and rocket systems,118
2015,cold weapons,982
2016,cold weapons,578
2017,cold weapons,1020
2018,cold weapons,764
2019,cold weapons,732
2020,cold weapons,655
2021,cold weapons,729
2022,cold weapons,868
2023,cold weapons,621
