Year,Age,Sex,Value
2015,,,
2016,,,
2017,,,51.0
2018,,,50.0
2019,,,57.0
2020,,,
2021,,,
2022,,,
2023,,,
2015,18-35 years,,
2016,18-35 years,,
2017,18-35 years,,50.0
2018,18-35 years,,50.0
2019,18-35 years,,57.0
2020,18-35 years,,
2021,18-35 years,,
2022,18-35 years,,
2023,18-35 years,,
2015,36-60 years,,
2016,36-60 years,,
2017,36-60 years,,50.0
2018,36-60 years,,50.0
2019,36-60 years,,57.0
2020,36-60 years,,
2021,36-60 years,,
2022,36-60 years,,
2023,36-60 years,,
2015,61 years and older,,
2016,61 years and older,,
2017,61 years and older,,53.0
2018,61 years and older,,51.0
2019,61 years and older,,58.0
2020,61 years and older,,
2021,61 years and older,,
2022,61 years and older,,
2023,61 years and older,,
2015,,male,
2016,,male,
2017,,male,50.0
2018,,male,50.0
2019,,male,58.0
2020,,male,
2021,,male,
2022,,male,
2023,,male,
2015,,female,
2016,,female,
2017,,female,51.0
2018,,female,50.0
2019,,female,57.0
2020,,female,
2021,,female,
2022,,female,
2023,,female,
