Year,Group,Value
2015,,88.6
2016,,108.9
2017,,107.1
2018,,98.5
2019,,103.9
2020,,99.5
2021,,94.1
2022,,79.0
2023,,115.6
2015,Production of meat and meat products,100.2
2016,Production of meat and meat products,104.1
2017,Production of meat and meat products,104.3
2018,Production of meat and meat products,99.9
2019,Production of meat and meat products,102.0
2020,Production of meat and meat products,100.0
2021,Production of meat and meat products,103.9
2022,Production of meat and meat products,89.0
2023,Production of meat and meat products,106.0
2015,"Processing and preserving of fish, crustaceans and molluscs",78.5
2016,"Processing and preserving of fish, crustaceans and molluscs",128.4
2017,"Processing and preserving of fish, crustaceans and molluscs",109.2
2018,"Processing and preserving of fish, crustaceans and molluscs",114.1
2019,"Processing and preserving of fish, crustaceans and molluscs",104.0
2020,"Processing and preserving of fish, crustaceans and molluscs",97.4
2021,"Processing and preserving of fish, crustaceans and molluscs",112.1
2022,"Processing and preserving of fish, crustaceans and molluscs",60.3
2023,"Processing and preserving of fish, crustaceans and molluscs",129.6
2015,Processing and preserving of fruits and vegetables,84.7
2016,Processing and preserving of fruits and vegetables,106.0
2017,Processing and preserving of fruits and vegetables,101.6
2018,Processing and preserving of fruits and vegetables,109.9
2019,Processing and preserving of fruits and vegetables,99.4
2020,Processing and preserving of fruits and vegetables,105.6
2021,Processing and preserving of fruits and vegetables,108.8
2022,Processing and preserving of fruits and vegetables,53.5
2023,Processing and preserving of fruits and vegetables,119.8
2015,Production of oil and animal fats,85.9
2016,Production of oil and animal fats,118.4
2017,Production of oil and animal fats,117.5
2018,Production of oil and animal fats,97.9
2019,Production of oil and animal fats,113.7
2020,Production of oil and animal fats,104.8
2021,Production of oil and animal fats,80.4
2022,Production of oil and animal fats,75.3
2023,Production of oil and animal fats,126.2
2015,Production of dairy products,91.7
2016,Production of dairy products,99.7
2017,Production of dairy products,100.8
2018,Production of dairy products,101.7
2019,Production of dairy products,95.1
2020,Production of dairy products,100.2
2021,Production of dairy products,94.5
2022,Production of dairy products,79.6
2023,Production of dairy products,104.0
2015,"Production of flour and cereal products, starches and starch products",101.1
2016,"Production of flour and cereal products, starches and starch products",103.1
2017,"Production of flour and cereal products, starches and starch products",98.9
2018,"Production of flour and cereal products, starches and starch products",89.2
2019,"Production of flour and cereal products, starches and starch products",104.1
2020,"Production of flour and cereal products, starches and starch products",93.6
2021,"Production of flour and cereal products, starches and starch products",100.6
2022,"Production of flour and cereal products, starches and starch products",75.7
2023,"Production of flour and cereal products, starches and starch products",107.2
2015,Production of flour and cereal products,94.7
2016,Production of flour and cereal products,97.7
2017,Production of flour and cereal products,95.1
2018,Production of flour and cereal products,91.2
2019,Production of flour and cereal products,104.2
2020,Production of flour and cereal products,87.0
2021,Production of flour and cereal products,90.8
2022,Production of flour and cereal products,87.2
2023,Production of flour and cereal products,101.9
2015,"Production of bread, bakery and flour products",85.3
2016,"Production of bread, bakery and flour products",97.6
2017,"Production of bread, bakery and flour products",98.5
2018,"Production of bread, bakery and flour products",95.0
2019,"Production of bread, bakery and flour products",94.0
2020,"Production of bread, bakery and flour products",95.7
2021,"Production of bread, bakery and flour products",102.2
2022,"Production of bread, bakery and flour products",78.0
2023,"Production of bread, bakery and flour products",103.2
2015,"Production of bread and bakery products; production of short-term storage flour confectionery, cakes and pastries",87.4
2016,"Production of bread and bakery products; production of short-term storage flour confectionery, cakes and pastries",96.0
2017,"Production of bread and bakery products; production of short-term storage flour confectionery, cakes and pastries",95.4
2018,"Production of bread and bakery products; production of short-term storage flour confectionery, cakes and pastries",93.2
2019,"Production of bread and bakery products; production of short-term storage flour confectionery, cakes and pastries",91.1
2020,"Production of bread and bakery products; production of short-term storage flour confectionery, cakes and pastries",95.3
2021,"Production of bread and bakery products; production of short-term storage flour confectionery, cakes and pastries",102.8
2022,"Production of bread and bakery products; production of short-term storage flour confectionery, cakes and pastries",80.4
2023,"Production of bread and bakery products; production of short-term storage flour confectionery, cakes and pastries",103.5
2015,"Production of rusks and biscuits; production of long-term storage flour confectionery, cakes and pastries",80.7
2016,"Production of rusks and biscuits; production of long-term storage flour confectionery, cakes and pastries",101.4
2017,"Production of rusks and biscuits; production of long-term storage flour confectionery, cakes and pastries",105.1
2018,"Production of rusks and biscuits; production of long-term storage flour confectionery, cakes and pastries",99.2
2019,"Production of rusks and biscuits; production of long-term storage flour confectionery, cakes and pastries",99.3
2020,"Production of rusks and biscuits; production of long-term storage flour confectionery, cakes and pastries",96.5
2021,"Production of rusks and biscuits; production of long-term storage flour confectionery, cakes and pastries",101.9
2022,"Production of rusks and biscuits; production of long-term storage flour confectionery, cakes and pastries",73.8
2023,"Production of rusks and biscuits; production of long-term storage flour confectionery, cakes and pastries",102.8
2015,Production of other food products,77.6
2016,Production of other food products,111.3
2017,Production of other food products,102.2
2018,Production of other food products,98.3
2019,Production of other food products,93.4
2020,Production of other food products,87.1
2021,Production of other food products,109.4
2022,Production of other food products,78.1
2023,Production of other food products,122.4
2015,Production of sugar,69.1
2016,Production of sugar,133.6
2017,Production of sugar,100.9
2018,Production of sugar,89.6
2019,Production of sugar,82.8
2020,Production of sugar,67.0
2021,Production of sugar,131.9
2022,Production of sugar,91.0
2023,Production of sugar,135.9
2015,"Production of cocoa, chocolate and sugar confectionery",83.2
2016,"Production of cocoa, chocolate and sugar confectionery",97.2
2017,"Production of cocoa, chocolate and sugar confectionery",106.5
2018,"Production of cocoa, chocolate and sugar confectionery",107.7
2019,"Production of cocoa, chocolate and sugar confectionery",111.3
2020,"Production of cocoa, chocolate and sugar confectionery",98.8
2021,"Production of cocoa, chocolate and sugar confectionery",100.7
2022,"Production of cocoa, chocolate and sugar confectionery",73.5
2023,"Production of cocoa, chocolate and sugar confectionery",116.7
2015,Production of tea and coffee,93.6
2016,Production of tea and coffee,103.6
2017,Production of tea and coffee,95.1
2018,Production of tea and coffee,104.0
2019,Production of tea and coffee,97.3
2020,Production of tea and coffee,93.2
2021,Production of tea and coffee,106.8
2022,Production of tea and coffee,65.3
2023,Production of tea and coffee,103.3
2015,Production of spices and seasonings,84.2
2016,Production of spices and seasonings,100.8
2017,Production of spices and seasonings,103.3
2018,Production of spices and seasonings,100.0
2019,Production of spices and seasonings,101.6
2020,Production of spices and seasonings,104.4
2021,Production of spices and seasonings,95.5
2022,Production of spices and seasonings,70.0
2023,Production of spices and seasonings,105.0
2015,Production of other food products not elsewhere classified,74.7
2016,Production of other food products not elsewhere classified,93.8
2017,Production of other food products not elsewhere classified,102.3
2018,Production of other food products not elsewhere classified,104.9
2019,Production of other food products not elsewhere classified,64.1
2020,Production of other food products not elsewhere classified,92.6
2021,Production of other food products not elsewhere classified,89.7
2022,Production of other food products not elsewhere classified,79.8
2023,Production of other food products not elsewhere classified,120.5
