Year,Age,Sex,Value
2015,,,9.2
2016,,,9.0
2017,,,8.7
2018,,,8.6
2019,,,8.0
2020,,,8.2
2021,,,8.5
2022,,,
2023,,,
2015,15-24 years,,55.9
2016,15-24 years,,56.5
2017,15-24 years,,57.6
2018,15-24 years,,59.4
2019,15-24 years,,55.5
2020,15-24 years,,60.0
2021,15-24 years,,62.1
2022,15-24 years,,
2023,15-24 years,,
2015,25-64 years,,0.8
2016,25-64 years,,0.9
2017,25-64 years,,0.8
2018,25-64 years,,0.8
2019,25-64 years,,0.7
2020,25-64 years,,0.5
2021,25-64 years,,0.5
2022,25-64 years,,
2023,25-64 years,,
2015,,female,8.8
2016,,female,8.4
2017,,female,8.1
2018,,female,8.0
2019,,female,7.5
2020,,female,7.6
2021,,female,7.7
2022,,female,
2023,,female,
2015,,male,9.8
2016,,male,9.6
2017,,male,9.3
2018,,male,9.4
2019,,male,8.7
2020,,male,8.9
2021,,male,9.4
2022,,male,
2023,,male,
