Year,Type of residence,Sex,Age,Value
2015,,,,48.9
2016,,,,53.0
2017,,,,58.9
2018,,,,62.6
2019,,,,70.1
2020,,,,75.3
2021,,,,79.4
2022,,,,
2023,,,,
2015,urban,,,58.4
2016,urban,,,62.7
2017,urban,,,67.7
2018,urban,,,70.1
2019,urban,,,77.4
2020,urban,,,81.0
2021,urban,,,83.4
2022,urban,,,
2023,urban,,,
2015,rural,,,30.3
2016,rural,,,34.1
2017,rural,,,41.7
2018,rural,,,47.8
2019,rural,,,55.9
2020,rural,,,64.1
2021,rural,,,71.2
2022,rural,,,
2023,rural,,,
2015,,female,,46.5
2016,,female,,51.3
2017,,female,,57.0
2018,,female,,60.0
2019,,female,,68.2
2020,,female,,72.9
2021,,female,,76.9
2022,,female,,
2023,,female,,
2015,,male,,51.6
2016,,male,,55.0
2017,,male,,61.1
2018,,male,,65.5
2019,,male,,72.4
2020,,male,,78.2
2021,,male,,82.2
2022,,male,,
2023,,male,,
2015,,,up to 15 years,36.6
2016,,,up to 15 years,43.8
2017,,,up to 15 years,50.2
2018,,,up to 15 years,53.2
2019,,,up to 15 years,64.8
2020,,,up to 15 years,70.8
2021,,,up to 15 years,74.3
2022,,,up to 15 years,
2023,,,up to 15 years,
2015,,,15-17 years,86.7
2016,,,15-17 years,86.0
2017,,,15-17 years,91.1
2018,,,15-17 years,89.2
2019,,,15-17 years,97.7
2020,,,15-17 years,99.5
2021,,,15-17 years,100.0
2022,,,15-17 years,
2023,,,15-17 years,
2015,,,18-24 years,81.9
2016,,,18-24 years,84.7
2017,,,18-24 years,89.6
2018,,,18-24 years,93.5
2019,,,18-24 years,95.8
2020,,,18-24 years,99.0
2021,,,18-24 years,99.2
2022,,,18-24 years,
2023,,,18-24 years,
2015,,,25-35 years,75.9
2016,,,25-35 years,80.4
2017,,,25-35 years,87.6
2018,,,25-35 years,89.3
2019,,,25-35 years,94.4
2020,,,25-35 years,97.7
2021,,,25-35 years,98.8
2022,,,25-35 years,
2023,,,25-35 years,
2015,,,36-59 years,52.2
2016,,,36-59 years,57.1
2017,,,36-59 years,65.1
2018,,,36-59 years,70.7
2019,,,36-59 years,79.7
2020,,,36-59 years,86.6
2021,,,36-59 years,90.8
2022,,,36-59 years,
2023,,,36-59 years,
2015,,,60-74 years,18.7
2016,,,60-74 years,22.3
2017,,,60-74 years,26.5
2018,,,60-74 years,33.0
2019,,,60-74 years,39.5
2020,,,60-74 years,46.8
2021,,,60-74 years,55.1
2022,,,60-74 years,
2023,,,60-74 years,
2015,,,75 years and older,4.2
2016,,,75 years and older,5.1
2017,,,75 years and older,6.1
2018,,,75 years and older,7.7
2019,,,75 years and older,12.9
2020,,,75 years and older,10.3
2021,,,75 years and older,19.2
2022,,,75 years and older,
2023,,,75 years and older,
