Year,Region,Age,Value
2015,,,27.3
2016,,,25.3
2017,,,22.4
2018,,,19.7
2019,,,16.9
2020,,,15.8
2021,,,13.8
2022,,,
2023,,,
2015,Vinnytsya,,29.7
2016,Vinnytsya,,27.0
2017,Vinnytsya,,23.8
2018,Vinnytsya,,22.6
2019,Vinnytsya,,18.2
2020,Vinnytsya,,17.9
2021,Vinnytsya,,13.6
2022,Vinnytsya,,
2023,Vinnytsya,,
2015,Volyn,,27.1
2016,Volyn,,25.1
2017,Volyn,,21.0
2018,Volyn,,18.3
2019,Volyn,,16.7
2020,Volyn,,16.5
2021,Volyn,,14.6
2022,Volyn,,
2023,Volyn,,
2015,Dnipropetrovsk,,27.3
2016,Dnipropetrovsk,,24.6
2017,Dnipropetrovsk,,21.4
2018,Dnipropetrovsk,,18.7
2019,Dnipropetrovsk,,15.6
2020,Dnipropetrovsk,,15.3
2021,Dnipropetrovsk,,13.1
2022,Dnipropetrovsk,,
2023,Dnipropetrovsk,,
2015,Donetsk,,
2016,Donetsk,,
2017,Donetsk,,
2018,Donetsk,,
2019,Donetsk,,
2020,Donetsk,,
2021,Donetsk,,
2022,Donetsk,,
2023,Donetsk,,
2015,Zhytomyr,,33.6
2016,Zhytomyr,,31.1
2017,Zhytomyr,,27.7
2018,Zhytomyr,,25.3
2019,Zhytomyr,,22.5
2020,Zhytomyr,,21.3
2021,Zhytomyr,,17.3
2022,Zhytomyr,,
2023,Zhytomyr,,
2015,Zakarpattya,,52.8
2016,Zakarpattya,,49.4
2017,Zakarpattya,,46.0
2018,Zakarpattya,,45.3
2019,Zakarpattya,,40.5
2020,Zakarpattya,,39.8
2021,Zakarpattya,,39.6
2022,Zakarpattya,,
2023,Zakarpattya,,
2015,Zaporizhzhya,,26.4
2016,Zaporizhzhya,,23.9
2017,Zaporizhzhya,,20.1
2018,Zaporizhzhya,,18.6
2019,Zaporizhzhya,,16.4
2020,Zaporizhzhya,,13.6
2021,Zaporizhzhya,,12.8
2022,Zaporizhzhya,,
2023,Zaporizhzhya,,
