Year,Electricity generation,Value
2015,,157.7
2016,,154.8
2017,,155.4
2018,,159.4
2019,,154.0
2020,,148.9
2021,,156.6
2022,,113.5
2023,,105.8
2015,Power generating companies of TPP,49.4
2016,Power generating companies of TPP,49.9
2017,Power generating companies of TPP,45.0
2018,Power generating companies of TPP,47.8
2019,Power generating companies of TPP,44.9
2020,Power generating companies of TPP,39.6
2021,Power generating companies of TPP,37.2
2022,Power generating companies of TPP,24.3
2023,Power generating companies of TPP,23.3
2015,TPP and cogeneration units,6.1
2016,TPP and cogeneration units,6.7
2017,TPP and cogeneration units,10.9
2018,TPP and cogeneration units,11.0
2019,TPP and cogeneration units,10.9
2020,TPP and cogeneration units,12.8
2021,TPP and cogeneration units,8.6
2022,TPP and cogeneration units,5.8
2023,TPP and cogeneration units,6.9
2015,HPS,5.2
2016,HPS,7.5
2017,HPS,9.0
2018,HPS,10.4
2019,HPS,6.5
2020,HPS,6.0
2021,HPS,9.2
2022,HPS,9.7
2023,HPS,11.2
2015,HAPP,1.6
2016,HAPP,1.6
2017,HAPP,1.6
2018,HAPP,1.6
2019,HAPP,1.3
2020,HAPP,1.6
2021,HAPP,1.3
2022,HAPP,1.3
2023,HAPP,1.3
2015,NPP,87.6
2016,NPP,81.0
2017,NPP,85.6
2018,NPP,84.4
2019,NPP,83.0
2020,NPP,76.2
2021,NPP,86.2
2022,NPP,62.2
2023,NPP,52.1
2015,Block stations,6.2
2016,Block stations,6.6
2017,Block stations,1.5
2018,Block stations,1.5
2019,Block stations,1.8
2020,Block stations,1.8
2021,Block stations,1.6
2022,Block stations,0.7
2023,Block stations,0.6
2015,"Alternative energy sources (WPS, SPS, Biomass)",1.6
2016,"Alternative energy sources (WPS, SPS, Biomass)",1.6
2017,"Alternative energy sources (WPS, SPS, Biomass)",1.9
2018,"Alternative energy sources (WPS, SPS, Biomass)",2.6
2019,"Alternative energy sources (WPS, SPS, Biomass)",5.5
2020,"Alternative energy sources (WPS, SPS, Biomass)",10.9
2021,"Alternative energy sources (WPS, SPS, Biomass)",12.5
2022,"Alternative energy sources (WPS, SPS, Biomass)",9.5
2023,"Alternative energy sources (WPS, SPS, Biomass)",10.4
