Year,Category,Unit,including,Value
2015,Supply of electricity to the grid,million kWh,,146642.0
2016,Supply of electricity to the grid,million kWh,,141619.0
2017,Supply of electricity to the grid,million kWh,,142509.0
2018,Supply of electricity to the grid,million kWh,,146523.0
2019,Supply of electricity to the grid,million kWh,,141329.0
2020,Supply of electricity to the grid,million kWh,,136196.0
2021,Supply of electricity to the grid,million kWh,,143991.0
2022,Supply of electricity to the grid,million kWh,,104529.0
2023,Supply of electricity to the grid,million kWh,,98045.0
2015,Productive supply of electricity to the grid,million kWh,,131861.0
2016,Productive supply of electricity to the grid,million kWh,,131274.0
2017,Productive supply of electricity to the grid,million kWh,,132093.0
2018,Productive supply of electricity to the grid,million kWh,,129191.0
2019,Productive supply of electricity to the grid,million kWh,,116612.0
2020,Productive supply of electricity to the grid,million kWh,,112986.0
2021,Productive supply of electricity to the grid,million kWh,,119496.0
2022,Productive supply of electricity to the grid,million kWh,,85239.0
2023,Productive supply of electricity to the grid,million kWh,,81692.0
2015,Reported actual value of technological electric power consumption,million kWh,,16860.0
2016,Reported actual value of technological electric power consumption,million kWh,,16626.0
2017,Reported actual value of technological electric power consumption,million kWh,,16774.0
2018,Reported actual value of technological electric power consumption,million kWh,,16996.0
2019,Reported actual value of technological electric power consumption,million kWh,,16434.0
2020,Reported actual value of technological electric power consumption,million kWh,,15451.0
2021,Reported actual value of technological electric power consumption,million kWh,,16247.0
2022,Reported actual value of technological electric power consumption,million kWh,,13428.0
2023,Reported actual value of technological electric power consumption,million kWh,,12665.0
2015,Reported actual value of technological electric power consumption,percentage,,11.5
2016,Reported actual value of technological electric power consumption,percentage,,11.74
2017,Reported actual value of technological electric power consumption,percentage,,11.77
2018,Reported actual value of technological electric power consumption,percentage,,11.6
2019,Reported actual value of technological electric power consumption,percentage,,11.63
2020,Reported actual value of technological electric power consumption,percentage,,11.34
2021,Reported actual value of technological electric power consumption,percentage,,11.28
2022,Reported actual value of technological electric power consumption,percentage,,12.85
2023,Reported actual value of technological electric power consumption,percentage,,12.92
2015,Reported actual value of technological electric power consumption,million kWh,normative value of technological electric power consumption,19034.0
2016,Reported actual value of technological electric power consumption,million kWh,normative value of technological electric power consumption,18805.0
2017,Reported actual value of technological electric power consumption,million kWh,normative value of technological electric power consumption,18820.0
2018,Reported actual value of technological electric power consumption,million kWh,normative value of technological electric power consumption,19140.0
2019,Reported actual value of technological electric power consumption,million kWh,normative value of technological electric power consumption,18254.0
2020,Reported actual value of technological electric power consumption,million kWh,normative value of technological electric power consumption,17438.0
2021,Reported actual value of technological electric power consumption,million kWh,normative value of technological electric power consumption,18634.0
2022,Reported actual value of technological electric power consumption,million kWh,normative value of technological electric power consumption,15022.0
2023,Reported actual value of technological electric power consumption,million kWh,normative value of technological electric power consumption,14413.0
