Year,Type of residence,Region,Value
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,46.0
2020,,,52.0
2021,,,55.0
2022,,,57.0
2023,,,62.0
2015,,Vinnytsya,
2016,,Vinnytsya,
2017,,Vinnytsya,
2018,,Vinnytsya,
2019,,Vinnytsya,38.0
2020,,Vinnytsya,43.0
2021,,Vinnytsya,45.0
2022,,Vinnytsya,48.0
2023,,Vinnytsya,55.0
2015,,Volyn,
2016,,Volyn,
2017,,Volyn,
2018,,Volyn,
2019,,Volyn,51.0
2020,,Volyn,54.0
2021,,Volyn,63.0
2022,,Volyn,60.0
2023,,Volyn,65.0
2015,,Dnipropetrovsk,
2016,,Dnipropetrovsk,
2017,,Dnipropetrovsk,
2018,,Dnipropetrovsk,
2019,,Dnipropetrovsk,48.0
2020,,Dnipropetrovsk,51.0
2021,,Dnipropetrovsk,54.0
2022,,Dnipropetrovsk,57.0
2023,,Dnipropetrovsk,60.0
2015,,Donetsk,
2016,,Donetsk,
2017,,Donetsk,
2018,,Donetsk,
2019,,Donetsk,31.0
2020,,Donetsk,38.0
2021,,Donetsk,38.0
2022,,Donetsk,
2023,,Donetsk,
2015,,Zhytomyr,
2016,,Zhytomyr,
2017,,Zhytomyr,
2018,,Zhytomyr,
2019,,Zhytomyr,32.0
2020,,Zhytomyr,41.0
2021,,Zhytomyr,48.0
2022,,Zhytomyr,52.0
2023,,Zhytomyr,56.0
2015,,Zakarpattya,
2016,,Zakarpattya,
2017,,Zakarpattya,
2018,,Zakarpattya,
2019,,Zakarpattya,35.0
2020,,Zakarpattya,37.0
2021,,Zakarpattya,41.0
2022,,Zakarpattya,46.0
2023,,Zakarpattya,46.0
2015,,Zaporizhzhya,
2016,,Zaporizhzhya,
2017,,Zaporizhzhya,
2018,,Zaporizhzhya,
2019,,Zaporizhzhya,53.0
2020,,Zaporizhzhya,58.0
2021,,Zaporizhzhya,61.0
2022,,Zaporizhzhya,
2023,,Zaporizhzhya,
2015,,Ivano-Frankivsk,
2016,,Ivano-Frankivsk,
2017,,Ivano-Frankivsk,
2018,,Ivano-Frankivsk,
2019,,Ivano-Frankivsk,43.0
2020,,Ivano-Frankivsk,53.0
2021,,Ivano-Frankivsk,48.0
2022,,Ivano-Frankivsk,57.0
2023,,Ivano-Frankivsk,66.0
2015,,Kyiv,
