Year,Article of the Criminal Code of Ukraine,Group,Unit,Value
2015,"total number of victims of criminal offenses, Аrt. of CCU",all,Victims of criminal offenses (per 100 thousand population),965.12
2016,"total number of victims of criminal offenses, Аrt. of CCU",all,Victims of criminal offenses (per 100 thousand population),1044.08
2017,"total number of victims of criminal offenses, Аrt. of CCU",all,Victims of criminal offenses (per 100 thousand population),882.92
2018,"total number of victims of criminal offenses, Аrt. of CCU",all,Victims of criminal offenses (per 100 thousand population),817.92
2019,"total number of victims of criminal offenses, Аrt. of CCU",all,Victims of criminal offenses (per 100 thousand population),720.23
2020,"total number of victims of criminal offenses, Аrt. of CCU",all,Victims of criminal offenses (per 100 thousand population),564.62
2021,"total number of victims of criminal offenses, Аrt. of CCU",all,Victims of criminal offenses (per 100 thousand population),479.2
2022,"total number of victims of criminal offenses, Аrt. of CCU",all,Victims of criminal offenses (per 100 thousand population),560.98
2023,"total number of victims of criminal offenses, Аrt. of CCU",all,Victims of criminal offenses (per 100 thousand population),862.39
2015,"total number of victims of criminal offenses, Аrt. of CCU",all,Victims of criminal offenses (total),412689.0
2016,"total number of victims of criminal offenses, Аrt. of CCU",all,Victims of criminal offenses (total),444617.0
2017,"total number of victims of criminal offenses, Аrt. of CCU",all,Victims of criminal offenses (total),374238.0
2018,"total number of victims of criminal offenses, Аrt. of CCU",all,Victims of criminal offenses (total),344780.0
2019,"total number of victims of criminal offenses, Аrt. of CCU",all,Victims of criminal offenses (total),301792.0
2020,"total number of victims of criminal offenses, Аrt. of CCU",all,Victims of criminal offenses (total),234816.0
2021,"total number of victims of criminal offenses, Аrt. of CCU",all,Victims of criminal offenses (total),197274.0
2022,"total number of victims of criminal offenses, Аrt. of CCU",all,Victims of criminal offenses (total),230939.0
2023,"total number of victims of criminal offenses, Аrt. of CCU",all,Victims of criminal offenses (total),355023.0
2015,"total number of victims of criminal offenses, Аrt. of CCU",females,Victims of criminal offenses (total),156190.0
2016,"total number of victims of criminal offenses, Аrt. of CCU",females,Victims of criminal offenses (total),167099.0
2017,"total number of victims of criminal offenses, Аrt. of CCU",females,Victims of criminal offenses (total),133633.0
2018,"total number of victims of criminal offenses, Аrt. of CCU",females,Victims of criminal offenses (total),118444.0
2019,"total number of victims of criminal offenses, Аrt. of CCU",females,Victims of criminal offenses (total),102448.0
2020,"total number of victims of criminal offenses, Аrt. of CCU",females,Victims of criminal offenses (total),74885.0
2021,"total number of victims of criminal offenses, Аrt. of CCU",females,Victims of criminal offenses (total),60476.0
2022,"total number of victims of criminal offenses, Аrt. of CCU",females,Victims of criminal offenses (total),61666.0
2023,"total number of victims of criminal offenses, Аrt. of CCU",females,Victims of criminal offenses (total),114163.0
2015,"total number of victims of criminal offenses, Аrt. of CCU",adolescents,Victims of criminal offenses (total),4809.0
2016,"total number of victims of criminal offenses, Аrt. of CCU",adolescents,Victims of criminal offenses (total),4838.0
2017,"total number of victims of criminal offenses, Аrt. of CCU",adolescents,Victims of criminal offenses (total),4095.0
2018,"total number of victims of criminal offenses, Аrt. of CCU",adolescents,Victims of criminal offenses (total),3701.0
2019,"total number of victims of criminal offenses, Аrt. of CCU",adolescents,Victims of criminal offenses (total),3249.0
2020,"total number of victims of criminal offenses, Аrt. of CCU",adolescents,Victims of criminal offenses (total),3202.0
