Year,Age,Sex,Value
2015,,,38303
2016,,,219981
2017,,,393228
2018,,,400478
2019,,,404030
2020,,,354018
2021,,,433810
2022,,,379172
2023,,,369112
2015,up to 18 years,,169
2016,up to 18 years,,1413
2017,up to 18 years,,1803
2018,up to 18 years,,2051
2019,up to 18 years,,1976
2020,up to 18 years,,1893
2021,up to 18 years,,2972
2022,up to 18 years,,4601
2023,up to 18 years,,4830
2015,18-35 years,,5827
2016,18-35 years,,48456
2017,18-35 years,,88404
2018,18-35 years,,86792
2019,18-35 years,,70756
2020,18-35 years,,71945
2021,18-35 years,,93881
2022,18-35 years,,85801
2023,18-35 years,,75787
2015,36-60 years,,18009
2016,36-60 years,,110488
2017,36-60 years,,196311
2018,36-60 years,,193433
2019,36-60 years,,185227
2020,36-60 years,,172036
2021,36-60 years,,220951
2022,36-60 years,,192322
2023,36-60 years,,185630
2015,61 years and older,,14298
2016,61 years and older,,59624
2017,61 years and older,,106710
2018,61 years and older,,118202
2019,61 years and older,,146071
2020,61 years and older,,108144
2021,61 years and older,,116006
2022,61 years and older,,96448
2023,61 years and older,,102865
2015,,male,15673
2016,,male,93488
2017,,male,158462
2018,,male,151787
2019,,male,152578
2020,,male,137011
2021,,male,179040
2022,,male,153006
2023,,male,143272
2015,,female,22630
2016,,female,126493
2017,,female,234766
2018,,female,248691
2019,,female,251452
2020,,female,217007
2021,,female,254770
2022,,female,226166
2023,,female,225840
