Year,Type of ammunition,Region,Value
2015,,,204326.0
2016,,,177757.0
2017,,,280276.0
2018,,,273167.0
2019,,,206918.0
2020,,,180562.0
2021,,,135152.0
2022,,,200990.0
2023,,,724993.0
2015,cartridges,,202142.0
2016,cartridges,,174954.0
2017,cartridges,,278238.0
2018,cartridges,,271141.0
2019,cartridges,,204899.0
2020,cartridges,,179186.0
2021,cartridges,,134166.0
2022,cartridges,,199850.0
2023,cartridges,,720336.0
2015,grenades,,2099.0
2016,grenades,,2698.0
2017,grenades,,1935.0
2018,grenades,,1918.0
2019,grenades,,1889.0
2020,grenades,,1228.0
2021,grenades,,926.0
2022,grenades,,1110.0
2023,grenades,,4418.0
2015,mines,,26.0
2016,mines,,61.0
2017,mines,,57.0
2018,mines,,48.0
2019,mines,,84.0
2020,mines,,24.0
2021,mines,,7.0
2022,mines,,9.0
2023,mines,,148.0
2015,improvised explosive devices,,59.0
2016,improvised explosive devices,,44.0
2017,improvised explosive devices,,46.0
2018,improvised explosive devices,,60.0
2019,improvised explosive devices,,46.0
2020,improvised explosive devices,,124.0
2021,improvised explosive devices,,53.0
2022,improvised explosive devices,,21.0
2023,improvised explosive devices,,91.0
2015,,Vinnytsya,3982.0
2016,,Vinnytsya,6624.0
2017,,Vinnytsya,5909.0
2018,,Vinnytsya,12284.0
2019,,Vinnytsya,12436.0
2020,,Vinnytsya,7006.0
2021,,Vinnytsya,1786.0
2022,,Vinnytsya,3279.0
2023,,Vinnytsya,14133.0
2015,cartridges,Vinnytsya,3952.0
2016,cartridges,Vinnytsya,6584.0
2017,cartridges,Vinnytsya,5893.0
2018,cartridges,Vinnytsya,12247.0
2019,cartridges,Vinnytsya,12423.0
2020,cartridges,Vinnytsya,6988.0
2021,cartridges,Vinnytsya,1777.0
2022,cartridges,Vinnytsya,3257.0
2023,cartridges,Vinnytsya,14037.0
2015,grenades,Vinnytsya,29.0
2016,grenades,Vinnytsya,39.0
2017,grenades,Vinnytsya,16.0
2018,grenades,Vinnytsya,36.0
2019,grenades,Vinnytsya,13.0
2020,grenades,Vinnytsya,18.0
2021,grenades,Vinnytsya,9.0
2022,grenades,Vinnytsya,22.0
2023,grenades,Vinnytsya,95.0
2015,mines,Vinnytsya,1.0
2016,mines,Vinnytsya,
2017,mines,Vinnytsya,
2018,mines,Vinnytsya,1.0
2019,mines,Vinnytsya,
2020,mines,Vinnytsya,
2021,mines,Vinnytsya,
2022,mines,Vinnytsya,
2023,mines,Vinnytsya,
2015,improvised explosive devices,Vinnytsya,
2016,improvised explosive devices,Vinnytsya,1.0
2017,improvised explosive devices,Vinnytsya,
2018,improvised explosive devices,Vinnytsya,
2019,improvised explosive devices,Vinnytsya,
2020,improvised explosive devices,Vinnytsya,
2021,improvised explosive devices,Vinnytsya,
2022,improvised explosive devices,Vinnytsya,
2023,improvised explosive devices,Vinnytsya,1.0
2015,,Volyn,1536.0
2016,,Volyn,2392.0
2017,,Volyn,5351.0
2018,,Volyn,4581.0
2019,,Volyn,2461.0
2020,,Volyn,5316.0
2021,,Volyn,1631.0
2022,,Volyn,3989.0
2023,,Volyn,3590.0
2015,cartridges,Volyn,1508.0
2016,cartridges,Volyn,1664.0
2017,cartridges,Volyn,5312.0
2018,cartridges,Volyn,4555.0
2019,cartridges,Volyn,2440.0
2020,cartridges,Volyn,5074.0
2021,cartridges,Volyn,1618.0
2022,cartridges,Volyn,3968.0
2023,cartridges,Volyn,3560.0
2015,grenades,Volyn,28.0
2016,grenades,Volyn,713.0
2017,grenades,Volyn,31.0
2018,grenades,Volyn,26.0
2019,grenades,Volyn,20.0
2020,grenades,Volyn,232.0
2021,grenades,Volyn,13.0
2022,grenades,Volyn,18.0
2023,grenades,Volyn,30.0
2015,mines,Volyn,
2016,mines,Volyn,15.0
2017,mines,Volyn,8.0
2018,mines,Volyn,
2019,mines,Volyn,
2020,mines,Volyn,10.0
2021,mines,Volyn,
2022,mines,Volyn,3.0
2023,mines,Volyn,
2015,improvised explosive devices,Volyn,
2016,improvised explosive devices,Volyn,
2017,improvised explosive devices,Volyn,
2018,improvised explosive devices,Volyn,
2019,improvised explosive devices,Volyn,1.0
2020,improvised explosive devices,Volyn,
2021,improvised explosive devices,Volyn,
2022,improvised explosive devices,Volyn,
