Year,Article of the Criminal Code of Ukraine,Unit,Value
2015,"Stealing, misappropriation, extortion of firearms, ammunition, explosives or radioactive materials, or acquisition by fraud or abuse of office, Art. 262",Total criminal offenses (number),207.0
2016,"Stealing, misappropriation, extortion of firearms, ammunition, explosives or radioactive materials, or acquisition by fraud or abuse of office, Art. 262",Total criminal offenses (number),154.0
2017,"Stealing, misappropriation, extortion of firearms, ammunition, explosives or radioactive materials, or acquisition by fraud or abuse of office, Art. 262",Total criminal offenses (number),151.0
2018,"Stealing, misappropriation, extortion of firearms, ammunition, explosives or radioactive materials, or acquisition by fraud or abuse of office, Art. 262",Total criminal offenses (number),102.0
2019,"Stealing, misappropriation, extortion of firearms, ammunition, explosives or radioactive materials, or acquisition by fraud or abuse of office, Art. 262",Total criminal offenses (number),95.0
2020,"Stealing, misappropriation, extortion of firearms, ammunition, explosives or radioactive materials, or acquisition by fraud or abuse of office, Art. 262",Total criminal offenses (number),55.0
2021,"Stealing, misappropriation, extortion of firearms, ammunition, explosives or radioactive materials, or acquisition by fraud or abuse of office, Art. 262",Total criminal offenses (number),48.0
2022,"Stealing, misappropriation, extortion of firearms, ammunition, explosives or radioactive materials, or acquisition by fraud or abuse of office, Art. 262",Total criminal offenses (number),174.0
2023,"Stealing, misappropriation, extortion of firearms, ammunition, explosives or radioactive materials, or acquisition by fraud or abuse of office, Art. 262",Total criminal offenses (number),58.0
2015,"Stealing, misappropriation, extortion of firearms, ammunition, explosives or radioactive materials, or acquisition by fraud or abuse of office, Art. 262",Per 100 thousand population,0.48
2016,"Stealing, misappropriation, extortion of firearms, ammunition, explosives or radioactive materials, or acquisition by fraud or abuse of office, Art. 262",Per 100 thousand population,0.36
2017,"Stealing, misappropriation, extortion of firearms, ammunition, explosives or radioactive materials, or acquisition by fraud or abuse of office, Art. 262",Per 100 thousand population,0.36
2018,"Stealing, misappropriation, extortion of firearms, ammunition, explosives or radioactive materials, or acquisition by fraud or abuse of office, Art. 262",Per 100 thousand population,0.24
2019,"Stealing, misappropriation, extortion of firearms, ammunition, explosives or radioactive materials, or acquisition by fraud or abuse of office, Art. 262",Per 100 thousand population,0.23
2020,"Stealing, misappropriation, extortion of firearms, ammunition, explosives or radioactive materials, or acquisition by fraud or abuse of office, Art. 262",Per 100 thousand population,0.13
2021,"Stealing, misappropriation, extortion of firearms, ammunition, explosives or radioactive materials, or acquisition by fraud or abuse of office, Art. 262",Per 100 thousand population,0.12
2022,"Stealing, misappropriation, extortion of firearms, ammunition, explosives or radioactive materials, or acquisition by fraud or abuse of office, Art. 262",Per 100 thousand population,0.42
2023,"Stealing, misappropriation, extortion of firearms, ammunition, explosives or radioactive materials, or acquisition by fraud or abuse of office, Art. 262",Per 100 thousand population,0.14
2015,"Illegal handling of weapons, ammunition or explosives, Art. 263",Total criminal offenses (number),7409.0
2016,"Illegal handling of weapons, ammunition or explosives, Art. 263",Total criminal offenses (number),6307.0
2017,"Illegal handling of weapons, ammunition or explosives, Art. 263",Total criminal offenses (number),8002.0
2018,"Illegal handling of weapons, ammunition or explosives, Art. 263",Total criminal offenses (number),7466.0
2019,"Illegal handling of weapons, ammunition or explosives, Art. 263",Total criminal offenses (number),6204.0
2020,"Illegal handling of weapons, ammunition or explosives, Art. 263",Total criminal offenses (number),5116.0
2021,"Illegal handling of weapons, ammunition or explosives, Art. 263",Total criminal offenses (number),4067.0
2022,"Illegal handling of weapons, ammunition or explosives, Art. 263",Total criminal offenses (number),4735.0
2023,"Illegal handling of weapons, ammunition or explosives, Art. 263",Total criminal offenses (number),5582.0
2015,"Illegal handling of weapons, ammunition or explosives, Art. 263",Per 100 thousand population,17.33
2016,"Illegal handling of weapons, ammunition or explosives, Art. 263",Per 100 thousand population,14.81
2017,"Illegal handling of weapons, ammunition or explosives, Art. 263",Per 100 thousand population,18.88
