Year,Сomponent of the index,Region,Age,Gender,Value
2017,social cohesion and sense of ownership,Donetsk,,,
2018,social cohesion and sense of ownership,Donetsk,,,
2019,social cohesion and sense of ownership,Donetsk,,,
2020,social cohesion and sense of ownership,Donetsk,,,
2021,social cohesion and sense of ownership,Donetsk,,,
2022,social cohesion and sense of ownership,Donetsk,,,
2023,social cohesion and sense of ownership,Donetsk,,,
2017,social cohesion and sense of ownership,Donetsk,18-35 years,,
2018,social cohesion and sense of ownership,Donetsk,18-35 years,,
2019,social cohesion and sense of ownership,Donetsk,18-35 years,,
2020,social cohesion and sense of ownership,Donetsk,18-35 years,,
2021,social cohesion and sense of ownership,Donetsk,18-35 years,,
2022,social cohesion and sense of ownership,Donetsk,18-35 years,,
2023,social cohesion and sense of ownership,Donetsk,18-35 years,,
2017,social cohesion and sense of ownership,Donetsk,36-60 years,,6.7
2018,social cohesion and sense of ownership,Donetsk,36-60 years,,
2019,social cohesion and sense of ownership,Donetsk,36-60 years,,
2020,social cohesion and sense of ownership,Donetsk,36-60 years,,
2021,social cohesion and sense of ownership,Donetsk,36-59 years,,
2022,social cohesion and sense of ownership,Donetsk,36-59 years,,
2023,social cohesion and sense of ownership,Donetsk,36-59 years,,
2017,social cohesion and sense of ownership,Donetsk,61 years and older,,7.0
2018,social cohesion and sense of ownership,Donetsk,61 years and older,,
2019,social cohesion and sense of ownership,Donetsk,61 years and older,,
2020,social cohesion and sense of ownership,Donetsk,61 years and older,,
2021,social cohesion and sense of ownership,Donetsk,60 years and older,,
2022,social cohesion and sense of ownership,Donetsk,60 years and older,,
2023,social cohesion and sense of ownership,Donetsk,60 years and older,,
2017,social cohesion and sense of ownership,Donetsk,,men,6.7
2018,social cohesion and sense of ownership,Donetsk,,men,
2019,social cohesion and sense of ownership,Donetsk,,men,
2020,social cohesion and sense of ownership,Donetsk,,men,
2021,social cohesion and sense of ownership,Donetsk,,men,
2022,social cohesion and sense of ownership,Donetsk,,men,
2023,social cohesion and sense of ownership,Donetsk,,men,
2017,social cohesion and sense of ownership,Donetsk,,women,6.8
2018,social cohesion and sense of ownership,Donetsk,,women,
2019,social cohesion and sense of ownership,Donetsk,,women,
2020,social cohesion and sense of ownership,Donetsk,,women,
2021,social cohesion and sense of ownership,Donetsk,,women,
2022,social cohesion and sense of ownership,Donetsk,,women,
2023,social cohesion and sense of ownership,Donetsk,,women,
2017,social cohesion and sense of ownership,Luhansk,,,
2018,social cohesion and sense of ownership,Luhansk,,,
2019,social cohesion and sense of ownership,Luhansk,,,
2020,social cohesion and sense of ownership,Luhansk,,,
2021,social cohesion and sense of ownership,Luhansk,,,
2022,social cohesion and sense of ownership,Luhansk,,,
2023,social cohesion and sense of ownership,Luhansk,,,
2017,social cohesion and sense of ownership,Luhansk,18-35 years,,6.4
2018,social cohesion and sense of ownership,Luhansk,18-35 years,,
2019,social cohesion and sense of ownership,Luhansk,18-35 years,,
2020,social cohesion and sense of ownership,Luhansk,18-35 years,,
2021,social cohesion and sense of ownership,Luhansk,18-35 years,,
2022,social cohesion and sense of ownership,Luhansk,18-35 years,,
2023,social cohesion and sense of ownership,Luhansk,18-35 years,,
2017,social cohesion and sense of ownership,Luhansk,36-60 years,,6.7
2018,social cohesion and sense of ownership,Luhansk,36-60 years,,
2019,social cohesion and sense of ownership,Luhansk,36-60 years,,
2020,social cohesion and sense of ownership,Luhansk,36-60 years,,
2021,social cohesion and sense of ownership,Luhansk,36-59 years,,
2022,social cohesion and sense of ownership,Luhansk,36-59 years,,
2023,social cohesion and sense of ownership,Luhansk,36-59 years,,
