Year,Region,Value
2015,,26.3
2016,,25.4
2017,,24.3
2018,,24.1
2019,,22.6
2020,,22.1
2021,,20.4
2022,,
2023,,
2015,Vinnytsya,18.8
2016,Vinnytsya,25.3
2017,Vinnytsya,21.9
2018,Vinnytsya,23.2
2019,Vinnytsya,19.3
2020,Vinnytsya,21.7
2021,Vinnytsya,16.7
2022,Vinnytsya,
2023,Vinnytsya,
2015,Volyn,23.5
2016,Volyn,25.5
2017,Volyn,21.0
2018,Volyn,21.0
2019,Volyn,20.7
2020,Volyn,19.0
2021,Volyn,12.5
2022,Volyn,
2023,Volyn,
2015,Dnipropetrovsk,28.4
2016,Dnipropetrovsk,28.3
2017,Dnipropetrovsk,24.2
2018,Dnipropetrovsk,27.3
2019,Dnipropetrovsk,25.5
2020,Dnipropetrovsk,22.1
2021,Dnipropetrovsk,22.9
2022,Dnipropetrovsk,
2023,Dnipropetrovsk,
2015,Donetsk,
2016,Donetsk,
2017,Donetsk,
2018,Donetsk,
2019,Donetsk,
2020,Donetsk,
2021,Donetsk,
2022,Donetsk,
2023,Donetsk,
2015,Zhytomyr,20.9
2016,Zhytomyr,23.5
2017,Zhytomyr,20.6
2018,Zhytomyr,21.5
2019,Zhytomyr,19.8
2020,Zhytomyr,19.2
2021,Zhytomyr,21.7
2022,Zhytomyr,
2023,Zhytomyr,
2015,Zakarpattya,22.0
2016,Zakarpattya,20.8
2017,Zakarpattya,19.3
2018,Zakarpattya,18.9
2019,Zakarpattya,25.0
2020,Zakarpattya,21.8
2021,Zakarpattya,23.0
2022,Zakarpattya,
2023,Zakarpattya,
2015,Zaporizhzhya,33.5
2016,Zaporizhzhya,29.7
2017,Zaporizhzhya,22.8
2018,Zaporizhzhya,28.9
2019,Zaporizhzhya,26.5
2020,Zaporizhzhya,24.5
2021,Zaporizhzhya,24.4
2022,Zaporizhzhya,
2023,Zaporizhzhya,
2015,Ivano-Frankivsk,24.4
2016,Ivano-Frankivsk,17.4
2017,Ivano-Frankivsk,24.8
2018,Ivano-Frankivsk,16.0
2019,Ivano-Frankivsk,15.0
2020,Ivano-Frankivsk,20.3
2021,Ivano-Frankivsk,14.5
2022,Ivano-Frankivsk,
2023,Ivano-Frankivsk,
2015,Kyiv,31.3
2016,Kyiv,27.6
2017,Kyiv,27.9
2018,Kyiv,26.7
2019,Kyiv,26.5
2020,Kyiv,26.1
2021,Kyiv,22.0
2022,Kyiv,
2023,Kyiv,
2015,Kirovohrad,28.5
2016,Kirovohrad,25.8
2017,Kirovohrad,23.2
2018,Kirovohrad,22.0
2019,Kirovohrad,25.0
2020,Kirovohrad,17.7
2021,Kirovohrad,22.8
2022,Kirovohrad,
2023,Kirovohrad,
2015,Luhansk,
2016,Luhansk,
2017,Luhansk,
2018,Luhansk,
2019,Luhansk,
2020,Luhansk,
2021,Luhansk,
2022,Luhansk,
2023,Luhansk,
2015,Lviv,22.4
2016,Lviv,24.6
2017,Lviv,21.9
2018,Lviv,21.9
2019,Lviv,21.3
2020,Lviv,20.4
2021,Lviv,19.0
2022,Lviv,
2023,Lviv,
2015,Mykolayiv,27.7
2016,Mykolayiv,25.1
2017,Mykolayiv,24.9
2018,Mykolayiv,21.2
2019,Mykolayiv,26.8
2020,Mykolayiv,18.6
2021,Mykolayiv,20.0
2022,Mykolayiv,
2023,Mykolayiv,
2015,Odesa,29.3
2016,Odesa,27.6
2017,Odesa,26.9
2018,Odesa,26.3
2019,Odesa,24.8
2020,Odesa,23.4
2021,Odesa,21.8
2022,Odesa,
2023,Odesa,
2015,Poltava,28.0
2016,Poltava,30.8
2017,Poltava,29.0
2018,Poltava,23.7
2019,Poltava,25.4
2020,Poltava,26.3
2021,Poltava,26.6
2022,Poltava,
2023,Poltava,
2015,Rivne,27.9
2016,Rivne,20.9
2017,Rivne,23.3
2018,Rivne,26.5
2019,Rivne,16.2
2020,Rivne,21.1
2021,Rivne,18.0
2022,Rivne,
2023,Rivne,
2015,Sumy,25.5
2016,Sumy,24.9
2017,Sumy,30.4
2018,Sumy,24.0
2019,Sumy,21.2
2020,Sumy,18.7
2021,Sumy,19.9
2022,Sumy,
2023,Sumy,
2015,Ternopil,22.4
2016,Ternopil,18.9
2017,Ternopil,21.1
2018,Ternopil,23.2
2019,Ternopil,14.9
2020,Ternopil,19.2
2021,Ternopil,13.3
2022,Ternopil,
2023,Ternopil,
2015,Kharkiv,27.7
2016,Kharkiv,29.7
2017,Kharkiv,28.7
2018,Kharkiv,24.7
2019,Kharkiv,23.8
2020,Kharkiv,26.4
2021,Kharkiv,20.9
2022,Kharkiv,
2023,Kharkiv,
2015,Kherson,28.9
2016,Kherson,24.8
2017,Kherson,23.3
2018,Kherson,24.2
2019,Kherson,25.7
2020,Kherson,18.8
