Year,Gender,Type of residence,Unit,Value
2015,,,percentage,
2016,,,percentage,
2017,,,percentage,
2018,,,percentage,
2019,,,percentage,
2020,,,percentage,212.0
2021,,,percentage,
2022,,,percentage,
2023,,,percentage,
2015,women,,minutes per day,
2016,women,,minutes per day,
2017,women,,minutes per day,
2018,women,,minutes per day,
2019,women,,minutes per day,
2020,women,,minutes per day,274.0
2021,women,,minutes per day,
2022,women,,minutes per day,
2023,women,,minutes per day,
2015,men,,minutes per day,
2016,men,,minutes per day,
2017,men,,minutes per day,
2018,men,,minutes per day,
2019,men,,minutes per day,
2020,men,,minutes per day,129.0
2021,men,,minutes per day,
2022,men,,minutes per day,
2023,men,,minutes per day,
2015,,urban,percentage,
2016,,urban,percentage,
2017,,urban,percentage,
2018,,urban,percentage,
2019,,urban,percentage,
2020,,urban,percentage,207.0
2021,,urban,percentage,
2022,,urban,percentage,
2023,,urban,percentage,
2015,women,urban,minutes per day,
2016,women,urban,minutes per day,
2017,women,urban,minutes per day,
2018,women,urban,minutes per day,
2019,women,urban,minutes per day,
2020,women,urban,minutes per day,257.0
2021,women,urban,minutes per day,
2022,women,urban,minutes per day,
2023,women,urban,minutes per day,
2015,men,urban,minutes per day,
2016,men,urban,minutes per day,
2017,men,urban,minutes per day,
2018,men,urban,minutes per day,
2019,men,urban,minutes per day,
2020,men,urban,minutes per day,124.0
2021,men,urban,minutes per day,
2022,men,urban,minutes per day,
2023,men,urban,minutes per day,
2015,,rural,percentage,
2016,,rural,percentage,
2017,,rural,percentage,
2018,,rural,percentage,
2019,,rural,percentage,
2020,,rural,percentage,256.0
2021,,rural,percentage,
2022,,rural,percentage,
2023,,rural,percentage,
2015,women,rural,minutes per day,
2016,women,rural,minutes per day,
2017,women,rural,minutes per day,
2018,women,rural,minutes per day,
2019,women,rural,minutes per day,
2020,women,rural,minutes per day,382.0
2021,women,rural,minutes per day,
2022,women,rural,minutes per day,
2023,women,rural,minutes per day,
2015,men,rural,minutes per day,
2016,men,rural,minutes per day,
2017,men,rural,minutes per day,
2018,men,rural,minutes per day,
2019,men,rural,minutes per day,
2020,men,rural,minutes per day,149.0
2021,men,rural,minutes per day,
2022,men,rural,minutes per day,
2023,men,rural,minutes per day,
