Year,Type of residence,Type of water supply,Value
2015,urban,,1.6
2016,urban,,1.1
2017,urban,,4.3
2018,urban,,4.0
2019,urban,,4.1
2020,urban,,0.8
2021,urban,,2.0
2022,urban,,0.5
2023,urban,,0.6
2015,rural,,0.0
2016,rural,,0.5
2017,rural,,6.6
2018,rural,,9.8
2019,rural,,12.5
2020,rural,,6.5
2021,rural,,2.8
2022,rural,,12.2
2023,rural,,2.9
2015,,centralized,1.1
2016,,centralized,1.1
2017,,centralized,3.9
2018,,centralized,4.0
2019,,centralized,4.6
2020,,centralized,4.7
2021,,centralized,1.9
2022,,centralized,1.2
2023,,centralized,0.8
2015,,decentralized,1.7
2016,,decentralized,0.4
2017,,decentralized,3.0
2018,,decentralized,2.5
2019,,decentralized,4.0
2020,,decentralized,8.8
2021,,decentralized,7.1
2022,,decentralized,4.9
2023,,decentralized,6.3
