Year,Еconomic activity,including,Value
2015,,,28.9
2016,,,
2017,,,28.4
2018,,,
2019,,,29.6
2020,,,
2021,,,
2022,,,
2023,,,
2015,Agriculture and related services,,11.2
2016,Agriculture and related services,,
2017,Agriculture and related services,,12.6
2018,Agriculture and related services,,
2019,Agriculture and related services,,14.5
2020,Agriculture and related services,,
2021,Agriculture and related services,,
2022,Agriculture and related services,,
2023,Agriculture and related services,,
2015,Industry,,35.3
2016,Industry,,
2017,Industry,,34.1
2018,Industry,,
2019,Industry,,34.0
2020,Industry,,
2021,Industry,,
2022,Industry,,
2023,Industry,,
2015,Mining and quarrying,,68.7
2016,Mining and quarrying,,
2017,Mining and quarrying,,67.9
2018,Mining and quarrying,,
2019,Mining and quarrying,,66.5
2020,Mining and quarrying,,
2021,Mining and quarrying,,
2022,Mining and quarrying,,
2023,Mining and quarrying,,
2015,Mining and quarrying,hard coal and brown coal extraction,82.0
2016,Mining and quarrying,hard coal and brown coal extraction,
2017,Mining and quarrying,hard coal and brown coal extraction,81.2
2018,Mining and quarrying,hard coal and brown coal extraction,
2019,Mining and quarrying,hard coal and brown coal extraction,78.6
2020,Mining and quarrying,hard coal and brown coal extraction,
2021,Mining and quarrying,hard coal and brown coal extraction,
2022,Mining and quarrying,hard coal and brown coal extraction,
2023,Mining and quarrying,hard coal and brown coal extraction,
2015,Processing industry,,29.2
2016,Processing industry,,
2017,Processing industry,,27.8
2018,Processing industry,,
2019,Processing industry,,28.5
2020,Processing industry,,
2021,Processing industry,,
2022,Processing industry,,
2023,Processing industry,,
2015,Processing industry,"manufacture of food, beverages and tobacco products",17.3
2016,Processing industry,"manufacture of food, beverages and tobacco products",
2017,Processing industry,"manufacture of food, beverages and tobacco products",19.5
2018,Processing industry,"manufacture of food, beverages and tobacco products",
2019,Processing industry,"manufacture of food, beverages and tobacco products",20.5
2020,Processing industry,"manufacture of food, beverages and tobacco products",
2021,Processing industry,"manufacture of food, beverages and tobacco products",
2022,Processing industry,"manufacture of food, beverages and tobacco products",
2023,Processing industry,"manufacture of food, beverages and tobacco products",
2015,Processing industry,"textile manufacturing, manufacture of clothing, leather, leather goods and other materials",9.5
2016,Processing industry,"textile manufacturing, manufacture of clothing, leather, leather goods and other materials",
2017,Processing industry,"textile manufacturing, manufacture of clothing, leather, leather goods and other materials",11.1
2018,Processing industry,"textile manufacturing, manufacture of clothing, leather, leather goods and other materials",
2019,Processing industry,"textile manufacturing, manufacture of clothing, leather, leather goods and other materials",12.1
2020,Processing industry,"textile manufacturing, manufacture of clothing, leather, leather goods and other materials",
2021,Processing industry,"textile manufacturing, manufacture of clothing, leather, leather goods and other materials",
2022,Processing industry,"textile manufacturing, manufacture of clothing, leather, leather goods and other materials",
