Year,Обсяг викидів парникових газів,Value
2015,всього,37.2
2016,всього,39.7
2017,всього,36.9
2018,всього,40.0
2019,всього,39.2
2020,всього,34.9
2021,всього,37.8
2022,всього,
2023,всього,
2015,"за основними типами джерел, зокрема автомобільного транспорту",37.2
2016,"за основними типами джерел, зокрема автомобільного транспорту",39.1
2017,"за основними типами джерел, зокрема автомобільного транспорту",40.2
2018,"за основними типами джерел, зокрема автомобільного транспорту",40.3
2019,"за основними типами джерел, зокрема автомобільного транспорту",43.4
2020,"за основними типами джерел, зокрема автомобільного транспорту",38.1
2021,"за основними типами джерел, зокрема автомобільного транспорту",40.7
2022,"за основними типами джерел, зокрема автомобільного транспорту",
2023,"за основними типами джерел, зокрема автомобільного транспорту",
