Year,Група,Value
2015,Населення,5.0
2016,Населення,10.0
2017,Населення,12.0
2018,Населення,16.0
2019,Населення,17.0
2020,Населення,
2021,Населення,10.0
2022,Населення,
2023,Населення,
2015,Учасники судових проваджень,16.0
2016,Учасники судових проваджень,13.0
2017,Учасники судових проваджень,28.0
2018,Учасники судових проваджень,34.0
2019,Учасники судових проваджень,
2020,Учасники судових проваджень,
2021,Учасники судових проваджень,11.0
2022,Учасники судових проваджень,
2023,Учасники судових проваджень,
2015,"Експертне середовище (адвокати, юристи)",
2016,"Експертне середовище (адвокати, юристи)",
2017,"Експертне середовище (адвокати, юристи)",38.0
2018,"Експертне середовище (адвокати, юристи)",41.0
2019,"Експертне середовище (адвокати, юристи)",44.0
2020,"Експертне середовище (адвокати, юристи)",
2021,"Експертне середовище (адвокати, юристи)",27.0
2022,"Експертне середовище (адвокати, юристи)",
2023,"Експертне середовище (адвокати, юристи)",
