Year,Вік,Стать,Value
2015,,,
2016,,,
2017,,,51.0
2018,,,50.0
2019,,,57.0
2020,,,
2021,,,
2022,,,
2023,,,
2015,18 – 35 років,,
2016,18 – 35 років,,
2017,18 – 35 років,,50.0
2018,18 – 35 років,,50.0
2019,18 – 35 років,,57.0
2020,18 – 35 років,,
2021,18 – 35 років,,
2022,18 – 35 років,,
2023,18 – 35 років,,
2015,36 – 60 років,,
2016,36 – 60 років,,
2017,36 – 60 років,,50.0
2018,36 – 60 років,,50.0
2019,36 – 60 років,,57.0
2020,36 – 60 років,,
2021,36 – 60 років,,
2022,36 – 60 років,,
2023,36 – 60 років,,
2015,61 рік і старші,,
2016,61 рік і старші,,
2017,61 рік і старші,,53.0
2018,61 рік і старші,,51.0
2019,61 рік і старші,,58.0
2020,61 рік і старші,,
2021,61 рік і старші,,
2022,61 рік і старші,,
2023,61 рік і старші,,
2015,,чоловіки,
2016,,чоловіки,
2017,,чоловіки,50.0
2018,,чоловіки,50.0
2019,,чоловіки,58.0
2020,,чоловіки,
2021,,чоловіки,
2022,,чоловіки,
2023,,чоловіки,
2015,,жінки,
2016,,жінки,
2017,,жінки,51.0
2018,,жінки,50.0
2019,,жінки,57.0
2020,,жінки,
2021,,жінки,
2022,,жінки,
2023,,жінки,
