Year,Організація,Одиниця виміру,Value
2015,Збройні сили України,"Площа розмінування, га",1317.0
2016,Збройні сили України,"Площа розмінування, га",744.0
2017,Збройні сили України,"Площа розмінування, га",1178.0
2018,Збройні сили України,"Площа розмінування, га",425.0
2019,Збройні сили України,"Площа розмінування, га",987.0
2020,Збройні сили України,"Площа розмінування, га",531.0
2021,Збройні сили України,"Площа розмінування, га",377.0
2022,Збройні сили України,"Площа розмінування, га",0.0
2023,Збройні сили України,"Площа розмінування, га",0.0
2015,Збройні сили України,"розміновано доріг, км",94.0
2016,Збройні сили України,"розміновано доріг, км",163.0
2017,Збройні сили України,"розміновано доріг, км",896.0
2018,Збройні сили України,"розміновано доріг, км",203.0
2019,Збройні сили України,"розміновано доріг, км",297.0
2020,Збройні сили України,"розміновано доріг, км",342.0
2021,Збройні сили України,"розміновано доріг, км",464.0
2022,Збройні сили України,"розміновано доріг, км",0.0
2023,Збройні сили України,"розміновано доріг, км",0.0
2015,Державна спеціальна служба транспорту,"Площа розмінування, га",87.0
2016,Державна спеціальна служба транспорту,"Площа розмінування, га",369.0
2017,Державна спеціальна служба транспорту,"Площа розмінування, га",57.0
2018,Державна спеціальна служба транспорту,"Площа розмінування, га",43.0
2019,Державна спеціальна служба транспорту,"Площа розмінування, га",151.0
2020,Державна спеціальна служба транспорту,"Площа розмінування, га",22.0
2021,Державна спеціальна служба транспорту,"Площа розмінування, га",49.0
2022,Державна спеціальна служба транспорту,"Площа розмінування, га",1.3
2023,Державна спеціальна служба транспорту,"Площа розмінування, га",14.91
2015,Державна спеціальна служба транспорту,"розміновано залізничних шляхів, км",99.0
2016,Державна спеціальна служба транспорту,"розміновано залізничних шляхів, км",225.0
2017,Державна спеціальна служба транспорту,"розміновано залізничних шляхів, км",118.0
2018,Державна спеціальна служба транспорту,"розміновано залізничних шляхів, км",84.0
2019,Державна спеціальна служба транспорту,"розміновано залізничних шляхів, км",114.0
2020,Державна спеціальна служба транспорту,"розміновано залізничних шляхів, км",61.0
2021,Державна спеціальна служба транспорту,"розміновано залізничних шляхів, км",31.0
2022,Державна спеціальна служба транспорту,"розміновано залізничних шляхів, км",0.0
2023,Державна спеціальна служба транспорту,"розміновано залізничних шляхів, км",3.5
2015,Державна служба України з надзвичайних ситуацій,"Площа розмінування, га",7820.0
2016,Державна служба України з надзвичайних ситуацій,"Площа розмінування, га",5440.0
2017,Державна служба України з надзвичайних ситуацій,"Площа розмінування, га",6670.0
2018,Державна служба України з надзвичайних ситуацій,"Площа розмінування, га",5070.0
2019,Державна служба України з надзвичайних ситуацій,"Площа розмінування, га",4845.0
2020,Державна служба України з надзвичайних ситуацій,"Площа розмінування, га",2274.0
2021,Державна служба України з надзвичайних ситуацій,"Площа розмінування, га",1827.0
2022,Державна служба України з надзвичайних ситуацій,"Площа розмінування, га",1135.59
2023,Державна служба України з надзвичайних ситуацій,"Площа розмінування, га",1748.11
2022,Державна служба України з надзвичайних ситуацій,"розміновано доріг, км",108.73
2023,Державна служба України з надзвичайних ситуацій,"розміновано доріг, км",210.8
2022,Державна служба України з надзвичайних ситуацій,"розміновано залізничних шляхів, км",52.44
2023,Державна служба України з надзвичайних ситуацій,"розміновано залізничних шляхів, км",60.25
2015,Оператори протимінної діяльності,"Площа розмінування, га",
2016,Оператори протимінної діяльності,"Площа розмінування, га",
2017,Оператори протимінної діяльності,"Площа розмінування, га",131.0
2018,Оператори протимінної діяльності,"Площа розмінування, га",247.0
2019,Оператори протимінної діяльності,"Площа розмінування, га",165.0
2020,Оператори протимінної діяльності,"Площа розмінування, га",216.0
2021,Оператори протимінної діяльності,"Площа розмінування, га",290.0
2022,Оператори протимінної діяльності,"Площа розмінування, га",
2023,Оператори протимінної діяльності,"Площа розмінування, га",
2015,,"Площа розмінування, га",9224.0
2016,,"Площа розмінування, га",6553.0
2017,,"Площа розмінування, га",8036.0
2018,,"Площа розмінування, га",5785.0
2019,,"Площа розмінування, га",6148.0
2020,,"Площа розмінування, га",2827.0
2021,,"Площа розмінування, га",2543.0
2022,,"Площа розмінування, га",1136.59
2023,,"Площа розмінування, га",1763.02
2015,,"розміновано доріг, км",94.0
2016,,"розміновано доріг, км",163.0
2017,,"розміновано доріг, км",896.0
2018,,"розміновано доріг, км",203.0
2019,,"розміновано доріг, км",297.0
2020,,"розміновано доріг, км",342.0
2021,,"розміновано доріг, км",464.0
2022,,"розміновано доріг, км",108.73
2023,,"розміновано доріг, км",210.8
2015,,"розміновано залізничних шляхів, км",99.0
2016,,"розміновано залізничних шляхів, км",225.0
2017,,"розміновано залізничних шляхів, км",118.0
2018,,"розміновано залізничних шляхів, км",84.0
2019,,"розміновано залізничних шляхів, км",114.0
2020,,"розміновано залізничних шляхів, км",61.0
2021,,"розміновано залізничних шляхів, км",31.0
2022,,"розміновано залізничних шляхів, км",52.44
2023,,"розміновано залізничних шляхів, км",60.25
