Year,Вид транспорту,Value
2015,"Автомобільний траснпорт, що використовують перевізники",4.09
2016,"Автомобільний траснпорт, що використовують перевізники",4.64
2017,"Автомобільний траснпорт, що використовують перевізники",4.29
2018,"Автомобільний траснпорт, що використовують перевізники",4.03
2019,"Автомобільний траснпорт, що використовують перевізники",3.78
2020,"Автомобільний траснпорт, що використовують перевізники",2.33
2021,"Автомобільний траснпорт, що використовують перевізники",2.22
2022,"Автомобільний траснпорт, що використовують перевізники",
2023,"Автомобільний траснпорт, що використовують перевізники",
2015,Міський електричний транспорт,0.5
2016,Міський електричний транспорт,0.44
2017,Міський електричний транспорт,0.44
2018,Міський електричний транспорт,0.51
2019,Міський електричний транспорт,0.46
2020,Міський електричний транспорт,0.39
2021,Міський електричний транспорт,0.31
2022,Міський електричний транспорт,
2023,Міський електричний транспорт,
