Year,Витрати на підготовку фахівця,Value
2015,"середні витрати на одного приведеного студента, грн",27890.0
2016,"середні витрати на одного приведеного студента, грн",29606.9
2017,"середні витрати на одного приведеного студента, грн",33577.4
2018,"середні витрати на одного приведеного студента, грн",40724.7
2019,"середні витрати на одного приведеного студента, грн",52172.0
2020,"середні витрати на одного приведеного студента, грн",61217.0
2021,"середні витрати на одного приведеного студента, грн",73918.0
2022,"середні витрати на одного приведеного студента, грн",71395.3
2023,"середні витрати на одного приведеного студента, грн",61818.8
2015,"середні витрати на одного аспіранта, який навчається без відриву від виробництва, грн",15167.0
2016,"середні витрати на одного аспіранта, який навчається без відриву від виробництва, грн",16251.8
2017,"середні витрати на одного аспіранта, який навчається без відриву від виробництва, грн",18055.8
2018,"середні витрати на одного аспіранта, який навчається без відриву від виробництва, грн",30802.2
2019,"середні витрати на одного аспіранта, який навчається без відриву від виробництва, грн",31669.0
2020,"середні витрати на одного аспіранта, який навчається без відриву від виробництва, грн",36073.0
2021,"середні витрати на одного аспіранта, який навчається без відриву від виробництва, грн",44102.0
2022,"середні витрати на одного аспіранта, який навчається без відриву від виробництва, грн",41864.1
2023,"середні витрати на одного аспіранта, який навчається без відриву від виробництва, грн",55230.7
2015,"середні витрати на одного аспіранта, який навчається з відривом від виробництва, грн",39284.2
2016,"середні витрати на одного аспіранта, який навчається з відривом від виробництва, грн",42207.6
2017,"середні витрати на одного аспіранта, який навчається з відривом від виробництва, грн",51785.7
2018,"середні витрати на одного аспіранта, який навчається з відривом від виробництва, грн",72244.4
2019,"середні витрати на одного аспіранта, який навчається з відривом від виробництва, грн",92806.0
2020,"середні витрати на одного аспіранта, який навчається з відривом від виробництва, грн",55360.0
2021,"середні витрати на одного аспіранта, який навчається з відривом від виробництва, грн",70969.0
2022,"середні витрати на одного аспіранта, який навчається з відривом від виробництва, грн",65780.1
2023,"середні витрати на одного аспіранта, який навчається з відривом від виробництва, грн",58378.0
2015,"середні витрати на одного докторанта, грн",52445.5
2016,"середні витрати на одного докторанта, грн",60872.5
2017,"середні витрати на одного докторанта, грн",71168.2
2018,"середні витрати на одного докторанта, грн",121555.7
2019,"середні витрати на одного докторанта, грн",129893.0
2020,"середні витрати на одного докторанта, грн",70826.0
2021,"середні витрати на одного докторанта, грн",86532.0
2022,"середні витрати на одного докторанта, грн",81993.1
2023,"середні витрати на одного докторанта, грн",76375.7
