Year,Місцевість проживання,Стать,Вік,Value
2015,,,,48.9
2016,,,,53.0
2017,,,,58.9
2018,,,,62.6
2019,,,,70.1
2020,,,,75.3
2021,,,,79.4
2022,,,,
2023,,,,
2015,міська,,,58.4
2016,міська,,,62.7
2017,міська,,,67.7
2018,міська,,,70.1
2019,міська,,,77.4
2020,міська,,,81.0
2021,міська,,,83.4
2022,міська,,,
2023,міська,,,
2015,сільська,,,30.3
2016,сільська,,,34.1
2017,сільська,,,41.7
2018,сільська,,,47.8
2019,сільська,,,55.9
2020,сільська,,,64.1
2021,сільська,,,71.2
2022,сільська,,,
2023,сільська,,,
2015,,жінки,,46.5
2016,,жінки,,51.3
2017,,жінки,,57.0
2018,,жінки,,60.0
2019,,жінки,,68.2
2020,,жінки,,72.9
2021,,жінки,,76.9
2022,,жінки,,
2023,,жінки,,
2015,,чоловіки,,51.6
2016,,чоловіки,,55.0
2017,,чоловіки,,61.1
2018,,чоловіки,,65.5
2019,,чоловіки,,72.4
2020,,чоловіки,,78.2
2021,,чоловіки,,82.2
2022,,чоловіки,,
2023,,чоловіки,,
2015,,,до 15 років,36.6
2016,,,до 15 років,43.8
2017,,,до 15 років,50.2
2018,,,до 15 років,53.2
2019,,,до 15 років,64.8
2020,,,до 15 років,70.8
2021,,,до 15 років,74.3
2022,,,до 15 років,
2023,,,до 15 років,
2015,,,15 - 17 років,86.7
2016,,,15 - 17 років,86.0
2017,,,15 - 17 років,91.1
2018,,,15 - 17 років,89.2
2019,,,15 - 17 років,97.7
2020,,,15 - 17 років,99.5
2021,,,15 - 17 років,100.0
2022,,,15 - 17 років,
2023,,,15 - 17 років,
2015,,,18 - 24 роки,81.9
2016,,,18 - 24 роки,84.7
2017,,,18 - 24 роки,89.6
2018,,,18 - 24 роки,93.5
2019,,,18 - 24 роки,95.8
2020,,,18 - 24 роки,99.0
2021,,,18 - 24 роки,99.2
2022,,,18 - 24 роки,
2023,,,18 - 24 роки,
2015,,,25 - 35 років,75.9
2016,,,25 - 35 років,80.4
2017,,,25 - 35 років,87.6
2018,,,25 - 35 років,89.3
2019,,,25 - 35 років,94.4
2020,,,25 - 35 років,97.7
2021,,,25 - 35 років,98.8
2022,,,25 - 35 років,
2023,,,25 - 35 років,
2015,,,36 - 59 років,52.2
2016,,,36 - 59 років,57.1
2017,,,36 - 59 років,65.1
2018,,,36 - 59 років,70.7
2019,,,36 - 59 років,79.7
2020,,,36 - 59 років,86.6
2021,,,36 - 59 років,90.8
2022,,,36 - 59 років,
2023,,,36 - 59 років,
2015,,,60 - 74 роки,18.7
2016,,,60 - 74 роки,22.3
2017,,,60 - 74 роки,26.5
2018,,,60 - 74 роки,33.0
2019,,,60 - 74 роки,39.5
2020,,,60 - 74 роки,46.8
2021,,,60 - 74 роки,55.1
2022,,,60 - 74 роки,
2023,,,60 - 74 роки,
2015,,,75 років і старші,4.2
2016,,,75 років і старші,5.1
2017,,,75 років і старші,6.1
2018,,,75 років і старші,7.7
2019,,,75 років і старші,12.9
2020,,,75 років і старші,10.3
2021,,,75 років і старші,19.2
2022,,,75 років і старші,
2023,,,75 років і старші,
