Year,Стать,Місцевість проживання,Одиниця виміру,Value
2015,,,відсотків,
2016,,,відсотків,
2017,,,відсотків,
2018,,,відсотків,
2019,,,відсотків,
2020,,,відсотків,212.0
2021,,,відсотків,
2022,,,відсотків,
2023,,,відсотків,
2015,жінки,,хвилин на добу,
2016,жінки,,хвилин на добу,
2017,жінки,,хвилин на добу,
2018,жінки,,хвилин на добу,
2019,жінки,,хвилин на добу,
2020,жінки,,хвилин на добу,274.0
2021,жінки,,хвилин на добу,
2022,жінки,,хвилин на добу,
2023,жінки,,хвилин на добу,
2015,чоловіки,,хвилин на добу,
2016,чоловіки,,хвилин на добу,
2017,чоловіки,,хвилин на добу,
2018,чоловіки,,хвилин на добу,
2019,чоловіки,,хвилин на добу,
2020,чоловіки,,хвилин на добу,129.0
2021,чоловіки,,хвилин на добу,
2022,чоловіки,,хвилин на добу,
2023,чоловіки,,хвилин на добу,
2015,,міська,відсотків,
2016,,міська,відсотків,
2017,,міська,відсотків,
2018,,міська,відсотків,
2019,,міська,відсотків,
2020,,міська,відсотків,207.0
2021,,міська,відсотків,
2022,,міська,відсотків,
2023,,міська,відсотків,
2015,жінки,міська,хвилин на добу,
2016,жінки,міська,хвилин на добу,
2017,жінки,міська,хвилин на добу,
2018,жінки,міська,хвилин на добу,
2019,жінки,міська,хвилин на добу,
2020,жінки,міська,хвилин на добу,257.0
2021,жінки,міська,хвилин на добу,
2022,жінки,міська,хвилин на добу,
2023,жінки,міська,хвилин на добу,
2015,чоловіки,міська,хвилин на добу,
2016,чоловіки,міська,хвилин на добу,
2017,чоловіки,міська,хвилин на добу,
2018,чоловіки,міська,хвилин на добу,
2019,чоловіки,міська,хвилин на добу,
2020,чоловіки,міська,хвилин на добу,124.0
2021,чоловіки,міська,хвилин на добу,
2022,чоловіки,міська,хвилин на добу,
2023,чоловіки,міська,хвилин на добу,
2015,,сільська,відсотків,
2016,,сільська,відсотків,
2017,,сільська,відсотків,
2018,,сільська,відсотків,
2019,,сільська,відсотків,
2020,,сільська,відсотків,256.0
2021,,сільська,відсотків,
2022,,сільська,відсотків,
2023,,сільська,відсотків,
2015,жінки,сільська,хвилин на добу,
2016,жінки,сільська,хвилин на добу,
2017,жінки,сільська,хвилин на добу,
2018,жінки,сільська,хвилин на добу,
2019,жінки,сільська,хвилин на добу,
2020,жінки,сільська,хвилин на добу,382.0
2021,жінки,сільська,хвилин на добу,
2022,жінки,сільська,хвилин на добу,
2023,жінки,сільська,хвилин на добу,
2015,чоловіки,сільська,хвилин на добу,
2016,чоловіки,сільська,хвилин на добу,
2017,чоловіки,сільська,хвилин на добу,
2018,чоловіки,сільська,хвилин на добу,
2019,чоловіки,сільська,хвилин на добу,
2020,чоловіки,сільська,хвилин на добу,149.0
2021,чоловіки,сільська,хвилин на добу,
2022,чоловіки,сільська,хвилин на добу,
2023,чоловіки,сільська,хвилин на добу,
