Year,Види економічної діяльності,Value
2015,,74.9
2016,,74.6
2017,,78.8
2018,,77.7
2019,,77.2
2020,,79.6
2021,,81.4
2022,,
2023,,
2015,"Сільське господарство, лісове господарство та рибне господарство",82.4
2016,"Сільське господарство, лісове господарство та рибне господарство",82.2
2017,"Сільське господарство, лісове господарство та рибне господарство",82.2
2018,"Сільське господарство, лісове господарство та рибне господарство",80.0
2019,"Сільське господарство, лісове господарство та рибне господарство",79.9
2020,"Сільське господарство, лісове господарство та рибне господарство",81.2
2021,"Сільське господарство, лісове господарство та рибне господарство",80.5
2022,,
2023,,
2015,Промисловість,74.1
2016,Промисловість,74.7
2017,Промисловість,76.3
2018,Промисловість,74.8
2019,Промисловість,74.3
2020,Промисловість,74.4
2021,Промисловість,74.9
2022,,
2023,,
2015,Будівництво,89.0
2016,Будівництво,91.5
2017,Будівництво,93.2
2018,Будівництво,89.4
2019,Будівництво,94.1
2020,Будівництво,94.4
2021,Будівництво,87.5
2022,,
2023,,
2015,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,79.0
2016,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,78.0
2017,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,77.4
2018,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,78.6
2019,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,81.3
2020,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,81.5
2021,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,81.0
2022,,
2023,,
2015,"Транспорт, складське господарство, поштова та кур`єрська діяльність",76.5
2016,"Транспорт, складське господарство, поштова та кур`єрська діяльність",77.4
2017,"Транспорт, складське господарство, поштова та кур`єрська діяльність",76.3
2018,"Транспорт, складське господарство, поштова та кур`єрська діяльність",75.5
2019,"Транспорт, складське господарство, поштова та кур`єрська діяльність",77.2
2020,"Транспорт, складське господарство, поштова та кур`єрська діяльність",75.8
2021,"Транспорт, складське господарство, поштова та кур`єрська діяльність",76.9
2022,,
2023,,
2015,Тимчасове розміщування й організація харчування,88.1
2016,Тимчасове розміщування й організація харчування,86.2
2017,Тимчасове розміщування й організація харчування,86.6
2018,Тимчасове розміщування й організація харчування,86.0
2019,Тимчасове розміщування й організація харчування,90.9
2020,Тимчасове розміщування й організація харчування,87.7
2021,Тимчасове розміщування й організація харчування,89.1
2022,,
2023,,
2015,Інформація та телекомунікації,80.6
2016,Інформація та телекомунікації,77.3
2017,Інформація та телекомунікації,80.1
2018,Інформація та телекомунікації,79.9
2019,Інформація та телекомунікації,80.3
2020,Інформація та телекомунікації,78.5
2021,Інформація та телекомунікації,75.7
2022,,
2023,,
2015,Фінансова та страхова діяльність,66.4
2016,Фінансова та страхова діяльність,67.0
2017,Фінансова та страхова діяльність,64.4
2018,Фінансова та страхова діяльність,63.9
2019,Фінансова та страхова діяльність,63.9
2020,Фінансова та страхова діяльність,68.0
2021,Фінансова та страхова діяльність,68.1
2022,,
2023,,
2015,Операції з нерухомим майном,94.2
2016,Операції з нерухомим майном,93.6
2017,Операції з нерухомим майном,92.3
2018,Операції з нерухомим майном,87.8
2019,Операції з нерухомим майном,91.4
2020,Операції з нерухомим майном,95.3
2021,Операції з нерухомим майном,91.7
2022,,
2023,,
2015,"Професійна, наукова та технічна діяльність",84.3
2016,"Професійна, наукова та технічна діяльність",83.4
2017,"Професійна, наукова та технічна діяльність",85.1
2018,"Професійна, наукова та технічна діяльність",80.6
2019,"Професійна, наукова та технічна діяльність",78.1
2020,"Професійна, наукова та технічна діяльність",77.3
2021,"Професійна, наукова та технічна діяльність",78.3
2022,,
2023,,
2015,Діяльність у сфері адміністративного та допоміжного обслуговування,101.1
2016,Діяльність у сфері адміністративного та допоміжного обслуговування,103.0
2017,Діяльність у сфері адміністративного та допоміжного обслуговування,99.8
2018,Діяльність у сфері адміністративного та допоміжного обслуговування,98.9
2019,Діяльність у сфері адміністративного та допоміжного обслуговування,105.1
2020,Діяльність у сфері адміністративного та допоміжного обслуговування,103.5
2021,Діяльність у сфері адміністративного та допоміжного обслуговування,101.5
2022,,
2023,,
2015,Державне управління й оборона; обов`язкове соціальне страхування,90.7
2016,Державне управління й оборона; обов`язкове соціальне страхування,93.3
2017,Державне управління й оборона; обов`язкове соціальне страхування,93.0
2018,Державне управління й оборона; обов`язкове соціальне страхування,95.1
2019,Державне управління й оборона; обов`язкове соціальне страхування,95.5
2020,Державне управління й оборона; обов`язкове соціальне страхування,92.1
2021,Державне управління й оборона; обов`язкове соціальне страхування,89.0
2022,,
2023,,
2015,Освіта,93.4
2016,Освіта,93.7
2017,Освіта,95.4
2018,Освіта,96.4
2019,Освіта,96.2
2020,Освіта,96.5
2021,Освіта,95.7
2022,,
2023,,
2015,Охорона здоров`я та надання соціальної допомоги,89.7
2016,Охорона здоров`я та надання соціальної допомоги,89.3
2017,Охорона здоров`я та надання соціальної допомоги,90.1
2018,Охорона здоров`я та надання соціальної допомоги,88.9
2019,Охорона здоров`я та надання соціальної допомоги,89.3
2020,Охорона здоров`я та надання соціальної допомоги,86.9
2021,Охорона здоров`я та надання соціальної допомоги,86.4
2022,,
2023,,
2015,"Мистецтво, спорт, розваги та відпочинок",47.2
2016,"Мистецтво, спорт, розваги та відпочинок",50.0
2017,"Мистецтво, спорт, розваги та відпочинок",59.6
2018,"Мистецтво, спорт, розваги та відпочинок",61.6
2019,"Мистецтво, спорт, розваги та відпочинок",64.1
2020,"Мистецтво, спорт, розваги та відпочинок",63.5
2021,"Мистецтво, спорт, розваги та відпочинок",65.2
2022,,
2023,,
2015,Надання інших видів послуг,89.1
2016,Надання інших видів послуг,82.6
2017,Надання інших видів послуг,82.5
2018,Надання інших видів послуг,85.8
2019,Надання інших видів послуг,88.1
2020,Надання інших видів послуг,98.4
2021,Надання інших видів послуг,94.6
2022,,
2023,,
