Year,Місцевість проживання,Тип водопостачання,Value
2015,міська,,3.1
2016,міська,,4.3
2017,міська,,4.6
2018,міська,,5.1
2019,міська,,5.7
2020,міська,,4.7
2021,міська,,5.1
2022,міська,,2.1
2023,міська,,2.7
2015,сільська,,7.6
2016,сільська,,10.4
2017,сільська,,11.2
2018,сільська,,11.8
2019,сільська,,11.4
2020,сільська,,13.8
2021,сільська,,11.9
2022,сільська,,11.4
2023,сільська,,11.0
2015,,централізоване,4.6
2016,,централізоване,6.4
2017,,централізоване,6.7
2018,,централізоване,7.7
2019,,централізоване,8.2
2020,,централізоване,7.6
2021,,централізоване,7.5
2022,,централізоване,3.5
2023,,централізоване,4.3
2015,,децентралізоване,18.0
2016,,децентралізоване,23.1
2017,,децентралізоване,20.4
2018,,децентралізоване,23.4
2019,,децентралізоване,24.6
2020,,децентралізоване,22.6
2021,,децентралізоване,22.9
2022,,децентралізоване,28.3
2023,,децентралізоване,25.1
