Year,Види економічної діяльності,Value
2015,,16.38
2016,,12.93
2017,,21.15
2018,,18.27
2019,,13.72
2020,,10.05
2021,,11.56
2022,,12.55
2023,,11.74
2015,Промисловість,14.38
2016,Промисловість,9.5
2017,Промисловість,11.17
2018,Промисловість,9.18
2019,Промисловість,2.63
2020,Промисловість,3.15
2021,Промисловість,4.11
2022,Промисловість,5.21
2023,Промисловість,3.53
2015,Сiльське господарство,6.83
2016,Сiльське господарство,6.64
2017,Сiльське господарство,8.13
2018,Сiльське господарство,4.4
2019,Сiльське господарство,12.46
2020,Сiльське господарство,9.7
2021,Сiльське господарство,12.93
2022,Сiльське господарство,9.21
2023,Сiльське господарство,10.17
2015,Лiсове господарство,
2016,Лiсове господарство,
2017,Лiсове господарство,
2018,Лiсове господарство,
2019,Лiсове господарство,
2020,Лiсове господарство,
2021,Лiсове господарство,
2022,Лiсове господарство,
2023,Лiсове господарство,
2015,Транспорт,38.24
2016,Транспорт,24.95
2017,Транспорт,22.3
2018,Транспорт,27.23
2019,Транспорт,4.6
2020,Транспорт,9.4
2021,Транспорт,29.69
2022,Транспорт,11.29
2023,Транспорт,21.02
2015,Зв'язок,
2016,Зв'язок,
2017,Зв'язок,
2018,Зв'язок,
2019,Зв'язок,
2020,Зв'язок,
2021,Зв'язок,
2022,Зв'язок,
2023,Зв'язок,66.67
2015,Будівництво,74.31
2016,Будівництво,0.92
2017,Будівництво,
2018,Будівництво,
2019,Будівництво,1.2
2020,Будівництво,82.06
2021,Будівництво,80.08
2022,Будівництво,49.22
2023,Будівництво,1.22
2015,Торгiвля i громадське харчування,96.42
2016,Торгiвля i громадське харчування,95.93
2017,Торгiвля i громадське харчування,95.31
2018,Торгiвля i громадське харчування,95.15
2019,Торгiвля i громадське харчування,93.46
2020,Торгiвля i громадське харчування,7.49
2021,Торгiвля i громадське харчування,5.74
2022,Торгiвля i громадське харчування,5.95
2023,Торгiвля i громадське харчування,4.87
2015,Матеріально-технічне забезпечення,11.49
2016,Матеріально-технічне забезпечення,9.89
2017,Матеріально-технічне забезпечення,16.02
2018,Матеріально-технічне забезпечення,13.74
2019,Матеріально-технічне забезпечення,7.95
2020,Матеріально-технічне забезпечення,9.42
2021,Матеріально-технічне забезпечення,5.38
2022,Матеріально-технічне забезпечення,6.61
2023,Матеріально-технічне забезпечення,6.97
2015,Житлове та побутове господарство,19.75
2016,Житлове та побутове господарство,18.97
2017,Житлове та побутове господарство,40.23
2018,Житлове та побутове господарство,38.68
2019,Житлове та побутове господарство,38.27
2020,Житлове та побутове господарство,25.84
2021,Житлове та побутове господарство,25.8
2022,Житлове та побутове господарство,23.68
2023,Житлове та побутове господарство,24.45
2015,"Охорона здоров’я, фізичне виховання",27.56
2016,"Охорона здоров’я, фізичне виховання",25.43
2017,"Охорона здоров’я, фізичне виховання",27.23
2018,"Охорона здоров’я, фізичне виховання",20.29
2019,"Охорона здоров’я, фізичне виховання",17.9
2020,"Охорона здоров’я, фізичне виховання",37.8
2021,"Охорона здоров’я, фізичне виховання",27.24
2022,"Охорона здоров’я, фізичне виховання",17.52
2023,"Охорона здоров’я, фізичне виховання",20.29
2015,Народна освiта,95.11
2016,Народна освiта,95.12
2017,Народна освiта,94.49
2018,Народна освiта,92.37
2019,Народна освiта,98.4
2020,Народна освiта,97.69
2021,Народна освiта,96.95
2022,Народна освiта,98.55
2023,Народна освiта,98.72
2015,Інші галузі,17.4
2016,Інші галузі,16.67
2017,Інші галузі,12.25
2018,Інші галузі,62.19
2019,Інші галузі,26.34
2020,Інші галузі,10.82
2021,Інші галузі,6.21
2022,Інші галузі,15.15
2023,Інші галузі,21.69
