Year,Вид енергоресурсів,Value
2015,вугілля (2701),54.3
2016,вугілля (2701),66.7
2017,вугілля (2701),67.0
2018,вугілля (2701),70.2
2019,вугілля (2701),68.6
2020,вугілля (2701),70.2
2021,вугілля (2701),67.5
2022,вугілля (2701),42.4
2023,вугілля (2701),30.8
2015,нафта (2709),99.9
2016,нафта (2709),97.4
2017,нафта (2709),85.2
2018,нафта (2709),94.2
2019,нафта (2709),76.7
2020,нафта (2709),70.2
2021,нафта (2709),74.5
2022,нафта (2709),99.9
2023,нафта (2709),100.0
2015,газ природний (271121),37.3
2016,газ природний (271121),29.5
2017,газ природний (271121),40.5
2018,газ природний (271121),37.3
2019,газ природний (271121),44.5
2020,газ природний (271121),35.5
2021,газ природний (271121),52.7
2022,газ природний (271121),43.5
2023,газ природний (271121),31.3
