Year,Група,Value
2015,,99.2
2016,,103.5
2017,,103.1
2018,,102.2
2019,,101.8
2020,,100.3
2021,,105.5
2022,,
2023,,
2015,"Сільське, лісове та рибне господарство",103.0
2016,"Сільське, лісове та рибне господарство",106.5
2017,"Сільське, лісове та рибне господарство",97.7
2018,"Сільське, лісове та рибне господарство",105.3
2019,"Сільське, лісове та рибне господарство",98.6
2020,"Сільське, лісове та рибне господарство",98.8
2021,"Сільське, лісове та рибне господарство",116.3
2022,"Сільське, лісове та рибне господарство",
2023,"Сільське, лісове та рибне господарство",
2015,Промисловість,96.1
2016,Промисловість,105.0
2017,Промисловість,101.7
2018,Промисловість,102.7
2019,Промисловість,98.2
2020,Промисловість,99.6
2021,Промисловість,103.5
2022,Промисловість,
2023,Промисловість,
2015,Будівництво,94.9
2016,Будівництво,114.6
2017,Будівництво,125.7
2018,Будівництво,105.0
2019,Будівництво,117.9
2020,Будівництво,110.4
2021,Будівництво,102.7
2022,Будівництво,
2023,Будівництво,
2015,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,95.4
2016,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,104.1
2017,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,102.1
2018,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,101.0
2019,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,99.5
2020,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,109.5
2021,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,101.1
2022,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,
2023,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,
2015,"Транспорт, складське господарство, поштова та кур`єрська діяльність",108.8
2016,"Транспорт, складське господарство, поштова та кур`єрська діяльність",103.2
2017,"Транспорт, складське господарство, поштова та кур`єрська діяльність",104.6
2018,"Транспорт, складське господарство, поштова та кур`єрська діяльність",100.9
2019,"Транспорт, складське господарство, поштова та кур`єрська діяльність",103.5
2020,"Транспорт, складське господарство, поштова та кур`єрська діяльність",86.0
2021,"Транспорт, складське господарство, поштова та кур`єрська діяльність",103.2
2022,"Транспорт, складське господарство, поштова та кур`єрська діяльність",
2023,"Транспорт, складське господарство, поштова та кур`єрська діяльність",
2015,Тимчасове розміщування й організація харчування,113.9
2016,Тимчасове розміщування й організація харчування,105.8
2017,Тимчасове розміщування й організація харчування,104.4
2018,Тимчасове розміщування й організація харчування,104.6
2019,Тимчасове розміщування й організація харчування,102.1
2020,Тимчасове розміщування й організація харчування,85.6
2021,Тимчасове розміщування й організація харчування,146.2
2022,Тимчасове розміщування й організація харчування,
2023,Тимчасове розміщування й організація харчування,
2015,Інформація та телекомунікації,104.0
2016,Інформація та телекомунікації,105.6
2017,Інформація та телекомунікації,108.8
2018,Інформація та телекомунікації,104.0
2019,Інформація та телекомунікації,103.5
2020,Інформація та телекомунікації,104.8
2021,Інформація та телекомунікації,113.0
2022,Інформація та телекомунікації,
2023,Інформація та телекомунікації,
2015,Фінансова та страхова діяльність,92.9
2016,Фінансова та страхова діяльність,97.8
2017,Фінансова та страхова діяльність,126.9
2018,Фінансова та страхова діяльність,109.6
2019,Фінансова та страхова діяльність,106.7
2020,Фінансова та страхова діяльність,101.7
2021,Фінансова та страхова діяльність,112.9
2022,Фінансова та страхова діяльність,
2023,Фінансова та страхова діяльність,
2015,Операції з нерухомим майном,110.3
2016,Операції з нерухомим майном,107.3
2017,Операції з нерухомим майном,103.2
2018,Операції з нерухомим майном,105.8
2019,Операції з нерухомим майном,106.8
2020,Операції з нерухомим майном,104.9
2021,Операції з нерухомим майном,101.4
2022,Операції з нерухомим майном,
2023,Операції з нерухомим майном,
2015,"Професійна, наукова та технічна діяльність",94.0
2016,"Професійна, наукова та технічна діяльність",103.7
2017,"Професійна, наукова та технічна діяльність",108.9
2018,"Професійна, наукова та технічна діяльність",100.6
2019,"Професійна, наукова та технічна діяльність",107.5
2020,"Професійна, наукова та технічна діяльність",88.2
2021,"Професійна, наукова та технічна діяльність",104.0
2022,"Професійна, наукова та технічна діяльність",
2023,"Професійна, наукова та технічна діяльність",
2015,Діяльність у сфері адміністративного та допоміжного обслуговування,109.1
2016,Діяльність у сфері адміністративного та допоміжного обслуговування,106.6
2017,Діяльність у сфері адміністративного та допоміжного обслуговування,102.8
2018,Діяльність у сфері адміністративного та допоміжного обслуговування,102.1
2019,Діяльність у сфері адміністративного та допоміжного обслуговування,102.1
2020,Діяльність у сфері адміністративного та допоміжного обслуговування,91.6
2021,Діяльність у сфері адміністративного та допоміжного обслуговування,98.9
2022,Діяльність у сфері адміністративного та допоміжного обслуговування,
2023,Діяльність у сфері адміністративного та допоміжного обслуговування,
2015,Державне управління й оборона; обов`язкове соціальне страхування,101.0
2016,Державне управління й оборона; обов`язкове соціальне страхування,101.1
2017,Державне управління й оборона; обов`язкове соціальне страхування,93.8
2018,Державне управління й оборона; обов`язкове соціальне страхування,103.6
2019,Державне управління й оборона; обов`язкове соціальне страхування,117.4
2020,Державне управління й оборона; обов`язкове соціальне страхування,97.9
2021,Державне управління й оборона; обов`язкове соціальне страхування,100.6
2022,Державне управління й оборона; обов`язкове соціальне страхування,
2023,Державне управління й оборона; обов`язкове соціальне страхування,
2015,Освіта,102.8
2016,Освіта,99.2
2017,Освіта,102.4
2018,Освіта,100.4
2019,Освіта,103.4
2020,Освіта,94.9
2021,Освіта,112.8
2022,Освіта,
2023,Освіта,
2015,Охорона здоров`я та надання соціальної допомоги,109.8
2016,Охорона здоров`я та надання соціальної допомоги,97.9
2017,Охорона здоров`я та надання соціальної допомоги,101.5
2018,Охорона здоров`я та надання соціальної допомоги,97.7
2019,Охорона здоров`я та надання соціальної допомоги,106.9
2020,Охорона здоров`я та надання соціальної допомоги,106.7
2021,Охорона здоров`я та надання соціальної допомоги,106.5
2022,Охорона здоров`я та надання соціальної допомоги,
2023,Охорона здоров`я та надання соціальної допомоги,
2015,"Мистецтво, спорт, розваги та відпочинок",92.6
2016,"Мистецтво, спорт, розваги та відпочинок",101.4
2017,"Мистецтво, спорт, розваги та відпочинок",101.6
2018,"Мистецтво, спорт, розваги та відпочинок",103.5
2019,"Мистецтво, спорт, розваги та відпочинок",104.2
2020,"Мистецтво, спорт, розваги та відпочинок",91.2
2021,"Мистецтво, спорт, розваги та відпочинок",118.4
2022,"Мистецтво, спорт, розваги та відпочинок",
2023,"Мистецтво, спорт, розваги та відпочинок",
2015,Інші види економічної діяльності,110.3
2016,Інші види економічної діяльності,102.9
2017,Інші види економічної діяльності,106.1
2018,Інші види економічної діяльності,103.1
2019,Інші види економічної діяльності,108.6
2020,Інші види економічної діяльності,82.2
2021,Інші види економічної діяльності,107.3
2022,Інші види економічної діяльності,
2023,Інші види економічної діяльності,
