Year,Стать,Місцевість проживання,Value
2015,,,64.4
2016,,,64.2
2017,,,64.2
2018,,,65.6
2019,,,66.9
2020,,,65.2
2021,,,64.8
2022,,,
2023,,,
2015,жінки,,59.1
2016,жінки,,59.3
2017,жінки,,59.4
2018,жінки,,61.0
2019,жінки,,61.6
2020,жінки,,60.0
2021,жінки,,59.3
2022,жінки,,
2023,жінки,,
2015,чоловіки,,70.2
2016,чоловіки,,69.5
2017,чоловіки,,69.4
2018,чоловіки,,70.5
2019,чоловіки,,72.7
2020,чоловіки,,70.8
2021,чоловіки,,70.8
2022,чоловіки,,
2023,чоловіки,,
2015,,міська,65.2
2016,,міська,65.0
2017,,міська,65.1
2018,,міська,66.7
2019,,міська,68.1
2020,,міська,66.5
2021,,міська,66.1
2022,,міська,
2023,,міська,
2015,,сільська,62.7
2016,,сільська,62.4
2017,,сільська,62.2
2018,,сільська,63.2
2019,,сільська,64.5
2020,,сільська,62.6
2021,,сільська,62.1
2022,,сільська,
2023,,сільська,
