Year,Область,Value
2015,,100.0
2016,,104.0
2017,,101.0
2018,,97.0
2019,,91.0
2020,,85.0
2021,,80.0
2022,,69.0
2023,,73.0
2015,Вінницька,100.0
2016,Вінницька,109.0
2017,Вінницька,98.0
2018,Вінницька,122.0
2019,Вінницька,115.0
2020,Вінницька,90.0
2021,Вінницька,106.0
2022,Вінницька,82.0
2023,Вінницька,68.0
2015,Волинська,100.0
2016,Волинська,92.0
2017,Волинська,87.0
2018,Волинська,90.0
2019,Волинська,98.0
2020,Волинська,65.0
2021,Волинська,78.0
2022,Волинська,55.0
2023,Волинська,64.0
2015,Дніпропетровська,100.0
2016,Дніпропетровська,119.0
2017,Дніпропетровська,116.0
2018,Дніпропетровська,99.0
2019,Дніпропетровська,100.0
2020,Дніпропетровська,71.0
2021,Дніпропетровська,72.0
2022,Дніпропетровська,68.0
2023,Дніпропетровська,71.0
2015,Донецька,100.0
2016,Донецька,99.0
2017,Донецька,90.0
2018,Донецька,84.0
2019,Донецька,70.0
2020,Донецька,61.0
2021,Донецька,67.0
2022,Донецька,40.0
2023,Донецька,43.0
2015,Житомирська,100.0
2016,Житомирська,126.0
2017,Житомирська,107.0
2018,Житомирська,111.0
2019,Житомирська,96.0
2020,Житомирська,76.0
2021,Житомирська,112.0
2022,Житомирська,100.0
2023,Житомирська,90.0
2015,Закарпатська,100.0
2016,Закарпатська,95.0
2017,Закарпатська,124.0
2018,Закарпатська,138.0
2019,Закарпатська,92.0
2020,Закарпатська,95.0
2021,Закарпатська,122.0
2022,Закарпатська,84.0
2023,Закарпатська,84.0
2015,Запорізька,100.0
2016,Запорізька,104.0
2017,Запорізька,110.0
2018,Запорізька,104.0
2019,Запорізька,73.0
2020,Запорізька,69.0
2021,Запорізька,66.0
2022,Запорізька,55.0
2023,Запорізька,42.0
2015,Івано-Франківська,100.0
2016,Івано-Франківська,77.0
2017,Івано-Франківська,107.0
2018,Івано-Франківська,117.0
2019,Івано-Франківська,102.0
2020,Івано-Франківська,93.0
2021,Івано-Франківська,140.0
2022,Івано-Франківська,87.0
2023,Івано-Франківська,72.0
2015,Київська,100.0
2016,Київська,54.0
2017,Київська,60.0
2018,Київська,50.0
2019,Київська,61.0
2020,Київська,101.0
2021,Київська,64.0
2022,Київська,82.0
2023,Київська,78.0
2015,Кіровоградська,100.0
2016,Кіровоградська,145.0
2017,Кіровоградська,220.0
2018,Кіровоградська,169.0
2019,Кіровоградська,192.0
2020,Кіровоградська,192.0
2021,Кіровоградська,153.0
2022,Кіровоградська,147.0
2023,Кіровоградська,116.0
2015,Луганська,100.0
2016,Луганська,122.0
2017,Луганська,80.0
2018,Луганська,116.0
2019,Луганська,91.0
2020,Луганська,103.0
2021,Луганська,69.0
2022,Луганська,14.0
2023,Луганська,
2015,Львівська,100.0
2016,Львівська,95.0
2017,Львівська,99.0
2018,Львівська,81.0
2019,Львівська,79.0
2020,Львівська,64.0
2021,Львівська,63.0
2022,Львівська,72.0
2023,Львівська,70.0
2015,Миколаївська,100.0
2016,Миколаївська,130.0
2017,Миколаївська,109.0
2018,Миколаївська,132.0
2019,Миколаївська,135.0
2020,Миколаївська,86.0
2021,Миколаївська,114.0
2022,Миколаївська,168.0
2023,Миколаївська,124.0
2015,Одеська,100.0
2016,Одеська,100.0
2017,Одеська,106.0
2018,Одеська,104.0
2019,Одеська,109.0
2020,Одеська,100.0
2021,Одеська,85.0
2022,Одеська,80.0
2023,Одеська,86.0
2015,Полтавська,100.0
2016,Полтавська,97.0
2017,Полтавська,90.0
2018,Полтавська,83.0
2019,Полтавська,86.0
2020,Полтавська,89.0
2021,Полтавська,90.0
2022,Полтавська,87.0
2023,Полтавська,66.0
2015,Рівненська,100.0
2016,Рівненська,127.0
2017,Рівненська,113.0
2018,Рівненська,113.0
2019,Рівненська,79.0
2020,Рівненська,84.0
2021,Рівненська,72.0
2022,Рівненська,80.0
2023,Рівненська,73.0
2015,Сумська,100.0
2016,Сумська,90.0
2017,Сумська,85.0
2018,Сумська,68.0
2019,Сумська,95.0
2020,Сумська,73.0
2021,Сумська,67.0
2022,Сумська,82.0
2023,Сумська,85.0
2015,Тернопільська,100.0
2016,Тернопільська,88.0
2017,Тернопільська,119.0
2018,Тернопільська,142.0
2019,Тернопільська,129.0
2020,Тернопільська,115.0
2021,Тернопільська,85.0
2022,Тернопільська,71.0
2023,Тернопільська,83.0
2015,Харківська,100.0
2016,Харківська,129.0
2017,Харківська,99.0
2018,Харківська,107.0
2019,Харківська,99.0
2020,Харківська,199.0
2021,Харківська,67.0
2022,Харківська,46.0
2023,Харківська,132.0
2015,Херсонська,100.0
2016,Херсонська,96.0
2017,Херсонська,107.0
2018,Херсонська,110.0
2019,Херсонська,95.0
2020,Херсонська,110.0
2021,Херсонська,86.0
2022,Херсонська,34.0
2023,Херсонська,126.0
2015,Хмельницька,100.0
2016,Хмельницька,124.0
2017,Хмельницька,122.0
2018,Хмельницька,121.0
2019,Хмельницька,131.0
2020,Хмельницька,117.0
2021,Хмельницька,128.0
2022,Хмельницька,90.0
2023,Хмельницька,91.0
2015,Черкаська,100.0
2016,Черкаська,77.0
2017,Черкаська,82.0
2018,Черкаська,82.0
2019,Черкаська,74.0
2020,Черкаська,68.0
2021,Черкаська,78.0
2022,Черкаська,73.0
2023,Черкаська,66.0
2015,Чернівецька,100.0
2016,Чернівецька,120.0
2017,Чернівецька,113.0
2018,Чернівецька,120.0
2019,Чернівецька,127.0
2020,Чернівецька,120.0
2021,Чернівецька,117.0
2022,Чернівецька,117.0
2023,Чернівецька,97.0
2015,Чернігівська,100.0
2016,Чернігівська,105.0
2017,Чернігівська,99.0
2018,Чернігівська,98.0
2019,Чернігівська,94.0
2020,Чернігівська,69.0
2021,Чернігівська,85.0
