Year,Види економічної діяльності,включаючи,Value
2015,,,28.9
2016,,,
2017,,,28.4
2018,,,
2019,,,29.6
2020,,,
2021,,,
2022,,,
2023,,,
2015,Сільське господарство та надання пов’язаних із ним послуг,,11.2
2016,Сільське господарство та надання пов’язаних із ним послуг,,
2017,Сільське господарство та надання пов’язаних із ним послуг,,12.6
2018,Сільське господарство та надання пов’язаних із ним послуг,,
2019,Сільське господарство та надання пов’язаних із ним послуг,,14.5
2020,Сільське господарство та надання пов’язаних із ним послуг,,
2021,Сільське господарство та надання пов’язаних із ним послуг,,
2022,Сільське господарство та надання пов’язаних із ним послуг,,
2023,Сільське господарство та надання пов’язаних із ним послуг,,
2015,Промисловість,,35.3
2016,Промисловість,,
2017,Промисловість,,34.1
2018,Промисловість,,
2019,Промисловість,,34.0
2020,Промисловість,,
2021,Промисловість,,
2022,Промисловість,,
2023,Промисловість,,
2015,Добувна промисловість і розроблення кар’єрів,,68.7
2016,Добувна промисловість і розроблення кар’єрів,,
2017,Добувна промисловість і розроблення кар’єрів,,67.9
2018,Добувна промисловість і розроблення кар’єрів,,
2019,Добувна промисловість і розроблення кар’єрів,,66.5
2020,Добувна промисловість і розроблення кар’єрів,,
2021,Добувна промисловість і розроблення кар’єрів,,
2022,Добувна промисловість і розроблення кар’єрів,,
2023,Добувна промисловість і розроблення кар’єрів,,
2015,Добувна промисловість і розроблення кар’єрів,добування кам’яного та бурого вугілля,82.0
2016,Добувна промисловість і розроблення кар’єрів,добування кам’яного та бурого вугілля,
2017,Добувна промисловість і розроблення кар’єрів,добування кам’яного та бурого вугілля,81.2
2018,Добувна промисловість і розроблення кар’єрів,добування кам’яного та бурого вугілля,
2019,Добувна промисловість і розроблення кар’єрів,добування кам’яного та бурого вугілля,78.6
2020,Добувна промисловість і розроблення кар’єрів,добування кам’яного та бурого вугілля,
2021,Добувна промисловість і розроблення кар’єрів,добування кам’яного та бурого вугілля,
2022,Добувна промисловість і розроблення кар’єрів,добування кам’яного та бурого вугілля,
2023,Добувна промисловість і розроблення кар’єрів,добування кам’яного та бурого вугілля,
2015,Переробна промисловість,,29.2
2016,Переробна промисловість,,
2017,Переробна промисловість,,27.8
2018,Переробна промисловість,,
2019,Переробна промисловість,,28.5
2020,Переробна промисловість,,
2021,Переробна промисловість,,
2022,Переробна промисловість,,
2023,Переробна промисловість,,
2015,Переробна промисловість,"виробництво харчових продуктів, напоїв та тютюнових виробів",17.3
2016,Переробна промисловість,"виробництво харчових продуктів, напоїв та тютюнових виробів",
2017,Переробна промисловість,"виробництво харчових продуктів, напоїв та тютюнових виробів",19.5
2018,Переробна промисловість,"виробництво харчових продуктів, напоїв та тютюнових виробів",
2019,Переробна промисловість,"виробництво харчових продуктів, напоїв та тютюнових виробів",20.5
