Year,Види транспорту,Value
2015,,51.7
2016,,50.6
2017,,47.6
2018,,62.9
2019,,54.1
2020,,48.1
2021,,48.2
2022,,
2023,,
2015,Наземний і трубопровідний транспорт,49.9
2016,Наземний і трубопровідний транспорт,46.4
2017,Наземний і трубопровідний транспорт,39.0
2018,Наземний і трубопровідний транспорт,62.9
2019,Наземний і трубопровідний транспорт,59.2
2020,Наземний і трубопровідний транспорт,50.9
2021,Наземний і трубопровідний транспорт,55.1
2022,Наземний і трубопровідний транспорт,
2023,Наземний і трубопровідний транспорт,
2015,Водний транспорт,44.6
2016,Водний транспорт,44.2
2017,Водний транспорт,37.6
2018,Водний транспорт,33.4
2019,Водний транспорт,27.5
2020,Водний транспорт,26.8
2021,Водний транспорт,32.5
2022,Водний транспорт,
2023,Водний транспорт,
2015,Авіаційний транспорт,60.5
2016,Авіаційний транспорт,64.1
2017,Авіаційний транспорт,58.1
2018,Авіаційний транспорт,60.3
2019,Авіаційний транспорт,33.0
2020,Авіаційний транспорт,52.1
2021,Авіаційний транспорт,45.2
2022,Авіаційний транспорт,
2023,Авіаційний транспорт,
2015,Складське господарство та допоміжна діяльність у сфері транспорту,56.5
2016,Складське господарство та допоміжна діяльність у сфері транспорту,65.4
2017,Складське господарство та допоміжна діяльність у сфері транспорту,70.7
2018,Складське господарство та допоміжна діяльність у сфері транспорту,64.7
2019,Складське господарство та допоміжна діяльність у сфері транспорту,36.7
2020,Складське господарство та допоміжна діяльність у сфері транспорту,37.5
2021,Складське господарство та допоміжна діяльність у сфері транспорту,30.5
2022,Складське господарство та допоміжна діяльність у сфері транспорту,
2023,Складське господарство та допоміжна діяльність у сфері транспорту,
2015,Поштова та кур`єрська діяльність,64.4
2016,Поштова та кур`єрська діяльність,9.2
2017,Поштова та кур`єрська діяльність,31.9
2018,Поштова та кур`єрська діяльність,33.4
2019,Поштова та кур`єрська діяльність,35.2
2020,Поштова та кур`єрська діяльність,42.6
2021,Поштова та кур`єрська діяльність,42.8
2022,Поштова та кур`єрська діяльність,
2023,Поштова та кур`єрська діяльність,
