Year,Місцевість проживання,Стать голови домогосподарства,Value
2015,,,1.5
2016,,,1.4
2017,,,1.6
2018,,,1.5
2019,,,1.2
2020,,,1.4
2021,,,1.2
2022,,,
2023,,,
2015,міська,,1.4
2016,міська,,1.4
2017,міська,,1.6
2018,міська,,1.5
2019,міська,,1.2
2020,міська,,1.3
2021,міська,,1.2
2022,міська,,
2023,міська,,
2015,сільська,,1.5
2016,сільська,,1.5
2017,сільська,,1.6
2018,сільська,,1.6
2019,сільська,,1.3
2020,сільська,,1.5
2021,сільська,,1.2
2022,сільська,,
2023,сільська,,
2015,,чоловік,
2016,,чоловік,
2017,,чоловік,
2018,,чоловік,
2019,,чоловік,
2020,,чоловік,
2021,,чоловік,
2022,,чоловік,
2023,,чоловік,
2015,,жінка,
2016,,жінка,
2017,,жінка,
2018,,жінка,
2019,,жінка,
2020,,жінка,
2021,,жінка,
2022,,жінка,
2023,,жінка,
