Year,Місцевість проживання,Децильні (10%-ві) групи за рівнем середньодушових еквівалентних загальних доходів у місяць,Value
2015,,,54.6
2016,,,51.4
2017,,,49.6
2018,,,49.4
2019,,,48.5
2020,,,49.2
2021,,,47.1
2022,,,
2023,,,
2015,міська,,53.5
2016,міська,,50.3
2017,міська,,48.7
2018,міська,,48.4
2019,міська,,47.1
2020,міська,,47.4
2021,міська,,45.6
2022,міська,,
2023,міська,,
2015,сільська,,57.2
2016,сільська,,53.9
2017,сільська,,51.7
2018,сільська,,51.7
2019,сільська,,51.4
2020,сільська,,52.7
2021,сільська,,50.0
2022,сільська,,
2023,сільська,,
2015,,перша (нижча),63.0
2016,,перша (нижча),59.2
2017,,перша (нижча),59.6
2018,,перша (нижча),58.9
2019,,перша (нижча),60.0
2020,,перша (нижча),59.2
2021,,перша (нижча),57.8
2022,,перша (нижча),
2023,,перша (нижча),
2015,,друга,61.6
2016,,друга,57.7
2017,,друга,55.8
2018,,друга,56.7
2019,,друга,56.0
2020,,друга,57.3
2021,,друга,55.1
2022,,друга,
2023,,друга,
2015,,третя,59.4
2016,,третя,56.3
2017,,третя,53.7
2018,,третя,53.8
2019,,третя,54.7
2020,,третя,55.9
2021,,третя,52.7
2022,,третя,
2023,,третя,
2015,,четверта,57.2
2016,,четверта,55.9
2017,,четверта,52.7
2018,,четверта,54.3
2019,,четверта,53.4
2020,,четверта,53.0
2021,,четверта,49.9
2022,,четверта,
2023,,четверта,
2015,,п'ята,58.8
2016,,п'ята,54.0
2017,,п'ята,51.6
2018,,п'ята,52.1
2019,,п'ята,52.8
2020,,п'ята,52.3
2021,,п'ята,51.2
2022,,п'ята,
2023,,п'ята,
2015,,шоста,56.2
2016,,шоста,53.2
2017,,шоста,51.0
2018,,шоста,49.9
2019,,шоста,49.4
2020,,шоста,50.6
2021,,шоста,49.9
2022,,шоста,
2023,,шоста,
2015,,сьома,55.9
2016,,сьома,48.8
2017,,сьома,52.0
2018,,сьома,49.9
2019,,сьома,48.3
2020,,сьома,49.8
2021,,сьома,45.8
2022,,сьома,
2023,,сьома,
2015,,восьма,53.4
2016,,восьма,49.6
2017,,восьма,48.9
2018,,восьма,46.6
2019,,восьма,47.4
2020,,восьма,46.7
2021,,восьма,46.0
2022,,восьма,
2023,,восьма,
2015,,дев'ята,51.7
2016,,дев'ята,48.5
2017,,дев'ята,45.9
2018,,дев'ята,47.5
2019,,дев'ята,43.6
2020,,дев'ята,46.6
2021,,дев'ята,42.1
2022,,дев'ята,
2023,,дев'ята,
2015,,десята (вища),43.5
2016,,десята (вища),43.0
2017,,десята (вища),39.5
2018,,десята (вища),40.1
2019,,десята (вища),38.0
2020,,десята (вища),37.6
2021,,десята (вища),36.7
2022,,десята (вища),
2023,,десята (вища),
