Year,Складові регіональної стратегії,Одиниця виміру,Value
2015,Регіональна стратегія,відсоток,88.0
2016,Регіональна стратегія,відсоток,100.0
2017,Регіональна стратегія,відсоток,100.0
2018,Регіональна стратегія,відсоток,100.0
2019,Регіональна стратегія,відсоток,100.0
2020,Регіональна стратегія,відсоток,100.0
2021,Регіональна стратегія,відсоток,100.0
2022,Регіональна стратегія,відсоток,100.0
2023,Регіональна стратегія,відсоток,100.0
2015,Регіональна стратегія,кількість регіонів,22.0
2016,Регіональна стратегія,кількість регіонів,25.0
2017,Регіональна стратегія,кількість регіонів,25.0
2018,Регіональна стратегія,кількість регіонів,25.0
2019,Регіональна стратегія,кількість регіонів,25.0
2020,Регіональна стратегія,кількість регіонів,25.0
2021,Регіональна стратегія,кількість регіонів,25.0
2022,Регіональна стратегія,кількість регіонів,25.0
2023,Регіональна стратегія,кількість регіонів,25.0
2015,Регіональна стратегія та план заходів з її реалізації (перший етап),відсоток,64.0
2016,Регіональна стратегія та план заходів з її реалізації (перший етап),відсоток,96.0
2017,Регіональна стратегія та план заходів з її реалізації (перший етап),відсоток,100.0
2018,Регіональна стратегія та план заходів з її реалізації (перший етап),відсоток,
2019,Регіональна стратегія та план заходів з її реалізації (перший етап),відсоток,
2020,Регіональна стратегія та план заходів з її реалізації (перший етап),відсоток,
2021,Регіональна стратегія та план заходів з її реалізації (перший етап),відсоток,100.0
2022,Регіональна стратегія та план заходів з її реалізації (перший етап),відсоток,100.0
2023,Регіональна стратегія та план заходів з її реалізації (перший етап),відсоток,100.0
2015,Регіональна стратегія та план заходів з її реалізації (перший етап),кількість регіонів,16.0
2016,Регіональна стратегія та план заходів з її реалізації (перший етап),кількість регіонів,24.0
2017,Регіональна стратегія та план заходів з її реалізації (перший етап),кількість регіонів,25.0
2018,Регіональна стратегія та план заходів з її реалізації (перший етап),кількість регіонів,
2019,Регіональна стратегія та план заходів з її реалізації (перший етап),кількість регіонів,
2020,Регіональна стратегія та план заходів з її реалізації (перший етап),кількість регіонів,
2021,Регіональна стратегія та план заходів з її реалізації (перший етап),кількість регіонів,25.0
2022,Регіональна стратегія та план заходів з її реалізації (перший етап),кількість регіонів,25.0
2023,Регіональна стратегія та план заходів з її реалізації (перший етап),кількість регіонів,25.0
2015,Регіональна стратегія та план заходів з її реалізації (другий етап),відсоток,
2016,Регіональна стратегія та план заходів з її реалізації (другий етап),відсоток,
2017,Регіональна стратегія та план заходів з її реалізації (другий етап),відсоток,52.0
2018,Регіональна стратегія та план заходів з її реалізації (другий етап),відсоток,84.0
2019,Регіональна стратегія та план заходів з її реалізації (другий етап),відсоток,92.0
2020,Регіональна стратегія та план заходів з її реалізації (другий етап),відсоток,100.0
2021,Регіональна стратегія та план заходів з її реалізації (другий етап),відсоток,
2022,Регіональна стратегія та план заходів з її реалізації (другий етап),відсоток,
2023,Регіональна стратегія та план заходів з її реалізації (другий етап),відсоток,
2015,Регіональна стратегія та план заходів з її реалізації (другий етап),кількість регіонів,
2016,Регіональна стратегія та план заходів з її реалізації (другий етап),кількість регіонів,
2017,Регіональна стратегія та план заходів з її реалізації (другий етап),кількість регіонів,13.0
2018,Регіональна стратегія та план заходів з її реалізації (другий етап),кількість регіонів,21.0
2019,Регіональна стратегія та план заходів з її реалізації (другий етап),кількість регіонів,23.0
2020,Регіональна стратегія та план заходів з її реалізації (другий етап),кількість регіонів,25.0
2021,Регіональна стратегія та план заходів з її реалізації (другий етап),кількість регіонів,
2022,Регіональна стратегія та план заходів з її реалізації (другий етап),кількість регіонів,
2023,Регіональна стратегія та план заходів з її реалізації (другий етап),кількість регіонів,
