Year,Забруднюючі речовини,Value
2015,,34.0
2016,,34.0
2017,,34.0
2018,,35.0
2019,,36.0
2020,,35.0
2021,,34.0
2022,,34.0
2023,,30.0
2015,Завислі речовини (пил),11.0
2016,Завислі речовини (пил),10.0
2017,Завислі речовини (пил),9.0
2018,Завислі речовини (пил),11.0
2019,Завислі речовини (пил),11.0
2020,Завислі речовини (пил),7.0
2021,Завислі речовини (пил),7.0
2022,Завислі речовини (пил),8.0
2023,Завислі речовини (пил),8.0
2015,Діоксид сірки,
2016,Діоксид сірки,
2017,Діоксид сірки,
2018,Діоксид сірки,
2019,Діоксид сірки,1.0
2020,Діоксид сірки,1.0
2021,Діоксид сірки,
2022,Діоксид сірки,1.0
2023,Діоксид сірки,1.0
2015,Оксид вуглецю,2.0
2016,Оксид вуглецю,5.0
2017,Оксид вуглецю,4.0
2018,Оксид вуглецю,3.0
2019,Оксид вуглецю,4.0
2020,Оксид вуглецю,2.0
2021,Оксид вуглецю,1.0
2022,Оксид вуглецю,2.0
2023,Оксид вуглецю,1.0
2015,Діоксид азоту,23.0
2016,Діоксид азоту,23.0
2017,Діоксид азоту,21.0
2018,Діоксид азоту,22.0
2019,Діоксид азоту,26.0
2020,Діоксид азоту,25.0
2021,Діоксид азоту,26.0
2022,Діоксид азоту,24.0
2023,Діоксид азоту,22.0
2015,Оксид азоту,1.0
2016,Оксид азоту,2.0
2017,Оксид азоту,1.0
2018,Оксид азоту,2.0
2019,Оксид азоту,2.0
2020,Оксид азоту,2.0
2021,Оксид азоту,2.0
2022,Оксид азоту,2.0
2023,Оксид азоту,1.0
2015,Фенол,6.0
2016,Фенол,5.0
2017,Фенол,8.0
2018,Фенол,7.0
2019,Фенол,9.0
2020,Фенол,6.0
2021,Фенол,6.0
2022,Фенол,7.0
2023,Фенол,7.0
2015,Сажа,1.0
2016,Сажа,1.0
2017,Сажа,1.0
2018,Сажа,1.0
2019,Сажа,1.0
2020,Сажа,
2021,Сажа,
2022,Сажа,1.0
2023,Сажа,
2015,Фтористий водень,2.0
2016,Фтористий водень,2.0
2017,Фтористий водень,2.0
2018,Фтористий водень,2.0
2019,Фтористий водень,3.0
2020,Фтористий водень,
2021,Фтористий водень,2.0
2022,Фтористий водень,1.0
2023,Фтористий водень,4.0
2015,Амiак,2.0
2016,Амiак,2.0
2017,Амiак,1.0
2018,Амiак,1.0
2019,Амiак,2.0
2020,Амiак,2.0
2021,Амiак,1.0
2022,Амiак,1.0
2023,Амiак,1.0
2015,Формальдегiд,22.0
2016,Формальдегiд,23.0
2017,Формальдегiд,24.0
2018,Формальдегiд,25.0
2019,Формальдегiд,25.0
2020,Формальдегiд,23.0
2021,Формальдегiд,24.0
2022,Формальдегiд,25.0
2023,Формальдегiд,20.0
