Year,Ресурсоємність ВВП,Value
2015,Енергоємність ВВП,100.0
2016,Енергоємність ВВП,102.3
2017,Енергоємність ВВП,94.7
2018,Енергоємність ВВП,95.2
2019,Енергоємність ВВП,88.5
2020,Енергоємність ВВП,88.9
2021,Енергоємність ВВП,
2022,Енергоємність ВВП,
2023,Енергоємність ВВП,
2015,Матеріалоємність ВВП,100.0
2016,Матеріалоємність ВВП,100.0
2017,Матеріалоємність ВВП,98.2
2018,Матеріалоємність ВВП,97.2
2019,Матеріалоємність ВВП,100.4
2020,Матеріалоємність ВВП,99.9
2021,Матеріалоємність ВВП,108.2
2022,Матеріалоємність ВВП,
2023,Матеріалоємність ВВП,
2015,Вуглецевоємність ВВП,100.0
2016,Вуглецевоємність ВВП,105.8
2017,Вуглецевоємність ВВП,85.1
2018,Вуглецевоємність ВВП,83.8
2019,Вуглецевоємність ВВП,77.9
2020,Вуглецевоємність ВВП,72.8
2021,Вуглецевоємність ВВП,72.2
2022,Вуглецевоємність ВВП,
2023,Вуглецевоємність ВВП,
2015,Водоємність ВВП,100.0
2016,Водоємність ВВП,98.2
2017,Водоємність ВВП,91.7
2018,Водоємність ВВП,95.1
2019,Водоємність ВВП,91.6
2020,Водоємність ВВП,94.2
2021,Водоємність ВВП,77.3
2022,Водоємність ВВП,60.1
2023,Водоємність ВВП,
2015,Відходоємність ВВП,100.0
2016,Відходоємність ВВП,92.5
2017,Відходоємність ВВП,111.6
2018,Відходоємність ВВП,103.9
2019,Відходоємність ВВП,126.1
2020,Відходоємність ВВП,137.3
2021,Відходоємність ВВП,141.6
2022,Відходоємність ВВП,
2023,Відходоємність ВВП,
