Year,Стаття Кримінального Кодексу України,Одиниця виміру,Value
2015,"Умисне вбивство, ст.115",Усього кримінальних правопорушень (кількість),8224.0
2016,"Умисне вбивство, ст.115",Усього кримінальних правопорушень (кількість),5992.0
2017,"Умисне вбивство, ст.115",Усього кримінальних правопорушень (кількість),5145.0
2018,"Умисне вбивство, ст.115",Усього кримінальних правопорушень (кількість),5557.0
2019,"Умисне вбивство, ст.115",Усього кримінальних правопорушень (кількість),5465.0
2020,"Умисне вбивство, ст.115",Усього кримінальних правопорушень (кількість),3809.0
2021,"Умисне вбивство, ст.115",Усього кримінальних правопорушень (кількість),3230.0
2022,"Умисне вбивство, ст.115",Усього кримінальних правопорушень (кількість),5264.0
2023,"Умисне вбивство, ст.115",Усього кримінальних правопорушень (кількість),16129.0
2015,"Умисне вбивство, ст.115",Рівень на 100 тис. населення,19.23
2016,"Умисне вбивство, ст.115",Рівень на 100 тис. населення,14.07
2017,"Умисне вбивство, ст.115",Рівень на 100 тис. населення,12.14
2018,"Умисне вбивство, ст.115",Рівень на 100 тис. населення,13.18
2019,"Умисне вбивство, ст.115",Рівень на 100 тис. населення,13.04
2020,"Умисне вбивство, ст.115",Рівень на 100 тис. населення,9.16
2021,"Умисне вбивство, ст.115",Рівень на 100 тис. населення,7.85
2022,"Умисне вбивство, ст.115",Рівень на 100 тис. населення,12.79
2023,"Умисне вбивство, ст.115",Рівень на 100 тис. населення,39.18
2015,"Умисне вбивство, вчинене в стані сильного душевного хвилювання, ст.116",Усього кримінальних правопорушень (кількість),7.0
2016,"Умисне вбивство, вчинене в стані сильного душевного хвилювання, ст.116",Усього кримінальних правопорушень (кількість),7.0
2017,"Умисне вбивство, вчинене в стані сильного душевного хвилювання, ст.116",Усього кримінальних правопорушень (кількість),5.0
2018,"Умисне вбивство, вчинене в стані сильного душевного хвилювання, ст.116",Усього кримінальних правопорушень (кількість),6.0
2019,"Умисне вбивство, вчинене в стані сильного душевного хвилювання, ст.116",Усього кримінальних правопорушень (кількість),4.0
2020,"Умисне вбивство, вчинене в стані сильного душевного хвилювання, ст.116",Усього кримінальних правопорушень (кількість),7.0
2021,"Умисне вбивство, вчинене в стані сильного душевного хвилювання, ст.116",Усього кримінальних правопорушень (кількість),3.0
2022,"Умисне вбивство, вчинене в стані сильного душевного хвилювання, ст.116",Усього кримінальних правопорушень (кількість),1.0
2023,"Умисне вбивство, вчинене в стані сильного душевного хвилювання, ст.116",Усього кримінальних правопорушень (кількість),2.0
2015,"Умисне вбивство, вчинене в стані сильного душевного хвилювання, ст.116",Рівень на 100 тис. населення,0.02
2016,"Умисне вбивство, вчинене в стані сильного душевного хвилювання, ст.116",Рівень на 100 тис. населення,0.02
2017,"Умисне вбивство, вчинене в стані сильного душевного хвилювання, ст.116",Рівень на 100 тис. населення,0.01
2018,"Умисне вбивство, вчинене в стані сильного душевного хвилювання, ст.116",Рівень на 100 тис. населення,0.01
2019,"Умисне вбивство, вчинене в стані сильного душевного хвилювання, ст.116",Рівень на 100 тис. населення,0.01
2020,"Умисне вбивство, вчинене в стані сильного душевного хвилювання, ст.116",Рівень на 100 тис. населення,0.02
2021,"Умисне вбивство, вчинене в стані сильного душевного хвилювання, ст.116",Рівень на 100 тис. населення,0.01
2022,"Умисне вбивство, вчинене в стані сильного душевного хвилювання, ст.116",Рівень на 100 тис. населення,0.0
2023,"Умисне вбивство, вчинене в стані сильного душевного хвилювання, ст.116",Рівень на 100 тис. населення,0.0
2015,"Умисне вбивство матір’ю своєї новонародженої дитини, ст.117",Усього кримінальних правопорушень (кількість),11.0
2016,"Умисне вбивство матір’ю своєї новонародженої дитини, ст.117",Усього кримінальних правопорушень (кількість),14.0
2017,"Умисне вбивство матір’ю своєї новонародженої дитини, ст.117",Усього кримінальних правопорушень (кількість),11.0
2018,"Умисне вбивство матір’ю своєї новонародженої дитини, ст.117",Усього кримінальних правопорушень (кількість),12.0
2019,"Умисне вбивство матір’ю своєї новонародженої дитини, ст.117",Усього кримінальних правопорушень (кількість),19.0
2020,"Умисне вбивство матір’ю своєї новонародженої дитини, ст.117",Усього кримінальних правопорушень (кількість),10.0
2021,"Умисне вбивство матір’ю своєї новонародженої дитини, ст.117",Усього кримінальних правопорушень (кількість),6.0
2022,"Умисне вбивство матір’ю своєї новонародженої дитини, ст.117",Усього кримінальних правопорушень (кількість),8.0
2023,"Умисне вбивство матір’ю своєї новонародженої дитини, ст.117",Усього кримінальних правопорушень (кількість),8.0
2015,"Умисне вбивство матір’ю своєї новонародженої дитини, ст.117",Рівень на 100 тис. населення,0.03
2016,"Умисне вбивство матір’ю своєї новонародженої дитини, ст.117",Рівень на 100 тис. населення,0.03
2017,"Умисне вбивство матір’ю своєї новонародженої дитини, ст.117",Рівень на 100 тис. населення,0.03
2018,"Умисне вбивство матір’ю своєї новонародженої дитини, ст.117",Рівень на 100 тис. населення,0.03
2019,"Умисне вбивство матір’ю своєї новонародженої дитини, ст.117",Рівень на 100 тис. населення,0.05
2020,"Умисне вбивство матір’ю своєї новонародженої дитини, ст.117",Рівень на 100 тис. населення,0.02
2021,"Умисне вбивство матір’ю своєї новонародженої дитини, ст.117",Рівень на 100 тис. населення,0.01
2022,"Умисне вбивство матір’ю своєї новонародженої дитини, ст.117",Рівень на 100 тис. населення,0.02
2023,"Умисне вбивство матір’ю своєї новонародженої дитини, ст.117",Рівень на 100 тис. населення,0.02
2015,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання особи, яка вчинила кримінальне правопорушення, ст.118",Усього кримінальних правопорушень (кількість),38.0
2016,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання особи, яка вчинила кримінальне правопорушення, ст.118",Усього кримінальних правопорушень (кількість),38.0
2017,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання особи, яка вчинила кримінальне правопорушення, ст.118",Усього кримінальних правопорушень (кількість),19.0
2018,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання особи, яка вчинила кримінальне правопорушення, ст.118",Усього кримінальних правопорушень (кількість),25.0
2019,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання особи, яка вчинила кримінальне правопорушення, ст.118",Усього кримінальних правопорушень (кількість),20.0
2020,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання особи, яка вчинила кримінальне правопорушення, ст.118",Усього кримінальних правопорушень (кількість),18.0
2021,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання особи, яка вчинила кримінальне правопорушення, ст.118",Усього кримінальних правопорушень (кількість),12.0
2022,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання особи, яка вчинила кримінальне правопорушення, ст.118",Усього кримінальних правопорушень (кількість),25.0
2023,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання особи, яка вчинила кримінальне правопорушення, ст.118",Усього кримінальних правопорушень (кількість),16.0
2015,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання особи, яка вчинила кримінальне правопорушення, ст.118",Рівень на 100 тис. населення,0.09
2016,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання особи, яка вчинила кримінальне правопорушення, ст.118",Рівень на 100 тис. населення,0.09
2017,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання особи, яка вчинила кримінальне правопорушення, ст.118",Рівень на 100 тис. населення,0.04
2018,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання особи, яка вчинила кримінальне правопорушення, ст.118",Рівень на 100 тис. населення,0.06
2019,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання особи, яка вчинила кримінальне правопорушення, ст.118",Рівень на 100 тис. населення,0.05
2020,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання особи, яка вчинила кримінальне правопорушення, ст.118",Рівень на 100 тис. населення,0.04
2021,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання особи, яка вчинила кримінальне правопорушення, ст.118",Рівень на 100 тис. населення,0.01
2022,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання особи, яка вчинила кримінальне правопорушення, ст.118",Рівень на 100 тис. населення,0.06
2023,"Умисне вбивство при перевищенні меж необхідної оборони або у разі перевищення заходів, необхідних для затримання особи, яка вчинила кримінальне правопорушення, ст.118",Рівень на 100 тис. населення,0.04
2015,"Умисне тяжке тілесне ушкодження, ст.121",Усього кримінальних правопорушень (кількість),2511.0
2016,"Умисне тяжке тілесне ушкодження, ст.121",Усього кримінальних правопорушень (кількість),2256.0
2017,"Умисне тяжке тілесне ушкодження, ст.121",Усього кримінальних правопорушень (кількість),2096.0
2018,"Умисне тяжке тілесне ушкодження, ст.121",Усього кримінальних правопорушень (кількість),2130.0
2019,"Умисне тяжке тілесне ушкодження, ст.121",Усього кримінальних правопорушень (кількість),1940.0
2020,"Умисне тяжке тілесне ушкодження, ст.121",Усього кримінальних правопорушень (кількість),1703.0
2021,"Умисне тяжке тілесне ушкодження, ст.121",Усього кримінальних правопорушень (кількість),1601.0
2022,"Умисне тяжке тілесне ушкодження, ст.121",Усього кримінальних правопорушень (кількість),1502.0
2023,"Умисне тяжке тілесне ушкодження, ст.121",Усього кримінальних правопорушень (кількість),1390.0
2015,"Умисне тяжке тілесне ушкодження, ст.121",Рівень на 100 тис. населення,5.87
2016,"Умисне тяжке тілесне ушкодження, ст.121",Рівень на 100 тис. населення,5.3
2017,"Умисне тяжке тілесне ушкодження, ст.121",Рівень на 100 тис. населення,4.94
2018,"Умисне тяжке тілесне ушкодження, ст.121",Рівень на 100 тис. населення,5.05
2019,"Умисне тяжке тілесне ушкодження, ст.121",Рівень на 100 тис. населення,4.63
2020,"Умисне тяжке тілесне ушкодження, ст.121",Рівень на 100 тис. населення,4.09
2021,"Умисне тяжке тілесне ушкодження, ст.121",Рівень на 100 тис. населення,3.89
2022,"Умисне тяжке тілесне ушкодження, ст.121",Рівень на 100 тис. населення,3.65
2023,"Умисне тяжке тілесне ушкодження, ст.121",Рівень на 100 тис. населення,3.38
