Year,Стаття Кримінального Кодексу України,Група,Одиниця виміру,Value
2015,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),965.12
2016,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),1044.08
2017,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),882.92
2018,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),817.92
2019,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),720.23
2020,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),564.62
2021,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),479.2
2022,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),560.98
2023,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",всі,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),862.39
2015,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",всі,Потерпіло від  кримінальних правопорушень (усього),412689.0
2016,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",всі,Потерпіло від  кримінальних правопорушень (усього),444617.0
2017,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",всі,Потерпіло від  кримінальних правопорушень (усього),374238.0
2018,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",всі,Потерпіло від  кримінальних правопорушень (усього),344780.0
2019,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",всі,Потерпіло від  кримінальних правопорушень (усього),301792.0
2020,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",всі,Потерпіло від  кримінальних правопорушень (усього),234816.0
2021,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",всі,Потерпіло від  кримінальних правопорушень (усього),197274.0
2022,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",всі,Потерпіло від  кримінальних правопорушень (усього),230939.0
2023,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",всі,Потерпіло від  кримінальних правопорушень (усього),355023.0
2015,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",жінки,Потерпіло від  кримінальних правопорушень (усього),156190.0
2016,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",жінки,Потерпіло від  кримінальних правопорушень (усього),167099.0
2017,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",жінки,Потерпіло від  кримінальних правопорушень (усього),133633.0
2018,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",жінки,Потерпіло від  кримінальних правопорушень (усього),118444.0
2019,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",жінки,Потерпіло від  кримінальних правопорушень (усього),102448.0
2020,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",жінки,Потерпіло від  кримінальних правопорушень (усього),74885.0
2021,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",жінки,Потерпіло від  кримінальних правопорушень (усього),60476.0
2022,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",жінки,Потерпіло від  кримінальних правопорушень (усього),61666.0
2023,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",жінки,Потерпіло від  кримінальних правопорушень (усього),114163.0
2015,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),4809.0
2016,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),4838.0
2017,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),4095.0
2018,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),3701.0
2019,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),3249.0
2020,"усього осіб, які потерпіли від кримінальних правопорушень, ст. ККУ",неповнолітні,Потерпіло від  кримінальних правопорушень (усього),3202.0
