Year,Одиниця виміру,Група,Value
2015,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),всі,0.26
2016,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),всі,0.2
2017,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),всі,0.73
2018,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),всі,0.55
2019,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),всі,0.63
2020,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),всі,0.37
2021,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),всі,0.39
2022,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),всі,0.16
2023,Потерпіло від кримінальних правопорушень (рівень на 100 тис. населення),всі,0.22
2015,"Потерпіло від кримінальних правопорушень (ст.149), усього",всі,113.0
2016,"Потерпіло від кримінальних правопорушень (ст.149), усього",всі,86.0
2017,"Потерпіло від кримінальних правопорушень (ст.149), усього",всі,309.0
2018,"Потерпіло від кримінальних правопорушень (ст.149), усього",всі,231.0
2019,"Потерпіло від кримінальних правопорушень (ст.149), усього",всі,262.0
2020,"Потерпіло від кримінальних правопорушень (ст.149), усього",всі,152.0
2021,"Потерпіло від кримінальних правопорушень (ст.149), усього",всі,163.0
2022,"Потерпіло від кримінальних правопорушень (ст.149), усього",всі,66.0
2023,"Потерпіло від кримінальних правопорушень (ст.149), усього",всі,91.0
2015,"Потерпіло від кримінальних правопорушень (ст.149), усього",жінки,78.0
2016,"Потерпіло від кримінальних правопорушень (ст.149), усього",жінки,66.0
2017,"Потерпіло від кримінальних правопорушень (ст.149), усього",жінки,130.0
2018,"Потерпіло від кримінальних правопорушень (ст.149), усього",жінки,127.0
2019,"Потерпіло від кримінальних правопорушень (ст.149), усього",жінки,107.0
2020,"Потерпіло від кримінальних правопорушень (ст.149), усього",жінки,64.0
2021,"Потерпіло від кримінальних правопорушень (ст.149), усього",жінки,49.0
2022,"Потерпіло від кримінальних правопорушень (ст.149), усього",жінки,36.0
2023,"Потерпіло від кримінальних правопорушень (ст.149), усього",жінки,30.0
2015,"Потерпіло від кримінальних правопорушень (ст.149), усього",неповнолітні,6.0
2016,"Потерпіло від кримінальних правопорушень (ст.149), усього",неповнолітні,2.0
2017,"Потерпіло від кримінальних правопорушень (ст.149), усього",неповнолітні,8.0
2018,"Потерпіло від кримінальних правопорушень (ст.149), усього",неповнолітні,11.0
2019,"Потерпіло від кримінальних правопорушень (ст.149), усього",неповнолітні,8.0
2020,"Потерпіло від кримінальних правопорушень (ст.149), усього",неповнолітні,
2021,"Потерпіло від кримінальних правопорушень (ст.149), усього",неповнолітні,9.0
2022,"Потерпіло від кримінальних правопорушень (ст.149), усього",неповнолітні,5.0
2023,"Потерпіло від кримінальних правопорушень (ст.149), усього",неповнолітні,6.0
2015,"Потерпіло від кримінальних правопорушень (ст.149), усього",малолітні (до 14 років),1.0
2016,"Потерпіло від кримінальних правопорушень (ст.149), усього",малолітні (до 14 років),2.0
2017,"Потерпіло від кримінальних правопорушень (ст.149), усього",малолітні (до 14 років),11.0
2018,"Потерпіло від кримінальних правопорушень (ст.149), усього",малолітні (до 14 років),12.0
2019,"Потерпіло від кримінальних правопорушень (ст.149), усього",малолітні (до 14 років),2.0
2020,"Потерпіло від кримінальних правопорушень (ст.149), усього",малолітні (до 14 років),1.0
2021,"Потерпіло від кримінальних правопорушень (ст.149), усього",малолітні (до 14 років),17.0
2022,"Потерпіло від кримінальних правопорушень (ст.149), усього",малолітні (до 14 років),7.0
2023,"Потерпіло від кримінальних правопорушень (ст.149), усього",малолітні (до 14 років),10.0
