Year,Види боєприпасів,Область,Value
2015,,,204326.0
2016,,,177757.0
2017,,,280276.0
2018,,,273167.0
2019,,,206918.0
2020,,,180562.0
2021,,,135152.0
2022,,,200990.0
2023,,,724993.0
2015,патрони,,202142.0
2016,патрони,,174954.0
2017,патрони,,278238.0
2018,патрони,,271141.0
2019,патрони,,204899.0
2020,патрони,,179186.0
2021,патрони,,134166.0
2022,патрони,,199850.0
2023,патрони,,720336.0
2015,гранати,,2099.0
2016,гранати,,2698.0
2017,гранати,,1935.0
2018,гранати,,1918.0
2019,гранати,,1889.0
2020,гранати,,1228.0
2021,гранати,,926.0
2022,гранати,,1110.0
2023,гранати,,4418.0
2015,міни,,26.0
2016,міни,,61.0
2017,міни,,57.0
2018,міни,,48.0
2019,міни,,84.0
2020,міни,,24.0
2021,міни,,7.0
2022,міни,,9.0
2023,міни,,148.0
2015,саморобні вибухові пристрої,,59.0
2016,саморобні вибухові пристрої,,44.0
2017,саморобні вибухові пристрої,,46.0
2018,саморобні вибухові пристрої,,60.0
2019,саморобні вибухові пристрої,,46.0
2020,саморобні вибухові пристрої,,124.0
2021,саморобні вибухові пристрої,,53.0
2022,саморобні вибухові пристрої,,21.0
2023,саморобні вибухові пристрої,,91.0
2015,,Вінницька,3982.0
2016,,Вінницька,6624.0
2017,,Вінницька,5909.0
2018,,Вінницька,12284.0
2019,,Вінницька,12436.0
2020,,Вінницька,7006.0
2021,,Вінницька,1786.0
2022,,Вінницька,3279.0
2023,,Вінницька,14133.0
2015,патрони,Вінницька,3952.0
2016,патрони,Вінницька,6584.0
2017,патрони,Вінницька,5893.0
2018,патрони,Вінницька,12247.0
2019,патрони,Вінницька,12423.0
2020,патрони,Вінницька,6988.0
2021,патрони,Вінницька,1777.0
2022,патрони,Вінницька,3257.0
2023,патрони,Вінницька,14037.0
2015,гранати,Вінницька,29.0
2016,гранати,Вінницька,39.0
2017,гранати,Вінницька,16.0
2018,гранати,Вінницька,36.0
2019,гранати,Вінницька,13.0
2020,гранати,Вінницька,18.0
2021,гранати,Вінницька,9.0
2022,гранати,Вінницька,22.0
2023,гранати,Вінницька,95.0
2015,міни,Вінницька,1.0
2016,міни,Вінницька,
2017,міни,Вінницька,
2018,міни,Вінницька,1.0
2019,міни,Вінницька,
2020,міни,Вінницька,
2021,міни,Вінницька,
2022,міни,Вінницька,
2023,міни,Вінницька,
2015,саморобні вибухові пристрої,Вінницька,
2016,саморобні вибухові пристрої,Вінницька,1.0
2017,саморобні вибухові пристрої,Вінницька,
2018,саморобні вибухові пристрої,Вінницька,
2019,саморобні вибухові пристрої,Вінницька,
2020,саморобні вибухові пристрої,Вінницька,
2021,саморобні вибухові пристрої,Вінницька,
2022,саморобні вибухові пристрої,Вінницька,
2023,саморобні вибухові пристрої,Вінницька,1.0
2015,,Волинська,1536.0
2016,,Волинська,2392.0
2017,,Волинська,5351.0
2018,,Волинська,4581.0
2019,,Волинська,2461.0
2020,,Волинська,5316.0
2021,,Волинська,1631.0
2022,,Волинська,3989.0
2023,,Волинська,3590.0
2015,патрони,Волинська,1508.0
2016,патрони,Волинська,1664.0
2017,патрони,Волинська,5312.0
2018,патрони,Волинська,4555.0
2019,патрони,Волинська,2440.0
2020,патрони,Волинська,5074.0
2021,патрони,Волинська,1618.0
2022,патрони,Волинська,3968.0
2023,патрони,Волинська,3560.0
2015,гранати,Волинська,28.0
2016,гранати,Волинська,713.0
2017,гранати,Волинська,31.0
2018,гранати,Волинська,26.0
2019,гранати,Волинська,20.0
2020,гранати,Волинська,232.0
2021,гранати,Волинська,13.0
2022,гранати,Волинська,18.0
2023,гранати,Волинська,30.0
2015,міни,Волинська,
2016,міни,Волинська,15.0
2017,міни,Волинська,8.0
2018,міни,Волинська,
2019,міни,Волинська,
2020,міни,Волинська,10.0
2021,міни,Волинська,
2022,міни,Волинська,3.0
2023,міни,Волинська,
2015,саморобні вибухові пристрої,Волинська,
2016,саморобні вибухові пристрої,Волинська,
2017,саморобні вибухові пристрої,Волинська,
2018,саморобні вибухові пристрої,Волинська,
2019,саморобні вибухові пристрої,Волинська,1.0
2020,саморобні вибухові пристрої,Волинська,
2021,саморобні вибухові пристрої,Волинська,
2022,саморобні вибухові пристрої,Волинська,
