Year,Вік,Стать,Місцевість проживання,Value
2015,,,,
2016,,,,
2017,,,,
2018,,,,62.0
2019,,,,64.0
2020,,,,
2021,,,,
2022,,,,
2023,,,,
2015,18 – 35 років,,,
2016,18 – 35 років,,,
2017,18 – 35 років,,,
2018,18 – 35 років,,,61.0
2019,18 – 35 років,,,65.0
2020,18 – 35 років,,,
2021,18 – 35 років,,,
2022,18 – 35 років,,,
2023,18 – 35 років,,,
2015,36 – 60 років,,,
2016,36 – 60 років,,,
2017,36 – 60 років,,,
2018,36 – 60 років,,,61.0
2019,36 – 60 років,,,64.0
2020,36 – 60 років,,,
2021,36 – 60 років,,,
2022,36 – 60 років,,,
2023,36 – 60 років,,,
2015,61 рік і старші,,,
2016,61 рік і старші,,,
2017,61 рік і старші,,,
2018,61 рік і старші,,,63.0
2019,61 рік і старші,,,63.0
2020,61 рік і старші,,,
2021,61 рік і старші,,,
2022,61 рік і старші,,,
2023,61 рік і старші,,,
2015,,чоловіки,,
2016,,чоловіки,,
2017,,чоловіки,,
2018,,чоловіки,,61.0
2019,,чоловіки,,63.0
2020,,чоловіки,,
2021,,чоловіки,,
2022,,чоловіки,,
2023,,чоловіки,,
2015,,жінки,,
2016,,жінки,,
2017,,жінки,,
2018,,жінки,,62.0
2019,,жінки,,64.0
2020,,жінки,,
2021,,жінки,,
2022,,жінки,,
2023,,жінки,,
2015,,,міська,
2016,,,міська,
2017,,,міська,
2018,,,міська,62.0
2019,,,міська,68.0
2020,,,міська,
2021,,,міська,
2022,,,міська,
2023,,,міська,
2015,,,сільська,
2016,,,сільська,
2017,,,сільська,
2018,,,сільська,63.0
2019,,,сільська,60.0
2020,,,сільська,
2021,,,сільська,
2022,,,сільська,
2023,,,сільська,
