Year,Категорія господарств,Продукція,Value
2015,Господарства усіх категорій,продукція сільського господарства,95.2
2016,Господарства усіх категорій,продукція сільського господарства,106.3
2017,Господарства усіх категорій,продукція сільського господарства,97.8
2018,Господарства усіх категорій,продукція сільського господарства,108.2
2019,Господарства усіх категорій,продукція сільського господарства,101.4
2020,Господарства усіх категорій,продукція сільського господарства,89.9
2021,Господарства усіх категорій,продукція сільського господарства,116.4
2022,Господарства усіх категорій,продукція сільського господарства,74.7
2023,Господарства усіх категорій,продукція сільського господарства,111.1
2015,Господарства усіх категорій,продукція рослинництва,94.8
2016,Господарства усіх категорій,продукція рослинництва,109.0
2017,Господарства усіх категорій,продукція рослинництва,97.1
2018,Господарства усіх категорій,продукція рослинництва,110.1
2019,Господарства усіх категорій,продукція рослинництва,101.7
2020,Господарства усіх категорій,продукція рослинництва,88.0
2021,Господарства усіх категорій,продукція рослинництва,122.3
2022,Господарства усіх категорій,продукція рослинництва,71.8
2023,Господарства усіх категорій,продукція рослинництва,113.9
2015,Господарства усіх категорій,продукція тваринництва,96.4
2016,Господарства усіх категорій,продукція тваринництва,97.2
2017,Господарства усіх категорій,продукція тваринництва,100.3
2018,Господарства усіх категорій,продукція тваринництва,101.2
2019,Господарства усіх категорій,продукція тваринництва,100.1
2020,Господарства усіх категорій,продукція тваринництва,97.6
2021,Господарства усіх категорій,продукція тваринництва,95.1
2022,Господарства усіх категорій,продукція тваринництва,88.2
2023,Господарства усіх категорій,продукція тваринництва,100.4
2015,Підприємства,продукція сільського господарства,94.9
2016,Підприємства,продукція сільського господарства,109.6
2017,Підприємства,продукція сільського господарства,97.0
2018,Підприємства,продукція сільського господарства,111.9
2019,Підприємства,продукція сільського господарства,102.6
2020,Підприємства,продукція сільського господарства,88.0
2021,Підприємства,продукція сільського господарства,122.2
2022,Підприємства,продукція сільського господарства,72.1
2023,Підприємства,продукція сільського господарства,116.4
2015,Підприємства,продукція рослинництва,94.5
2016,Підприємства,продукція рослинництва,112.1
2017,Підприємства,продукція рослинництва,96.3
2018,Підприємства,продукція рослинництва,113.3
2019,Підприємства,продукція рослинництва,102.4
2020,Підприємства,продукція рослинництва,86.0
2021,Підприємства,продукція рослинництва,127.3
2022,Підприємства,продукція рослинництва,69.0
2023,Підприємства,продукція рослинництва,118.8
2015,Підприємства,продукція тваринництва,96.5
2016,Підприємства,продукція тваринництва,97.4
2017,Підприємства,продукція тваринництва,101.0
2018,Підприємства,продукція тваринництва,104.5
2019,Підприємства,продукція тваринництва,103.7
2020,Підприємства,продукція тваринництва,99.5
2021,Підприємства,продукція тваринництва,97.8
2022,Підприємства,продукція тваринництва,92.0
2023,Підприємства,продукція тваринництва,105.0
2015,Господарства населення,продукція сільського господарства,95.8
2016,Господарства населення,продукція сільського господарства,100.7
2017,Господарства населення,продукція сільського господарства,99.3
2018,Господарства населення,продукція сільського господарства,101.5
2019,Господарства населення,продукція сільського господарства,99.0
2020,Господарства населення,продукція сільського господарства,93.8
2021,Господарства населення,продукція сільського господарства,105.1
2022,Господарства населення,продукція сільського господарства,80.5
2023,Господарства населення,продукція сільського господарства,100.2
2015,Господарства населення,продукція рослинництва,95.5
2016,Господарства населення,продукція рослинництва,102.5
2017,Господарства населення,продукція рослинництва,99.1
2018,Господарства населення,продукція рослинництва,103.1
2019,Господарства населення,продукція рослинництва,100.1
2020,Господарства населення,продукція рослинництва,93.0
2021,Господарства населення,продукція рослинництва,110.8
2022,Господарства населення,продукція рослинництва,79.2
2023,Господарства населення,продукція рослинництва,102.4
2015,Господарства населення,продукція тваринництва,96.3
2016,Господарства населення,продукція тваринництва,97.1
2017,Господарства населення,продукція тваринництва,99.6
2018,Господарства населення,продукція тваринництва,98.2
2019,Господарства населення,продукція тваринництва,96.6
2020,Господарства населення,продукція тваринництва,95.7
2021,Господарства населення,продукція тваринництва,92.3
2022,Господарства населення,продукція тваринництва,83.9
2023,Господарства населення,продукція тваринництва,94.8
