Year,"Індекс споживчих цін на продукти харчування, %",за основними групами продуктів,Value
2015,,,144.4
2016,,,108.5
2017,,,113.4
2018,,,111.5
2019,,,108.3
2020,,,102.9
2021,,,111.3
2022,,,127.1
2023,,,114.3
2015,,хліб і хлібопродукти,160.6
2016,,хліб і хлібопродукти,111.1
2017,,хліб і хлібопродукти,108.4
2018,,хліб і хлібопродукти,110.5
2019,,хліб і хлібопродукти,113.6
2020,,хліб і хлібопродукти,108.6
2021,,хліб і хлібопродукти,114.3
2022,,хліб і хлібопродукти,129.7
2023,,хліб і хлібопродукти,106.7
2015,,м’ясо і м’ясопродукти,131.3
2016,,м’ясо і м’ясопродукти,107.3
2017,,м’ясо і м’ясопродукти,120.9
2018,,м’ясо і м’ясопродукти,116.6
2019,,м’ясо і м’ясопродукти,106.6
2020,,м’ясо і м’ясопродукти,99.9
2021,,м’ясо і м’ясопродукти,109.3
2022,,м’ясо і м’ясопродукти,118.8
2023,,м’ясо і м’ясопродукти,119.4
2015,,молоко,122.6
2016,,молоко,119.6
2017,,молоко,126.3
2018,,молоко,114.7
2019,,молоко,110.6
2020,,молоко,105.7
2021,,молоко,106.9
2022,,молоко,118.4
2023,,молоко,112.1
2015,,риба та продукти з риби,160.2
2016,,риба та продукти з риби,105.1
2017,,риба та продукти з риби,101.7
2018,,риба та продукти з риби,105.6
2019,,риба та продукти з риби,108.4
2020,,риба та продукти з риби,102.4
2021,,риба та продукти з риби,107.1
2022,,риба та продукти з риби,130.3
2023,,риба та продукти з риби,119.4
2015,,овочі,130.8
2016,,овочі,93.6
2017,,овочі,110.3
2018,,овочі,107.6
2019,,овочі,131.3
2020,,овочі,83.4
2021,,овочі,96.1
2022,,овочі,168.5
2023,,овочі,109.6
2015,,фрукти,172.4
2016,,фрукти,98.2
2017,,фрукти,115.2
2018,,фрукти,105.4
2019,,фрукти,97.3
2020,,фрукти,122.2
2021,,фрукти,97.9
2022,,фрукти,127.7
2023,,фрукти,119.8
2015,,цукор,136.0
2016,,цукор,117.8
2017,,цукор,106.8
2018,,цукор,84.2
2019,,цукор,99.9
2020,,цукор,109.7
2021,,цукор,161.5
2022,,цукор,123.2
2023,,цукор,111.0
2015,,олія соняшникова,177.2
2016,,олія соняшникова,111.5
2017,,олія соняшникова,105.5
2018,,олія соняшникова,103.0
2019,,олія соняшникова,100.8
2020,,олія соняшникова,102.7
2021,,олія соняшникова,157.7
2022,,олія соняшникова,113.9
2023,,олія соняшникова,97.3
2015,,яйця,160.5
2016,,яйця,98.1
2017,,яйця,105.7
2018,,яйця,134.1
2019,,яйця,79.3
2020,,яйця,98.6
2021,,яйця,147.0
2022,,яйця,121.8
2023,,яйця,136.6
