Year,Область,Value
2015,,64.0
2016,,63.0
2017,,62.3
2018,,62.1
2019,,57.3
2020,,60.8
2021,,64.5
2022,,
2023,,
2015,Вінницька,53.4
2016,Вінницька,44.8
2017,Вінницька,47.1
2018,Вінницька,50.5
2019,Вінницька,51.8
2020,Вінницька,57.5
2021,Вінницька,52.0
2022,Вінницька,
2023,Вінницька,
2015,Волинська,60.3
2016,Волинська,66.0
2017,Волинська,58.1
2018,Волинська,52.5
2019,Волинська,43.1
2020,Волинська,50.7
2021,Волинська,56.5
2022,Волинська,
2023,Волинська,
2015,Дніпропетровська,67.5
2016,Дніпропетровська,66.9
2017,Дніпропетровська,64.3
2018,Дніпропетровська,69.5
2019,Дніпропетровська,63.2
2020,Дніпропетровська,70.0
2021,Дніпропетровська,72.8
2022,Дніпропетровська,
2023,Дніпропетровська,
2015,Донецька,
2016,Донецька,
2017,Донецька,
2018,Донецька,
2019,Донецька,
2020,Донецька,
2021,Донецька,
2022,Донецька,
2023,Донецька,
2015,Житомирська,64.4
2016,Житомирська,64.5
2017,Житомирська,64.0
2018,Житомирська,55.9
2019,Житомирська,58.8
2020,Житомирська,61.0
2021,Житомирська,68.5
2022,Житомирська,
2023,Житомирська,
2015,Закарпатська,44.2
2016,Закарпатська,49.6
2017,Закарпатська,44.7
2018,Закарпатська,54.3
2019,Закарпатська,44.8
2020,Закарпатська,50.1
2021,Закарпатська,44.4
2022,Закарпатська,
2023,Закарпатська,
2015,Запорізька,76.3
2016,Запорізька,78.5
2017,Запорізька,75.2
2018,Запорізька,76.4
2019,Запорізька,68.8
2020,Запорізька,69.9
2021,Запорізька,85.8
2022,Запорізька,
2023,Запорізька,
2015,Івано-Франківська,47.0
2016,Івано-Франківська,43.8
2017,Івано-Франківська,46.9
2018,Івано-Франківська,44.7
2019,Івано-Франківська,46.4
2020,Івано-Франківська,41.3
2021,Івано-Франківська,39.6
2022,Івано-Франківська,
2023,Івано-Франківська,
2015,Київська,66.9
2016,Київська,64.7
2017,Київська,64.8
2018,Київська,69.0
