Year,Рівень освіти,Стать,Вік,Value
2015,Повна вища,,15-24 роки,10.5
2016,Повна вища,,15-24 роки,9.7
2017,Повна вища,,15-24 роки,9.7
2018,Повна вища,,15-24 роки,9.1
2019,Повна вища,,15-24 роки,9.9
2020,Повна вища,,15-24 роки,7.8
2021,Повна вища,,15-24 роки,7.3
2022,Повна вища,,15-24 роки,
2023,Повна вища,,15-24 роки,
2015,Повна вища,,25-64 роки,28.8
2016,Повна вища,,25-64 роки,29.3
2017,Повна вища,,25-64 роки,29.9
2018,Повна вища,,25-64 роки,30.8
2019,Повна вища,,25-64 роки,29.5
2020,Повна вища,,25-64 роки,29.9
2021,Повна вища,,25-64 роки,30.1
2022,Повна вища,,25-64 роки,
2023,Повна вища,,25-64 роки,
2015,Повна вища,жінки,15-24 роки,12.8
2016,Повна вища,жінки,15-24 роки,11.6
2017,Повна вища,жінки,15-24 роки,11.0
2018,Повна вища,жінки,15-24 роки,10.0
2019,Повна вища,жінки,15-24 роки,11.4
2020,Повна вища,жінки,15-24 роки,9.5
2021,Повна вища,жінки,15-24 роки,8.7
2022,Повна вища,жінки,15-24 роки,
2023,Повна вища,жінки,15-24 роки,
2015,Повна вища,жінки,25-64 роки,31.0
2016,Повна вища,жінки,25-64 роки,31.4
2017,Повна вища,жінки,25-64 роки,32.0
2018,Повна вища,жінки,25-64 роки,33.2
2019,Повна вища,жінки,25-64 роки,32.0
2020,Повна вища,жінки,25-64 роки,32.4
2021,Повна вища,жінки,25-64 роки,32.5
2022,Повна вища,жінки,25-64 роки,
2023,Повна вища,жінки,25-64 роки,
2015,Повна вища,чоловіки,15-24 роки,8.3
2016,Повна вища,чоловіки,15-24 роки,7.8
2017,Повна вища,чоловіки,15-24 роки,8.5
2018,Повна вища,чоловіки,15-24 роки,8.2
2019,Повна вища,чоловіки,15-24 роки,8.6
2020,Повна вища,чоловіки,15-24 роки,6.3
2021,Повна вища,чоловіки,15-24 роки,5.9
2022,Повна вища,чоловіки,15-24 роки,
2023,Повна вища,чоловіки,15-24 роки,
2015,Повна вища,чоловіки,25-64 роки,26.4
2016,Повна вища,чоловіки,25-64 роки,27.0
2017,Повна вища,чоловіки,25-64 роки,27.6
2018,Повна вища,чоловіки,25-64 роки,28.1
2019,Повна вища,чоловіки,25-64 роки,26.7
2020,Повна вища,чоловіки,25-64 роки,27.1
2021,Повна вища,чоловіки,25-64 роки,27.5
2022,Повна вища,чоловіки,25-64 роки,
2023,Повна вища,чоловіки,25-64 роки,
2015,Базова вища,,15-24 роки,4.8
2016,Базова вища,,15-24 роки,5.0
2017,Базова вища,,15-24 роки,4.9
2018,Базова вища,,15-24 роки,5.0
2019,Базова вища,,15-24 роки,5.3
2020,Базова вища,,15-24 роки,5.0
2021,Базова вища,,15-24 роки,5.2
2022,Базова вища,,15-24 роки,
2023,Базова вища,,15-24 роки,
2015,Базова вища,,25-64 роки,0.8
2016,Базова вища,,25-64 роки,0.8
2017,Базова вища,,25-64 роки,0.8
2018,Базова вища,,25-64 роки,1.0
2019,Базова вища,,25-64 роки,1.5
2020,Базова вища,,25-64 роки,1.4
2021,Базова вища,,25-64 роки,1.6
2022,Базова вища,,25-64 роки,
2023,Базова вища,,25-64 роки,
2015,Базова вища,жінки,15-24 роки,5.0
2016,Базова вища,жінки,15-24 роки,5.2
2017,Базова вища,жінки,15-24 роки,5.1
2018,Базова вища,жінки,15-24 роки,5.8
2019,Базова вища,жінки,15-24 роки,5.5
2020,Базова вища,жінки,15-24 роки,5.2
2021,Базова вища,жінки,15-24 роки,5.8
2022,Базова вища,жінки,15-24 роки,
2023,Базова вища,жінки,15-24 роки,
2015,Базова вища,жінки,25-64 роки,0.8
2016,Базова вища,жінки,25-64 роки,0.9
2017,Базова вища,жінки,25-64 роки,0.9
2018,Базова вища,жінки,25-64 роки,1.0
2019,Базова вища,жінки,25-64 роки,1.5
2020,Базова вища,жінки,25-64 роки,1.5
2021,Базова вища,жінки,25-64 роки,1.5
2022,Базова вища,жінки,25-64 роки,
2023,Базова вища,жінки,25-64 роки,
2015,Базова вища,чоловіки,15-24 роки,4.5
2016,Базова вища,чоловіки,15-24 роки,4.9
2017,Базова вища,чоловіки,15-24 роки,4.7
2018,Базова вища,чоловіки,15-24 роки,4.2
2019,Базова вища,чоловіки,15-24 роки,5.1
2020,Базова вища,чоловіки,15-24 роки,4.8
2021,Базова вища,чоловіки,15-24 роки,4.6
2022,Базова вища,чоловіки,15-24 роки,
2023,Базова вища,чоловіки,15-24 роки,
2015,Базова вища,чоловіки,25-64 роки,0.7
2016,Базова вища,чоловіки,25-64 роки,0.8
2017,Базова вища,чоловіки,25-64 роки,0.7
2018,Базова вища,чоловіки,25-64 роки,1.0
2019,Базова вища,чоловіки,25-64 роки,1.5
2020,Базова вища,чоловіки,25-64 роки,1.4
2021,Базова вища,чоловіки,25-64 роки,1.4
2022,Базова вища,чоловіки,25-64 роки,
