Year,Група,Value
2015,,
2016,,
2017,,96.2
2018,,110.7
2019,,130.5
2020,,211.4
2021,,284.2
2022,,251.8
2023,,251.9
2015,чоловіки,
2016,чоловіки,
2017,чоловіки,10.4
2018,чоловіки,14.5
2019,чоловіки,14.6
2020,чоловіки,27.7
2021,чоловіки,45.7
2022,чоловіки,37.6
2023,чоловіки,46.9
2015,жінки,
2016,жінки,
2017,жінки,85.3
2018,жінки,91.1
2019,жінки,114.8
2020,жінки,180.9
2021,жінки,233.2
2022,жінки,208.5
2023,жінки,196.4
2015,діти,
2016,діти,
2017,діти,0.9
2018,діти,1.0
2019,діти,1.1
2020,діти,2.8
2021,діти,5.3
2022,діти,5.7
2023,діти,8.6
