Year,Місцевість проживання,Тип водопостачання,Value
2015,міська,,1.6
2016,міська,,1.1
2017,міська,,4.3
2018,міська,,4.0
2019,міська,,4.1
2020,міська,,0.8
2021,міська,,2.0
2022,міська,,0.5
2023,міська,,0.6
2015,сільська,,0.0
2016,сільська,,0.5
2017,сільська,,6.6
2018,сільська,,9.8
2019,сільська,,12.5
2020,сільська,,6.5
2021,сільська,,2.8
2022,сільська,,12.2
2023,сільська,,2.9
2015,,централізоване,1.1
2016,,централізоване,1.1
2017,,централізоване,3.9
2018,,централізоване,4.0
2019,,централізоване,4.6
2020,,централізоване,4.7
2021,,централізоване,1.9
2022,,централізоване,1.2
2023,,централізоване,0.8
2015,,децентралізоване,1.7
2016,,децентралізоване,0.4
2017,,децентралізоване,3.0
2018,,децентралізоване,2.5
2019,,децентралізоване,4.0
2020,,децентралізоване,8.8
2021,,децентралізоване,7.1
2022,,децентралізоване,4.9
2023,,децентралізоване,6.3
