Year,Виробіток електроенергії,Value
2015,,157.7
2016,,154.8
2017,,155.4
2018,,159.4
2019,,154.0
2020,,148.9
2021,,156.6
2022,,113.5
2023,,105.8
2015,ТЕС ГК,49.4
2016,ТЕС ГК,49.9
2017,ТЕС ГК,45.0
2018,ТЕС ГК,47.8
2019,ТЕС ГК,44.9
2020,ТЕС ГК,39.6
2021,ТЕС ГК,37.2
2022,ТЕС ГК,24.3
2023,ТЕС ГК,23.3
2015,ТЕЦ та коген. установки,6.1
2016,ТЕЦ та коген. установки,6.7
2017,ТЕЦ та коген. установки,10.9
2018,ТЕЦ та коген. установки,11.0
2019,ТЕЦ та коген. установки,10.9
2020,ТЕЦ та коген. установки,12.8
2021,ТЕЦ та коген. установки,8.6
2022,ТЕЦ та коген. установки,5.8
2023,ТЕЦ та коген. установки,6.9
2015,ГЕС,5.2
2016,ГЕС,7.5
2017,ГЕС,9.0
2018,ГЕС,10.4
2019,ГЕС,6.5
2020,ГЕС,6.0
2021,ГЕС,9.2
2022,ГЕС,9.7
2023,ГЕС,11.2
2015,ГАЕС,1.6
2016,ГАЕС,1.6
2017,ГАЕС,1.6
2018,ГАЕС,1.6
2019,ГАЕС,1.3
2020,ГАЕС,1.6
2021,ГАЕС,1.3
2022,ГАЕС,1.3
2023,ГАЕС,1.3
2015,АЕС,87.6
2016,АЕС,81.0
2017,АЕС,85.6
2018,АЕС,84.4
2019,АЕС,83.0
2020,АЕС,76.2
2021,АЕС,86.2
2022,АЕС,62.2
2023,АЕС,52.1
2015,Блокстанції,6.2
2016,Блокстанції,6.6
2017,Блокстанції,1.5
2018,Блокстанції,1.5
2019,Блокстанції,1.8
2020,Блокстанції,1.8
2021,Блокстанції,1.6
2022,Блокстанції,0.7
2023,Блокстанції,0.6
2015,"Альтерн. джер. енергії (ВЕС, СЕС, Біомаса)",1.6
2016,"Альтерн. джер. енергії (ВЕС, СЕС, Біомаса)",1.6
2017,"Альтерн. джер. енергії (ВЕС, СЕС, Біомаса)",1.9
2018,"Альтерн. джер. енергії (ВЕС, СЕС, Біомаса)",2.6
2019,"Альтерн. джер. енергії (ВЕС, СЕС, Біомаса)",5.5
2020,"Альтерн. джер. енергії (ВЕС, СЕС, Біомаса)",10.9
2021,"Альтерн. джер. енергії (ВЕС, СЕС, Біомаса)",12.5
2022,"Альтерн. джер. енергії (ВЕС, СЕС, Біомаса)",9.5
2023,"Альтерн. джер. енергії (ВЕС, СЕС, Біомаса)",10.4
