Year,Категорія,Одиниця виміру,включаючи,Value
2015,Відпуск електроенергії в мережу,млн. кВтг,,146642.0
2016,Відпуск електроенергії в мережу,млн. кВтг,,141619.0
2017,Відпуск електроенергії в мережу,млн. кВтг,,142509.0
2018,Відпуск електроенергії в мережу,млн. кВтг,,146523.0
2019,Відпуск електроенергії в мережу,млн. кВтг,,141329.0
2020,Відпуск електроенергії в мережу,млн. кВтг,,136196.0
2021,Відпуск електроенергії в мережу,млн. кВтг,,143991.0
2022,Відпуск електроенергії в мережу,млн. кВтг,,104529.0
2023,Відпуск електроенергії в мережу,млн. кВтг,,98045.0
2015,Корисний відпуск електроенергії в мережу,млн. кВтг,,131861.0
2016,Корисний відпуск електроенергії в мережу,млн. кВтг,,131274.0
2017,Корисний відпуск електроенергії в мережу,млн. кВтг,,132093.0
2018,Корисний відпуск електроенергії в мережу,млн. кВтг,,129191.0
2019,Корисний відпуск електроенергії в мережу,млн. кВтг,,116612.0
2020,Корисний відпуск електроенергії в мережу,млн. кВтг,,112986.0
2021,Корисний відпуск електроенергії в мережу,млн. кВтг,,119496.0
2022,Корисний відпуск електроенергії в мережу,млн. кВтг,,85239.0
2023,Корисний відпуск електроенергії в мережу,млн. кВтг,,81692.0
2015,Звітна фактична величина ТВЕ,млн. кВтг,,16860.0
2016,Звітна фактична величина ТВЕ,млн. кВтг,,16626.0
2017,Звітна фактична величина ТВЕ,млн. кВтг,,16774.0
2018,Звітна фактична величина ТВЕ,млн. кВтг,,16996.0
2019,Звітна фактична величина ТВЕ,млн. кВтг,,16434.0
2020,Звітна фактична величина ТВЕ,млн. кВтг,,15451.0
2021,Звітна фактична величина ТВЕ,млн. кВтг,,16247.0
2022,Звітна фактична величина ТВЕ,млн. кВтг,,13428.0
2023,Звітна фактична величина ТВЕ,млн. кВтг,,12665.0
2015,Звітна фактична величина ТВЕ,відсоток,,11.5
2016,Звітна фактична величина ТВЕ,відсоток,,11.74
2017,Звітна фактична величина ТВЕ,відсоток,,11.77
2018,Звітна фактична величина ТВЕ,відсоток,,11.6
2019,Звітна фактична величина ТВЕ,відсоток,,11.63
2020,Звітна фактична величина ТВЕ,відсоток,,11.34
2021,Звітна фактична величина ТВЕ,відсоток,,11.28
2022,Звітна фактична величина ТВЕ,відсоток,,12.85
2023,Звітна фактична величина ТВЕ,відсоток,,12.92
2015,Звітна фактична величина ТВЕ,млн. кВтг,нормативна величина ТВЕ,19034.0
2016,Звітна фактична величина ТВЕ,млн. кВтг,нормативна величина ТВЕ,18805.0
2017,Звітна фактична величина ТВЕ,млн. кВтг,нормативна величина ТВЕ,18820.0
2018,Звітна фактична величина ТВЕ,млн. кВтг,нормативна величина ТВЕ,19140.0
2019,Звітна фактична величина ТВЕ,млн. кВтг,нормативна величина ТВЕ,18254.0
2020,Звітна фактична величина ТВЕ,млн. кВтг,нормативна величина ТВЕ,17438.0
2021,Звітна фактична величина ТВЕ,млн. кВтг,нормативна величина ТВЕ,18634.0
2022,Звітна фактична величина ТВЕ,млн. кВтг,нормативна величина ТВЕ,15022.0
2023,Звітна фактична величина ТВЕ,млн. кВтг,нормативна величина ТВЕ,14413.0
2015,Звітна фактична величина ТВЕ,відсоток,нормативна величина ТВЕ,13.0
2016,Звітна фактична величина ТВЕ,відсоток,нормативна величина ТВЕ,13.3
2017,Звітна фактична величина ТВЕ,відсоток,нормативна величина ТВЕ,13.2
2018,Звітна фактична величина ТВЕ,відсоток,нормативна величина ТВЕ,13.1
2019,Звітна фактична величина ТВЕ,відсоток,нормативна величина ТВЕ,12.9
2020,Звітна фактична величина ТВЕ,відсоток,нормативна величина ТВЕ,12.8
2021,Звітна фактична величина ТВЕ,відсоток,нормативна величина ТВЕ,12.9
2022,Звітна фактична величина ТВЕ,відсоток,нормативна величина ТВЕ,14.4
2023,Звітна фактична величина ТВЕ,відсоток,нормативна величина ТВЕ,14.7
2015,Звітна фактична величина ТВЕ,млн. кВтг,понаднормативна величина ТВЕ,-2174.0
2016,Звітна фактична величина ТВЕ,млн. кВтг,понаднормативна величина ТВЕ,-2179.0
2017,Звітна фактична величина ТВЕ,млн. кВтг,понаднормативна величина ТВЕ,-2046.0
2018,Звітна фактична величина ТВЕ,млн. кВтг,понаднормативна величина ТВЕ,-2144.0
2019,Звітна фактична величина ТВЕ,млн. кВтг,понаднормативна величина ТВЕ,-1820.0
2020,Звітна фактична величина ТВЕ,млн. кВтг,понаднормативна величина ТВЕ,-1987.0
2021,Звітна фактична величина ТВЕ,млн. кВтг,понаднормативна величина ТВЕ,-2387.0
2022,Звітна фактична величина ТВЕ,млн. кВтг,понаднормативна величина ТВЕ,-1594.0
2023,Звітна фактична величина ТВЕ,млн. кВтг,понаднормативна величина ТВЕ,-1748.0
2015,Звітна фактична величина ТВЕ,відсоток,понаднормативна величина ТВЕ,-1.5
2016,Звітна фактична величина ТВЕ,відсоток,понаднормативна величина ТВЕ,-1.5
2017,Звітна фактична величина ТВЕ,відсоток,понаднормативна величина ТВЕ,-1.4
2018,Звітна фактична величина ТВЕ,відсоток,понаднормативна величина ТВЕ,-1.5
2019,Звітна фактична величина ТВЕ,відсоток,понаднормативна величина ТВЕ,-1.3
2020,Звітна фактична величина ТВЕ,відсоток,понаднормативна величина ТВЕ,-1.5
2021,Звітна фактична величина ТВЕ,відсоток,понаднормативна величина ТВЕ,-1.7
2022,Звітна фактична величина ТВЕ,відсоток,понаднормативна величина ТВЕ,-1.5
2023,Звітна фактична величина ТВЕ,відсоток,понаднормативна величина ТВЕ,-1.8
2015,ТВЕ в розподільчих електромережах,млн. кВтг,,12611.0
2016,ТВЕ в розподільчих електромережах,млн. кВтг,,12885.0
2017,ТВЕ в розподільчих електромережах,млн. кВтг,,12932.0
2018,ТВЕ в розподільчих електромережах,млн. кВтг,,13223.0
2019,ТВЕ в розподільчих електромережах,млн. кВтг,,12887.0
2020,ТВЕ в розподільчих електромережах,млн. кВтг,,12378.0
2021,ТВЕ в розподільчих електромережах,млн. кВтг,,12758.0
2022,ТВЕ в розподільчих електромережах,млн. кВтг,,10380.0
2023,ТВЕ в розподільчих електромережах,млн. кВтг,,9995.0
2015,ТВЕ в розподільчих електромережах,відсоток,,9.79
2016,ТВЕ в розподільчих електромережах,відсоток,,9.9
2017,ТВЕ в розподільчих електромережах,відсоток,,9.89
2018,ТВЕ в розподільчих електромережах,відсоток,,9.84
2019,ТВЕ в розподільчих електромережах,відсоток,,10.35
2020,ТВЕ в розподільчих електромережах,відсоток,,10.13
2021,ТВЕ в розподільчих електромережах,відсоток,,9.86
2022,ТВЕ в розподільчих електромережах,відсоток,,11.11
2023,ТВЕ в розподільчих електромережах,відсоток,,10.99
