Year,Види економічної діяльності,Value
2015,,6.5
2016,,6.5
2017,,6.6
2018,,7.0
2019,,7.4
2020,,7.4
2021,,7.3
2022,,6.1
2023,,6.1
2015,"Сільське господарство, лісове господарство та рибне господарство",0.6
2016,"Сільське господарство, лісове господарство та рибне господарство",0.6
2017,"Сільське господарство, лісове господарство та рибне господарство",0.6
2018,"Сільське господарство, лісове господарство та рибне господарство",0.6
2019,"Сільське господарство, лісове господарство та рибне господарство",0.6
2020,"Сільське господарство, лісове господарство та рибне господарство",0.5
2021,"Сільське господарство, лісове господарство та рибне господарство",0.5
2022,"Сільське господарство, лісове господарство та рибне господарство",0.5
2023,"Сільське господарство, лісове господарство та рибне господарство",0.4
2015,Промисловість,1.5
2016,Промисловість,1.6
2017,Промисловість,1.6
2018,Промисловість,1.6
2019,Промисловість,1.5
2020,Промисловість,1.5
2021,Промисловість,1.4
2022,Промисловість,1.2
2023,Промисловість,1.1
2015,Будівництво,0.3
2016,Будівництво,0.3
2017,Будівництво,0.3
2018,Будівництво,0.3
2019,Будівництво,0.3
2020,Будівництво,0.3
2021,Будівництво,0.3
2022,Будівництво,0.3
2023,Будівництво,
2015,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,2.0
2016,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,1.9
2017,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,1.9
2018,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,2.1
2019,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,2.0
2020,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,2.0
2021,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,2.0
2022,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,1.6
2023,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,1.6
2015,"Транспорт, складське господарство, поштова та кур`єрська діяльність",0.5
2016,"Транспорт, складське господарство, поштова та кур`єрська діяльність",0.5
2017,"Транспорт, складське господарство, поштова та кур`єрська діяльність",0.5
2018,"Транспорт, складське господарство, поштова та кур`єрська діяльність",0.5
2019,"Транспорт, складське господарство, поштова та кур`єрська діяльність",0.5
2020,"Транспорт, складське господарство, поштова та кур`єрська діяльність",0.5
2021,"Транспорт, складське господарство, поштова та кур`єрська діяльність",0.5
2022,"Транспорт, складське господарство, поштова та кур`єрська діяльність",0.4
2023,"Транспорт, складське господарство, поштова та кур`єрська діяльність",0.4
2015,Тимчасове розміщування й організація харчування,0.2
2016,Тимчасове розміщування й організація харчування,0.2
2017,Тимчасове розміщування й організація харчування,0.2
2018,Тимчасове розміщування й організація харчування,0.3
2019,Тимчасове розміщування й організація харчування,
2020,Тимчасове розміщування й організація харчування,
2021,Тимчасове розміщування й організація харчування,
2022,Тимчасове розміщування й організація харчування,
2023,Тимчасове розміщування й організація харчування,
2015,Інформація та телекомунікації,0.2
2016,Інформація та телекомунікації,0.2
2017,Інформація та телекомунікації,0.3
2018,Інформація та телекомунікації,0.3
2019,Інформація та телекомунікації,0.3
2020,Інформація та телекомунікації,0.4
2021,Інформація та телекомунікації,
2022,Інформація та телекомунікації,
2023,Інформація та телекомунікації,0.4
2015,Фінансова та страхова діяльність,0.2
2016,Фінансова та страхова діяльність,0.1
2017,Фінансова та страхова діяльність,0.1
2018,Фінансова та страхова діяльність,
2019,Фінансова та страхова діяльність,0.1
2020,Фінансова та страхова діяльність,0.1
2021,Фінансова та страхова діяльність,0.1
2022,Фінансова та страхова діяльність,0.1
2023,Фінансова та страхова діяльність,0.0
2015,Операції з нерухомим майном,0.2
2016,Операції з нерухомим майном,
2017,Операції з нерухомим майном,
2018,Операції з нерухомим майном,0.2
2019,Операції з нерухомим майном,
2020,Операції з нерухомим майном,
2021,Операції з нерухомим майном,
2022,Операції з нерухомим майном,
2023,Операції з нерухомим майном,
2015,"Професійна, наукова та технічна діяльність",0.3
2016,"Професійна, наукова та технічна діяльність",0.3
2017,"Професійна, наукова та технічна діяльність",
2018,"Професійна, наукова та технічна діяльність",
2019,"Професійна, наукова та технічна діяльність",
2020,"Професійна, наукова та технічна діяльність",
2021,"Професійна, наукова та технічна діяльність",
2022,"Професійна, наукова та технічна діяльність",
2023,"Професійна, наукова та технічна діяльність",0.3
2015,Діяльність у сфері адміністративного та допоміжного обслуговування,0.3
2016,Діяльність у сфері адміністративного та допоміжного обслуговування,0.3
2017,Діяльність у сфері адміністративного та допоміжного обслуговування,0.3
2018,Діяльність у сфері адміністративного та допоміжного обслуговування,0.3
2019,Діяльність у сфері адміністративного та допоміжного обслуговування,
2020,Діяльність у сфері адміністративного та допоміжного обслуговування,
2021,Діяльність у сфері адміністративного та допоміжного обслуговування,
2022,Діяльність у сфері адміністративного та допоміжного обслуговування,
2023,Діяльність у сфері адміністративного та допоміжного обслуговування,
2015,Освіта,0.0
2016,Освіта,0.0
2017,Освіта,0.0
2018,Освіта,0.0
2019,Освіта,0.0
2020,Освіта,0.0
2021,Освіта,0.0
2022,Освіта,0.0
2023,Освіта,0.0
2015,Охорона здоров`я та надання соціальної допомоги,0.1
2016,Охорона здоров`я та надання соціальної допомоги,0.1
2017,Охорона здоров`я та надання соціальної допомоги,0.1
2018,Охорона здоров`я та надання соціальної допомоги,0.3
2019,Охорона здоров`я та надання соціальної допомоги,
2020,Охорона здоров`я та надання соціальної допомоги,
2021,Охорона здоров`я та надання соціальної допомоги,
2022,Охорона здоров`я та надання соціальної допомоги,
2023,Охорона здоров`я та надання соціальної допомоги,
2015,"Мистецтво, спорт, розваги та відпочинок",0.0
2016,"Мистецтво, спорт, розваги та відпочинок",
2017,"Мистецтво, спорт, розваги та відпочинок",
2018,"Мистецтво, спорт, розваги та відпочинок",
2019,"Мистецтво, спорт, розваги та відпочинок",
2020,"Мистецтво, спорт, розваги та відпочинок",
2021,"Мистецтво, спорт, розваги та відпочинок",
2022,"Мистецтво, спорт, розваги та відпочинок",0.0
2023,"Мистецтво, спорт, розваги та відпочинок",
2015,Надання інших видів послуг,0.1
2016,Надання інших видів послуг,0.1
2017,Надання інших видів послуг,0.1
2018,Надання інших видів послуг,0.2
2019,Надання інших видів послуг,0.2
2020,Надання інших видів послуг,0.2
2021,Надання інших видів послуг,
2022,Надання інших видів послуг,
2023,Надання інших видів послуг,0.1
