Year,Група,Value
2015,,58.1
2016,,62.3
2017,,62.6
2018,,64.3
2019,,66.4
2020,,70.2
2021,,66.1
2022,,72.4
2023,,70.5
2015,"Сільське господарство, лісове господарство та рибне господарство",82.6
2016,"Сільське господарство, лісове господарство та рибне господарство",89.6
2017,"Сільське господарство, лісове господарство та рибне господарство",95.6
2018,"Сільське господарство, лісове господарство та рибне господарство",97.2
2019,"Сільське господарство, лісове господарство та рибне господарство",95.3
2020,"Сільське господарство, лісове господарство та рибне господарство",86.5
2021,"Сільське господарство, лісове господарство та рибне господарство",89.7
2022,"Сільське господарство, лісове господарство та рибне господарство",89.9
2023,"Сільське господарство, лісове господарство та рибне господарство",83.6
2015,Промисловість,40.1
2016,Промисловість,46.3
2017,Промисловість,43.7
2018,Промисловість,44.7
2019,Промисловість,51.3
2020,Промисловість,50.9
2021,Промисловість,43.1
2022,Промисловість,55.4
2023,Промисловість,52.2
2015,Будівництво,80.3
2016,Будівництво,91.2
2017,Будівництво,98.3
2018,Будівництво,94.3
2019,Будівництво,93.9
2020,Будівництво,88.4
2021,Будівництво,85.9
2022,Будівництво,92.3
2023,Будівництво,88.4
2015,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,64.5
2016,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,72.8
2017,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,70.0
2018,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,73.4
2019,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,73.3
2020,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,76.6
2021,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,70.2
2022,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,82.9
2023,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,80.7
2015,"Транспорт, складське господарство, поштова та кур`єрська діяльність",50.0
2016,"Транспорт, складське господарство, поштова та кур`єрська діяльність",48.7
2017,"Транспорт, складське господарство, поштова та кур`єрська діяльність",51.1
2018,"Транспорт, складське господарство, поштова та кур`єрська діяльність",49.0
2019,"Транспорт, складське господарство, поштова та кур`єрська діяльність",47.5
