Year,Види транспорту,Value
2015,,5166.8
2016,,4853.8
2017,,4648.2
2018,,4487.1
2019,,4262.3
2020,,2570.2
2021,,2655.4
2022,,1600.6
2023,,
2015,залізничний,389.8
2016,залізничний,389.1
2017,залізничний,164.9
2018,залізничний,158.0
2019,залізничний,154.8
2020,залізничний,68.3
2021,залізничний,81.3
2022,залізничний,
2023,залізничний,
2015,автомобільний,2250.3
2016,автомобільний,2024.9
2017,автомобільний,2019.3
2018,автомобільний,1906.8
2019,автомобільний,1804.9
2020,автомобільний,1083.9
2021,автомобільний,1089.3
2022,автомобільний,
2023,автомобільний,
2015,морський,0.0
2016,морський,0.0
2017,морський,0.0
2018,морський,0.1
2019,морський,0.1
2020,морський,0.1
2021,морський,0.1
2022,морський,
2023,морський,
2015,річковий,0.6
2016,річковий,0.4
2017,річковий,0.6
2018,річковий,0.6
2019,річковий,0.6
2020,річковий,0.2
2021,річковий,0.4
2022,річковий,
2023,річковий,
2015,авіаційний,6.3
2016,авіаційний,8.3
2017,авіаційний,10.6
2018,авіаційний,12.5
2019,авіаційний,13.7
2020,авіаційний,4.8
2021,авіаційний,9.3
2022,авіаційний,
2023,авіаційний,
2015,міський електричний транспорт,2519.8
2016,міський електричний транспорт,2431.1
2017,міський електричний транспорт,2452.8
2018,міський електричний транспорт,2409.1
2019,міський електричний транспорт,2288.2
2020,міський електричний транспорт,1412.9
2021,міський електричний транспорт,1475.0
2022,міський електричний транспорт,
2023,міський електричний транспорт,
2015,трамваями,738.6
2016,трамваями,694.0
2017,трамваями,675.8
2018,трамваями,666.3
2019,трамваями,627.5
2020,трамваями,422.8
2021,трамваями,398.0
2022,трамваями,
2023,трамваями,
2015,тролейбусами,1080.8
2016,тролейбусами,1038.7
2017,тролейбусами,1058.1
2018,тролейбусами,1016.2
2019,тролейбусами,945.7
2020,тролейбусами,579.0
2021,тролейбусами,594.4
2022,тролейбусами,
2023,тролейбусами,
2015,поїздами метрополітену,700.4
2016,поїздами метрополітену,698.4
2017,поїздами метрополітену,718.9
2018,поїздами метрополітену,726.6
2019,поїздами метрополітену,715.0
2020,поїздами метрополітену,411.1
2021,поїздами метрополітену,482.6
2022,поїздами метрополітену,
2023,поїздами метрополітену,
