Year,Об'єкт,Value
2015,,
2016,,
2017,,
2018,,
2019,,
2020,,
2021,,
2022,,
2023,,
2015,Заклади охорони здоров'я,
2016,Заклади охорони здоров'я,
2017,Заклади охорони здоров'я,
2018,Заклади охорони здоров'я,
2019,Заклади охорони здоров'я,
2020,Заклади охорони здоров'я,
2021,Заклади охорони здоров'я,35.0
2022,Заклади охорони здоров'я,
2023,Заклади охорони здоров'я,41.0
2015,Заклади освіти,
2016,Заклади освіти,
2017,Заклади освіти,
2018,Заклади освіти,
2019,Заклади освіти,
2020,Заклади освіти,
2021,Заклади освіти,16.0
2022,Заклади освіти,
2023,Заклади освіти,22.0
2015,Структурні підрозділи з питань соцзахисту,
2016,Структурні підрозділи з питань соцзахисту,
2017,Структурні підрозділи з питань соцзахисту,
2018,Структурні підрозділи з питань соцзахисту,
2019,Структурні підрозділи з питань соцзахисту,
2020,Структурні підрозділи з питань соцзахисту,
2021,Структурні підрозділи з питань соцзахисту,28.0
2022,Структурні підрозділи з питань соцзахисту,
2023,Структурні підрозділи з питань соцзахисту,30.0
2015,Центри зайнятості,
2016,Центри зайнятості,
2017,Центри зайнятості,
2018,Центри зайнятості,
2019,Центри зайнятості,
2020,Центри зайнятості,
2021,Центри зайнятості,21.0
2022,Центри зайнятості,
2023,Центри зайнятості,
2015,Центри надання адміністративних послуг,
2016,Центри надання адміністративних послуг,
2017,Центри надання адміністративних послуг,
2018,Центри надання адміністративних послуг,
2019,Центри надання адміністративних послуг,
2020,Центри надання адміністративних послуг,
2021,Центри надання адміністративних послуг,35.0
2022,Центри надання адміністративних послуг,
2023,Центри надання адміністративних послуг,46.0
2015,Національні заклади/установи,
2016,Національні заклади/установи,
2017,Національні заклади/установи,
2018,Національні заклади/установи,
2019,Національні заклади/установи,
2020,Національні заклади/установи,
2021,Національні заклади/установи,13.0
2022,Національні заклади/установи,
2023,Національні заклади/установи,22.0
2015,"Залізничні вокзали, аеропорти, автовокзали",
2016,"Залізничні вокзали, аеропорти, автовокзали",
2017,"Залізничні вокзали, аеропорти, автовокзали",
2018,"Залізничні вокзали, аеропорти, автовокзали",
2019,"Залізничні вокзали, аеропорти, автовокзали",
2020,"Залізничні вокзали, аеропорти, автовокзали",
2021,"Залізничні вокзали, аеропорти, автовокзали",22.0
2022,"Залізничні вокзали, аеропорти, автовокзали",
2023,"Залізничні вокзали, аеропорти, автовокзали",35.0
2015,Установи пенсійного фонду,
2016,Установи пенсійного фонду,
2017,Установи пенсійного фонду,
2018,Установи пенсійного фонду,
2019,Установи пенсійного фонду,
2020,Установи пенсійного фонду,
2021,Установи пенсійного фонду,41.0
2022,Установи пенсійного фонду,
2023,Установи пенсійного фонду,
2015,Споруди цивільного захисту,
2016,Споруди цивільного захисту,
2017,Споруди цивільного захисту,
2018,Споруди цивільного захисту,
2019,Споруди цивільного захисту,
2020,Споруди цивільного захисту,
2021,Споруди цивільного захисту,3.0
2022,Споруди цивільного захисту,
2023,Споруди цивільного захисту,6.0
2015,Суди,
2016,Суди,
2017,Суди,
2018,Суди,
2019,Суди,
2020,Суди,
2021,Суди,12.0
2022,Суди,
2023,Суди,
