Year,Місцевість проживання,Область,Value
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,46.0
2020,,,52.0
2021,,,55.0
2022,,,57.0
2023,,,62.0
2015,,Вінницька,
2016,,Вінницька,
2017,,Вінницька,
2018,,Вінницька,
2019,,Вінницька,38.0
2020,,Вінницька,43.0
2021,,Вінницька,45.0
2022,,Вінницька,48.0
2023,,Вінницька,55.0
2015,,Волинська,
2016,,Волинська,
2017,,Волинська,
2018,,Волинська,
2019,,Волинська,51.0
2020,,Волинська,54.0
2021,,Волинська,63.0
2022,,Волинська,60.0
2023,,Волинська,65.0
2015,,Дніпропетровська,
2016,,Дніпропетровська,
2017,,Дніпропетровська,
2018,,Дніпропетровська,
2019,,Дніпропетровська,48.0
2020,,Дніпропетровська,51.0
2021,,Дніпропетровська,54.0
2022,,Дніпропетровська,57.0
2023,,Дніпропетровська,60.0
2015,,Донецька,
2016,,Донецька,
2017,,Донецька,
2018,,Донецька,
2019,,Донецька,31.0
2020,,Донецька,38.0
2021,,Донецька,38.0
2022,,Донецька,
2023,,Донецька,
2015,,Житомирська,
2016,,Житомирська,
2017,,Житомирська,
2018,,Житомирська,
2019,,Житомирська,32.0
2020,,Житомирська,41.0
2021,,Житомирська,48.0
2022,,Житомирська,52.0
2023,,Житомирська,56.0
2015,,Закарпатська,
2016,,Закарпатська,
2017,,Закарпатська,
2018,,Закарпатська,
2019,,Закарпатська,35.0
2020,,Закарпатська,37.0
2021,,Закарпатська,41.0
2022,,Закарпатська,46.0
2023,,Закарпатська,46.0
2015,,Запорізька,
2016,,Запорізька,
2017,,Запорізька,
2018,,Запорізька,
2019,,Запорізька,53.0
2020,,Запорізька,58.0
2021,,Запорізька,61.0
2022,,Запорізька,
2023,,Запорізька,
2015,,Івано-Франківська,
2016,,Івано-Франківська,
2017,,Івано-Франківська,
2018,,Івано-Франківська,
2019,,Івано-Франківська,43.0
2020,,Івано-Франківська,53.0
2021,,Івано-Франківська,48.0
2022,,Івано-Франківська,57.0
2023,,Івано-Франківська,66.0
2015,,Київська,
2016,,Київська,
2017,,Київська,
2018,,Київська,
2019,,Київська,69.0
2020,,Київська,76.0
2021,,Київська,89.0
2022,,Київська,93.0
2023,,Київська,101.0
2015,,Кіровоградська,
2016,,Кіровоградська,
2017,,Кіровоградська,
