Year,Article,Unit,Value
2015,art_1_115,1_total,8224.0
2016,art_1_115,1_total,5992.0
2017,art_1_115,1_total,5145.0
2018,art_1_115,1_total,5557.0
2019,art_1_115,1_total,5465.0
2020,art_1_115,1_total,3809.0
2021,art_1_115,1_total,3230.0
2022,art_1_115,1_total,5264.0
2023,art_1_115,1_total,16129.0
2015,art_1_115,2_per_100,19.23
2016,art_1_115,2_per_100,14.07
2017,art_1_115,2_per_100,12.14
2018,art_1_115,2_per_100,13.18
2019,art_1_115,2_per_100,13.04
2020,art_1_115,2_per_100,9.16
2021,art_1_115,2_per_100,7.85
2022,art_1_115,2_per_100,12.79
2023,art_1_115,2_per_100,39.18
2015,art_2_116,1_total,7.0
2016,art_2_116,1_total,7.0
2017,art_2_116,1_total,5.0
2018,art_2_116,1_total,6.0
2019,art_2_116,1_total,4.0
2020,art_2_116,1_total,7.0
2021,art_2_116,1_total,3.0
2022,art_2_116,1_total,1.0
2023,art_2_116,1_total,2.0
2015,art_2_116,2_per_100,0.02
2016,art_2_116,2_per_100,0.02
2017,art_2_116,2_per_100,0.01
2018,art_2_116,2_per_100,0.01
2019,art_2_116,2_per_100,0.01
2020,art_2_116,2_per_100,0.02
2021,art_2_116,2_per_100,0.01
2022,art_2_116,2_per_100,0.0
2023,art_2_116,2_per_100,0.0
2015,art_3_117,1_total,11.0
2016,art_3_117,1_total,14.0
2017,art_3_117,1_total,11.0
2018,art_3_117,1_total,12.0
2019,art_3_117,1_total,19.0
2020,art_3_117,1_total,10.0
2021,art_3_117,1_total,6.0
2022,art_3_117,1_total,8.0
2023,art_3_117,1_total,8.0
2015,art_3_117,2_per_100,0.03
2016,art_3_117,2_per_100,0.03
2017,art_3_117,2_per_100,0.03
2018,art_3_117,2_per_100,0.03
2019,art_3_117,2_per_100,0.05
2020,art_3_117,2_per_100,0.02
2021,art_3_117,2_per_100,0.01
2022,art_3_117,2_per_100,0.02
2023,art_3_117,2_per_100,0.02
2015,art_4_118,1_total,38.0
2016,art_4_118,1_total,38.0
2017,art_4_118,1_total,19.0
2018,art_4_118,1_total,25.0
2019,art_4_118,1_total,20.0
2020,art_4_118,1_total,18.0
2021,art_4_118,1_total,12.0
2022,art_4_118,1_total,25.0
2023,art_4_118,1_total,16.0
2015,art_4_118,2_per_100,0.09
2016,art_4_118,2_per_100,0.09
2017,art_4_118,2_per_100,0.04
2018,art_4_118,2_per_100,0.06
2019,art_4_118,2_per_100,0.05
2020,art_4_118,2_per_100,0.04
2021,art_4_118,2_per_100,0.01
2022,art_4_118,2_per_100,0.06
2023,art_4_118,2_per_100,0.04
2015,art_5_121,1_total,2511.0
2016,art_5_121,1_total,2256.0
2017,art_5_121,1_total,2096.0
2018,art_5_121,1_total,2130.0
2019,art_5_121,1_total,1940.0
2020,art_5_121,1_total,1703.0
2021,art_5_121,1_total,1601.0
2022,art_5_121,1_total,1502.0
2023,art_5_121,1_total,1390.0
2015,art_5_121,2_per_100,5.87
2016,art_5_121,2_per_100,5.3
2017,art_5_121,2_per_100,4.94
2018,art_5_121,2_per_100,5.05
2019,art_5_121,2_per_100,4.63
2020,art_5_121,2_per_100,4.09
2021,art_5_121,2_per_100,3.89
2022,art_5_121,2_per_100,3.65
2023,art_5_121,2_per_100,3.38
