Year,Unit,Group,Value
2015,1_vic_100,1_all,0.26
2016,1_vic_100,1_all,0.2
2017,1_vic_100,1_all,0.73
2018,1_vic_100,1_all,0.55
2019,1_vic_100,1_all,0.63
2020,1_vic_100,1_all,0.37
2021,1_vic_100,1_all,0.39
2022,1_vic_100,1_all,0.16
2023,1_vic_100,1_all,0.22
2015,2_vic_149,1_all,113.0
2016,2_vic_149,1_all,86.0
2017,2_vic_149,1_all,309.0
2018,2_vic_149,1_all,231.0
2019,2_vic_149,1_all,262.0
2020,2_vic_149,1_all,152.0
2021,2_vic_149,1_all,163.0
2022,2_vic_149,1_all,66.0
2023,2_vic_149,1_all,91.0
2015,2_vic_149,2_females,78.0
2016,2_vic_149,2_females,66.0
2017,2_vic_149,2_females,130.0
2018,2_vic_149,2_females,127.0
2019,2_vic_149,2_females,107.0
2020,2_vic_149,2_females,64.0
2021,2_vic_149,2_females,49.0
2022,2_vic_149,2_females,36.0
2023,2_vic_149,2_females,30.0
2015,2_vic_149,3_adolescents,6.0
2016,2_vic_149,3_adolescents,2.0
2017,2_vic_149,3_adolescents,8.0
2018,2_vic_149,3_adolescents,11.0
2019,2_vic_149,3_adolescents,8.0
2020,2_vic_149,3_adolescents,
2021,2_vic_149,3_adolescents,9.0
2022,2_vic_149,3_adolescents,5.0
2023,2_vic_149,3_adolescents,6.0
2015,2_vic_149,4_young,1.0
2016,2_vic_149,4_young,2.0
2017,2_vic_149,4_young,11.0
2018,2_vic_149,4_young,12.0
2019,2_vic_149,4_young,2.0
2020,2_vic_149,4_young,1.0
2021,2_vic_149,4_young,17.0
2022,2_vic_149,4_young,7.0
2023,2_vic_149,4_young,10.0
