Year,Age,Sex,Value
2015,,,38303
2016,,,219981
2017,,,393228
2018,,,400478
2019,,,404030
2020,,,354018
2021,,,433810
2022,,,379172
2023,,,369112
2015,age_18,,169
2016,age_18,,1413
2017,age_18,,1803
2018,age_18,,2051
2019,age_18,,1976
2020,age_18,,1893
2021,age_18,,2972
2022,age_18,,4601
2023,age_18,,4830
2015,age_1_18_35,,5827
2016,age_1_18_35,,48456
2017,age_1_18_35,,88404
2018,age_1_18_35,,86792
2019,age_1_18_35,,70756
2020,age_1_18_35,,71945
2021,age_1_18_35,,93881
2022,age_1_18_35,,85801
2023,age_1_18_35,,75787
2015,age_2_36_60,,18009
2016,age_2_36_60,,110488
2017,age_2_36_60,,196311
2018,age_2_36_60,,193433
2019,age_2_36_60,,185227
2020,age_2_36_60,,172036
2021,age_2_36_60,,220951
2022,age_2_36_60,,192322
2023,age_2_36_60,,185630
2015,age_3_61,,14298
2016,age_3_61,,59624
2017,age_3_61,,106710
2018,age_3_61,,118202
2019,age_3_61,,146071
2020,age_3_61,,108144
2021,age_3_61,,116006
2022,age_3_61,,96448
2023,age_3_61,,102865
2015,,male,15673
2016,,male,93488
2017,,male,158462
2018,,male,151787
2019,,male,152578
2020,,male,137011
2021,,male,179040
2022,,male,153006
2023,,male,143272
2015,,female,22630
2016,,female,126493
2017,,female,234766
2018,,female,248691
2019,,female,251452
2020,,female,217007
2021,,female,254770
2022,,female,226166
2023,,female,225840
