Year,Ammunition,Region,Value
2015,,,204326.0
2016,,,177757.0
2017,,,280276.0
2018,,,273167.0
2019,,,206918.0
2020,,,180562.0
2021,,,135152.0
2022,,,200990.0
2023,,,724993.0
2015,1_am_cartridges,,202142.0
2016,1_am_cartridges,,174954.0
2017,1_am_cartridges,,278238.0
2018,1_am_cartridges,,271141.0
2019,1_am_cartridges,,204899.0
2020,1_am_cartridges,,179186.0
2021,1_am_cartridges,,134166.0
2022,1_am_cartridges,,199850.0
2023,1_am_cartridges,,720336.0
2015,2_am_grenades,,2099.0
2016,2_am_grenades,,2698.0
2017,2_am_grenades,,1935.0
2018,2_am_grenades,,1918.0
2019,2_am_grenades,,1889.0
2020,2_am_grenades,,1228.0
2021,2_am_grenades,,926.0
2022,2_am_grenades,,1110.0
2023,2_am_grenades,,4418.0
2015,3_am_mines,,26.0
2016,3_am_mines,,61.0
2017,3_am_mines,,57.0
2018,3_am_mines,,48.0
2019,3_am_mines,,84.0
2020,3_am_mines,,24.0
2021,3_am_mines,,7.0
2022,3_am_mines,,9.0
2023,3_am_mines,,148.0
2015,4_am_devic,,59.0
2016,4_am_devic,,44.0
2017,4_am_devic,,46.0
2018,4_am_devic,,60.0
2019,4_am_devic,,46.0
2020,4_am_devic,,124.0
2021,4_am_devic,,53.0
2022,4_am_devic,,21.0
2023,4_am_devic,,91.0
2015,,11_reg_Vinnytsya,3982.0
2016,,11_reg_Vinnytsya,6624.0
2017,,11_reg_Vinnytsya,5909.0
2018,,11_reg_Vinnytsya,12284.0
2019,,11_reg_Vinnytsya,12436.0
2020,,11_reg_Vinnytsya,7006.0
2021,,11_reg_Vinnytsya,1786.0
2022,,11_reg_Vinnytsya,3279.0
2023,,11_reg_Vinnytsya,14133.0
2015,1_am_cartridges,11_reg_Vinnytsya,3952.0
2016,1_am_cartridges,11_reg_Vinnytsya,6584.0
2017,1_am_cartridges,11_reg_Vinnytsya,5893.0
2018,1_am_cartridges,11_reg_Vinnytsya,12247.0
2019,1_am_cartridges,11_reg_Vinnytsya,12423.0
2020,1_am_cartridges,11_reg_Vinnytsya,6988.0
2021,1_am_cartridges,11_reg_Vinnytsya,1777.0
2022,1_am_cartridges,11_reg_Vinnytsya,3257.0
2023,1_am_cartridges,11_reg_Vinnytsya,14037.0
2015,2_am_grenades,11_reg_Vinnytsya,29.0
2016,2_am_grenades,11_reg_Vinnytsya,39.0
2017,2_am_grenades,11_reg_Vinnytsya,16.0
2018,2_am_grenades,11_reg_Vinnytsya,36.0
2019,2_am_grenades,11_reg_Vinnytsya,13.0
2020,2_am_grenades,11_reg_Vinnytsya,18.0
2021,2_am_grenades,11_reg_Vinnytsya,9.0
2022,2_am_grenades,11_reg_Vinnytsya,22.0
2023,2_am_grenades,11_reg_Vinnytsya,95.0
2015,3_am_mines,11_reg_Vinnytsya,1.0
2016,3_am_mines,11_reg_Vinnytsya,
2017,3_am_mines,11_reg_Vinnytsya,
2018,3_am_mines,11_reg_Vinnytsya,1.0
2019,3_am_mines,11_reg_Vinnytsya,
2020,3_am_mines,11_reg_Vinnytsya,
2021,3_am_mines,11_reg_Vinnytsya,
2022,3_am_mines,11_reg_Vinnytsya,
2023,3_am_mines,11_reg_Vinnytsya,
2015,4_am_devic,11_reg_Vinnytsya,
2016,4_am_devic,11_reg_Vinnytsya,1.0
2017,4_am_devic,11_reg_Vinnytsya,
2018,4_am_devic,11_reg_Vinnytsya,
2019,4_am_devic,11_reg_Vinnytsya,
2020,4_am_devic,11_reg_Vinnytsya,
2021,4_am_devic,11_reg_Vinnytsya,
2022,4_am_devic,11_reg_Vinnytsya,
2023,4_am_devic,11_reg_Vinnytsya,1.0
2015,,12_reg_Volyn,1536.0
2016,,12_reg_Volyn,2392.0
2017,,12_reg_Volyn,5351.0
2018,,12_reg_Volyn,4581.0
2019,,12_reg_Volyn,2461.0
2020,,12_reg_Volyn,5316.0
2021,,12_reg_Volyn,1631.0
2022,,12_reg_Volyn,3989.0
2023,,12_reg_Volyn,3590.0
2015,1_am_cartridges,12_reg_Volyn,1508.0
2016,1_am_cartridges,12_reg_Volyn,1664.0
2017,1_am_cartridges,12_reg_Volyn,5312.0
2018,1_am_cartridges,12_reg_Volyn,4555.0
